# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis 3 3 1 0 0.2062 0.149 0.173 0.244 0.263 1.4312 1.2219 0.20934 11210000000.0 872980000.0 0.0 0.2062 3.0 925.8 32.97 797420000.0 581990000.0 -1.53 -99.0 -99.0 -99.0 -99.0 3 00000 -1.0
aegis 13 3 1 0 1.3049 1.252 1.268 1.34 1.378 41.761 41.035 0.72558 376470000000.0 3025800000.0 0.0 1.3049 3.0 213.5 14.63 1050900000.0 2017200000.0 0.08 -99.0 -99.0 -99.0 -99.0 13 00000 -1.0
aegis 19 3 1 0 1.0761 0.819 0.991 1.174 1.218 1.6009 0.16717 1.4338 1533700000.0 5979000000.0 1.0 1.0761 3.0 1.975 18.17 5688300000.0 3986000000.0 -1.57 -99.0 -99.0 -99.0 -99.0 19 00000 -1.0
aegis 27 3 1 0 0.6806 0.61 0.643 0.714 0.803 1.877 0.77595 1.1011 7118800000.0 4591700000.0 0.0 0.6806 3.0 28.66 13.63 4753600000.0 3061100000.0 -1.72 -99.0 -99.0 -99.0 -99.0 27 00000 -1.0
aegis 28 3 1 0 0.7626 0.688 0.721 0.804 0.848 0.44152 -99.0 0.44152 -99.0 1841200000.0 2.0 0.7626 3.0 -59.58 19.29 1742000000.0 1227500000.0 -1.59 -99.0 -99.0 -99.0 -99.0 28 00000 -1.0
aegis 46 3 1 0 1.2171 1.151 1.178 1.257 1.29 0.39311 -99.0 0.39311 -99.0 1639300000.0 2.0 1.2171 3.0 -45.15 17.12 88961000.0 1092900000.0 3.19 -99.0 -99.0 -99.0 -99.0 46 00000 -1.0
aegis 48 3 1 0 0.6655 0.587 0.624 0.707 0.737 1.0634 0.80602 0.25734 7394600000.0 1073100000.0 0.0 0.6655 3.0 31.1 15.32 1000700000.0 715430000.0 -1.54 -99.0 -99.0 -99.0 -99.0 48 00000 -1.0
aegis 49 3 1 0 3.1189 2.928 3.024 3.212 3.279 5.6718 -99.0 5.6718 -99.0 23652000000.0 2.0 3.1189 3.0 -58.46 22.33 23553000000.0 15768000000.0 -1.63 -99.0 -99.0 -99.0 -99.0 49 00000 -1.0
aegis 53 3 1 0 0.6432 0.588 0.615 0.671 0.685 2.4975 2.2583 0.23926 20718000000.0 997750000.0 0.0 0.6432 3.0 92.77 20.31 1192200000.0 665170000.0 -1.96 -99.0 -99.0 -99.0 -99.0 53 00000 -1.0
aegis 55 3 1 0 0.697 0.622 0.654 0.741 0.804 0.31417 -99.0 0.31417 -99.0 1310100000.0 2.0 0.697 3.0 -4.537 12.88 1405900000.0 873430000.0 -1.76 -99.0 -99.0 -99.0 -99.0 55 00000 -1.0
