# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis 28377 2 1 1 0.8617 0.8545 0.8581 0.8638 0.8677 0.027871 -99.0 0.027871 -99.0 116220000.0 2.0 0.6793 2.0 -7.992 14.18 4522100.0 77483000.0 3.23 1.75 0.81 174.71 87.09 28377 aegis-14-G141_28377 0.86172
aegis 5968 3 1 0 0.7765 0.681 0.711 0.836 1.024 0.0083482 -99.0 0.0083482 -99.0 34813000.0 2.0 0.7765 3.0 -7.447 14.25 35846000.0 23209000.0 -2.13 -99.0 -99.0 -99.0 -99.0 5968 00000 -1.0
aegis 39716 1 1 0 0.7803 -1.0 -1.0 -1.0 -1.0 0.024984 0.01377 0.011214 126330000.0 46766000.0 0.0 0.0873 1.0 79.27 13.8 52709000.0 31177000.0 -1.85 -99.0 -99.0 -99.0 -99.0 39716 aegis-27-G141_39716 -1.0
aegis 2642 3 1 0 0.6357 0.575 0.595 0.678 0.717 0.1645 -99.0 0.1645 -99.0 685970000.0 2.0 0.6357 3.0 -45.6 12.98 191720000.0 457310000.0 0.28 -99.0 -99.0 -99.0 -99.0 2642 00000 -1.0
aegis 11781 3 1 0 0.6482 0.605 0.619 0.678 0.717 0.16926 -99.0 0.16926 -99.0 705850000.0 2.0 0.6482 3.0 -4.134 18.11 256520000.0 470560000.0 -0.08 -99.0 -99.0 -99.0 -99.0 11781 00000 -1.0
aegis 18324 1 1 1 0.8446 -1.0 -1.0 -1.0 -1.0 0.060421 0.049111 0.01131 450560000.0 47164000.0 0.0 0.0673 1.0 506.6 10.64 45168000.0 31443000.0 -1.61 64.69 1.16 123.6 2.37 18324 aegis-25-G141_18324 0.84412
aegis 21773 2 1 1 0.7692 0.7598 0.7642 0.7723 0.7759 0.10595 -99.0 0.10595 -99.0 441820000.0 2.0 0.6698 2.0 -8.723 16.35 113410000.0 294550000.0 0.53 -1.14 0.88 -9.63 7.43 21773 aegis-14-G141_21773 0.76915
aegis 34890 3 1 0 0.7815 0.679 0.743 0.823 0.855 0.1367 -99.0 0.1367 -99.0 570080000.0 2.0 0.7815 3.0 -27.53 16.29 25772000.0 380050000.0 3.77 -99.0 -99.0 -99.0 -99.0 34890 00000 -1.0
aegis 38073 1 1 0 0.8082 -1.0 -1.0 -1.0 -1.0 0.5102 -99.0 0.5102 -99.0 2127600000.0 2.0 0.7895 1.0 -11.16 15.06 329290000.0 1418400000.0 1.4 2.88 1.53 7.63 4.07 38073 aegis-23-G141_38073 0.78247
aegis 39920 1 1 1 0.7372 -1.0 -1.0 -1.0 -1.0 0.52184 -99.0 0.52184 -99.0 2176100000.0 2.0 0.7106 1.0 -9.516 11.67 344290000.0 1450800000.0 1.01 3.22 1.58 6.4 3.13 39920 aegis-11-G141_39920 0.73585
aegis 39989 3 1 0 0.7056 0.63 0.652 0.765 0.798 0.85583 -99.0 0.85583 -99.0 3568900000.0 2.0 0.7056 3.0 -5.004 14.65 886130000.0 2379300000.0 0.33 -99.0 -99.0 -99.0 -99.0 39989 00000 -1.0
aegis 232 3 1 0 0.6693 0.619 0.634 0.707 0.754 0.25651 -99.0 0.25651 -99.0 1069700000.0 2.0 0.6693 3.0 -10.12 20.88 325240000.0 713130000.0 0.13 -99.0 -99.0 -99.0 -99.0 232 00000 -1.0
aegis 2634 1 1 1 0.8171 -1.0 -1.0 -1.0 -1.0 0.43805 -99.0 0.43805 -99.0 1826700000.0 2.0 0.7665 1.0 -20.33 18.93 115840000.0 1217800000.0 3.03 -0.19 1.28 -0.59 4.06 2634 aegis-18-G141_02634 0.81757
aegis 36173 3 1 0 0.7077 0.656 0.673 0.744 0.774 0.26852 -99.0 0.26852 -99.0 1119700000.0 2.0 0.7077 3.0 -17.35 13.86 133390000.0 746500000.0 2.1 -99.0 -99.0 -99.0 -99.0 36173 00000 -1.0
aegis 1774 3 1 0 0.5603 0.5 0.522 0.598 0.627 0.46443 -99.0 0.46443 -99.0 1936700000.0 2.0 0.5603 3.0 -3.835 19.59 476720000.0 1291200000.0 0.44 -99.0 -99.0 -99.0 -99.0 1774 00000 -1.0
aegis 36347 2 1 1 0.9329 0.9107 0.9207 0.9466 1.0126 0.75837 -99.0 0.75837 -99.0 3162500000.0 2.0 1.5568 2.0 -0.5053 13.13 306620000.0 2108300000.0 2.69 -0.03 0.97 -0.52 18.18 36347 aegis-27-G141_36347 0.93286
aegis 10688 1 1 1 0.7362 -1.0 -1.0 -1.0 -1.0 0.49754 0.10577 0.39177 970350000.0 1633800000.0 1.0 0.7108 1.0 3.558 7.302 207310000.0 1089200000.0 1.82 1.9 1.53 4.43 3.57 10688 aegis-12-G141_10688 0.73325
aegis 11123 3 1 0 0.7147 0.672 0.688 0.743 0.768 0.55417 0.10806 0.44611 991340000.0 1860300000.0 1.0 0.7147 3.0 3.59 14.23 335160000.0 1240200000.0 0.67 -99.0 -99.0 -99.0 -99.0 11123 00000 -1.0
aegis 3056 2 1 1 0.813 0.8061 0.8095 0.8167 0.8202 0.399 -99.0 0.399 -99.0 1663900000.0 2.0 0.7966 2.0 -4.56 9.59 319740000.0 1109200000.0 0.96 0.57 1.0 2.44 4.27 3056 aegis-18-G141_03056 0.81303
aegis 10963 3 1 0 0.7019 0.658 0.674 0.731 0.758 0.36569 0.023816 0.34188 218500000.0 1425700000.0 1.0 0.7019 3.0 0.8243 12.76 372500000.0 950450000.0 0.35 -99.0 -99.0 -99.0 -99.0 10963 00000 -1.0
aegis 9849 3 1 0 0.7366 0.689 0.706 0.768 0.789 2.7385 0.77938 1.9591 7150300000.0 8169700000.0 0.0 0.7366 3.0 24.25 13.54 1933700000.0 5446400000.0 0.38 -99.0 -99.0 -99.0 -99.0 9849 00000 -1.0
aegis 38161 3 1 0 0.7868 0.727 0.749 0.823 0.847 1.1707 0.18851 0.98221 1729500000.0 4096000000.0 1.0 0.7868 3.0 5.117 12.9 806040000.0 2730600000.0 0.47 -99.0 -99.0 -99.0 -99.0 38161 00000 -1.0
aegis 18616 3 1 0 0.5359 0.447 0.49 0.581 0.619 0.071299 -99.0 0.071299 -99.0 297330000.0 2.0 0.5359 3.0 -25.54 12.82 138460000.0 198220000.0 -0.41 -99.0 -99.0 -99.0 -99.0 18616 aegis-14-G141_18616 0.4127
aegis 38047 2 1 1 0.6871 0.6648 0.6763 0.7776 0.8219 0.14024 -99.0 0.14024 -99.0 584820000.0 2.0 0.7701 2.0 -15.87 8.933 76546000.0 389880000.0 2.22 2.06 1.68 72.99 60.81 38047 aegis-11-G141_38047 0.68708
aegis 21559 3 1 0 0.9101 0.757 0.811 1.001 1.051 0.045422 -99.0 0.045422 -99.0 189420000.0 2.0 0.9101 3.0 -7.128 12.38 6579600.0 126280000.0 4.01 2.13 0.65 153.16 51.12 21559 aegis-01-G141_21559 0.99971
aegis 11864 2 1 1 0.6537 0.5097 0.5285 0.6531 0.6726 0.057538 -99.0 0.057538 -99.0 239940000.0 2.0 0.5827 2.0 -10.4 13.89 61555000.0 159960000.0 0.54 7.25 3.2 171.8 78.93 11864 aegis-28-G141_11864 0.65367
aegis 16223 3 1 0 0.5727 0.527 0.546 0.6 0.62 0.14247 0.072799 0.069668 667880000.0 290530000.0 1.0 0.5727 3.0 3.78 12.15 53175000.0 193680000.0 1.03 -99.0 -99.0 -99.0 -99.0 16223 aegis-30-G141_16223 0.43979
aegis 7936 3 1 0 0.7255 0.643 0.681 0.771 0.815 0.044972 -99.0 0.044972 -99.0 187540000.0 2.0 0.7255 3.0 -36.96 12.75 8611100.0 125030000.0 3.23 -99.0 -99.0 -99.0 -99.0 7936 00000 -1.0
aegis 16017 3 1 0 0.6935 0.615 0.658 0.731 0.761 0.24613 -99.0 0.24613 -99.0 1026400000.0 2.0 0.6935 3.0 -14.78 11.15 363610000.0 684270000.0 0.17 -99.0 -99.0 -99.0 -99.0 16017 00000 -1.0
aegis 40360 2 1 1 0.6537 0.6479 0.6507 0.6574 0.6673 0.053827 -99.0 0.053827 -99.0 224470000.0 2.0 0.857 2.0 -13.41 13.55 21111.0 149640000.0 15.79 -0.53 1.97 -45.91 174.96 40360 aegis-19-G141_40360 0.65367
aegis 27055 3 1 0 0.9893 0.804 0.947 1.039 1.129 0.27946 -99.0 0.27946 -99.0 1165400000.0 2.0 0.9893 3.0 -21.39 13.92 301030000.0 776920000.0 0.88 -99.0 -99.0 -99.0 -99.0 27055 00000 -1.0
aegis 9250 3 1 0 0.6984 0.554 0.646 0.753 0.798 0.53154 0.34885 0.18269 3200500000.0 761830000.0 1.0 0.6984 3.0 12.21 14.09 416050000.0 507890000.0 -0.57 -99.0 -99.0 -99.0 -99.0 9250 00000 -1.0
aegis 10728 3 1 0 0.6018 0.521 0.558 0.647 0.685 0.37826 0.2764 0.10185 2535800000.0 424750000.0 1.0 0.6018 3.0 12.84 14.17 134660000.0 283160000.0 0.12 -99.0 -99.0 -99.0 -99.0 10728 00000 -1.0
aegis 24965 2 1 1 0.7402 0.6932 0.7213 0.7484 0.757 0.10713 -99.0 0.10713 -99.0 446750000.0 2.0 0.6856 2.0 -41.34 11.14 163360000.0 297830000.0 -0.06 -0.13 1.08 -1.7 14.17 24965 aegis-08-G141_24965 0.7402
aegis 26515 3 1 0 0.586 0.535 0.558 0.615 0.636 0.44967 0.23538 0.21429 2159500000.0 893610000.0 1.0 0.586 3.0 11.58 13.92 210230000.0 595740000.0 0.42 -99.0 -99.0 -99.0 -99.0 26515 aegis-23-G141_26515 0.47772
aegis 39884 2 1 1 0.6837 0.6736 0.6809 0.7234 0.745 0.25266 -99.0 0.25266 -99.0 1053600000.0 2.0 0.716 2.0 -9.519 12.79 288720000.0 702410000.0 0.48 1.28 1.65 15.71 20.17 39884 aegis-11-G141_39884 0.68371
aegis 4240 3 1 0 0.5276 0.483 0.499 0.557 0.586 0.062003 -99.0 0.062003 -99.0 258560000.0 2.0 0.5276 3.0 -13.28 19.42 98275000.0 172370000.0 -0.14 -99.0 -99.0 -99.0 -99.0 4240 00000 -1.0
aegis 10290 2 1 1 0.7834 0.7744 0.7802 0.7964 0.8035 0.36141 -99.0 0.36141 -99.0 1507100000.0 2.0 0.7537 2.0 -13.9 14.48 647430000.0 1004800000.0 -0.34 -1.89 0.88 -18.6 8.55 10290 aegis-30-G141_10290 0.78336
aegis 12378 3 1 0 0.9737 0.903 0.936 1.013 1.047 1.5718 1.2204 0.35142 11196000000.0 1465500000.0 0.0 0.9737 3.0 21.1 14.48 339340000.0 976980000.0 0.3 -99.0 -99.0 -99.0 -99.0 12378 00000 -1.0
