# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis 8966 2 1 1 1.1924 1.1889 1.1901 1.1927 1.194 4.018 2.3817 1.6364 21850000000.0 6823800000.0 0.0 1.0153 2.0 35.22 20.84 6730700000.0 4549200000.0 -1.59 9.86 0.61 310.61 21.62 8966 aegis-02-G141_08966 1.19241
aegis 11190 2 1 1 0.9435 0.9358 0.9391 0.9448 0.948 2.2043 0.066448 2.1379 609620000.0 8915300000.0 1.0 0.9818 2.0 1.115 11.07 9348300000.0 5943500000.0 -1.79 12.94 1.08 368.86 35.69 11190 aegis-12-G141_11190 0.94352
aegis 21568 2 1 1 0.7586 0.749 0.7525 0.7602 0.7629 3.3873 1.1578 2.2295 10622000000.0 9297500000.0 0.0 0.7889 2.0 31.29 28.22 9768300000.0 6198400000.0 -1.77 15.1 1.46 238.62 26.25 21568 aegis-14-G141_21568 0.75857
aegis 26818 2 1 1 1.22 1.2166 1.218 1.9155 1.9186 0.0050098 0.0031785 0.0018313 29160000.0 7636700.0 1.0 0.0508 2.0 60.49 140.2 7909600.0 5091100.0 -1.76 13.88 1.07 381.13 33.99 26818 aegis-14-G141_26818 1.21998
aegis 11189 2 1 1 1.074 1.0686 1.071 1.0751 1.077 3.5838 1.0835 2.5002 9940700000.0 10426000000.0 0.0 1.0368 2.0 14.8 11.69 10801000000.0 6950900000.0 -1.77 12.01 1.1 311.11 30.76 11189 aegis-26-G141_11189 1.07404
aegis 14734 1 1 1 1.2316 -1.0 -1.0 -1.0 -1.0 5.6978 2.5551 3.1427 23441000000.0 13105000000.0 0.0 1.2316 1.0 17.57 16.95 15568000000.0 8736900000.0 -1.94 9.98 0.6 1157.25 122.36 14734 aegis-30-G141_14734 1.23223
aegis 2547 1 1 1 0.7644 -1.0 -1.0 -1.0 -1.0 9.4464 4.6038 4.8426 42236000000.0 20194000000.0 0.0 0.7644 1.0 132.3 17.58 21291000000.0 13463000000.0 -1.75 28.7 2.37 121.27 10.54 2547 aegis-02-G141_02547 0.76827
aegis 28515 2 1 1 1.3361 1.3311 1.3332 1.3367 1.3381 9.2296 5.9034 3.3261 54160000000.0 13871000000.0 0.0 1.3674 2.0 25.23 11.32 16221000000.0 9247000000.0 -1.96 8.88 0.83 1296.17 240.25 28515 aegis-23-G141_28515 1.33614
aegis 19843 2 1 1 0.9513 0.9483 0.9494 0.9516 0.9526 19.354 14.189 5.1655 130170000000.0 21541000000.0 0.0 0.8543 2.0 346.7 12.89 21665000000.0 14361000000.0 -1.75 52.75 1.05 385.45 9.49 19843 aegis-01-G141_19843 0.95131
aegis 24497 1 1 1 1.0048 -1.0 -1.0 -1.0 -1.0 23.265 18.344 4.9205 168290000000.0 20519000000.0 0.0 1.0048 1.0 282.5 12.95 18813000000.0 13679000000.0 -1.58 31.2 1.37 190.39 8.74 24497 aegis-01-G141_24497 1.00772
