# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis 17 3 1 0 1.7499 1.565 1.628 1.884 1.969 61.496 59.654 1.8421 547290000000.0 7681700000.0 0.0 1.7499 3.0 222.8 16.97 3507600000.0 5121100000.0 -0.2 -99.0 -99.0 -99.0 -99.0 17 00000 -1.0 2.0
aegis 31 3 1 0 1.462 0.988 1.16 1.607 1.655 0.38674 -99.0 0.38674 -99.0 1612800000.0 2.0 1.462 3.0 -2.244 15.06 1466100000.0 1075200000.0 -1.54 -99.0 -99.0 -99.0 -99.0 31 00000 -1.0 3.0
aegis 37 3 1 0 2.3198 1.942 2.148 2.489 2.644 1.6079 -99.0 1.6079 -99.0 6705300000.0 2.0 2.3198 3.0 -13.23 20.51 5123000000.0 4470200000.0 -1.18 -99.0 -99.0 -99.0 -99.0 37 00000 -1.0 1.0
aegis 52 3 1 0 2.1005 1.992 2.025 2.288 2.438 5.751 4.8851 0.86584 44818000000.0 3610700000.0 1.0 2.1005 3.0 12.74 22.13 3681600000.0 2407100000.0 -1.77 -99.0 -99.0 -99.0 -99.0 52 00000 -1.0 1.0
aegis 73 3 1 0 2.2613 2.081 2.162 2.366 2.447 28.264 23.884 4.3806 219110000000.0 18268000000.0 0.0 2.2613 3.0 48.79 15.9 13992000000.0 12178000000.0 -1.19 -99.0 -99.0 -99.0 -99.0 73 00000 -1.0 1.0
aegis 91 3 1 0 0.9172 0.74 0.813 1.026 1.092 0.20413 -99.0 0.20413 -99.0 851260000.0 2.0 0.9172 3.0 -9.964 13.69 801410000.0 567510000.0 -1.48 -99.0 -99.0 -99.0 -99.0 91 00000 -1.0 1.0
aegis 92 3 1 0 1.6899 1.398 1.488 1.938 2.078 0.86127 -99.0 0.86127 -99.0 3591600000.0 2.0 1.6899 3.0 -14.26 15.16 4272700000.0 2394400000.0 -1.94 -99.0 -99.0 -99.0 -99.0 92 00000 -1.0 1.0
aegis 96 3 1 0 1.7156 1.459 1.562 1.845 1.949 3.485 1.3844 2.1006 12701000000.0 8759600000.0 1.0 1.7156 3.0 5.05 16.49 11029000000.0 5839800000.0 -2.04 -99.0 -99.0 -99.0 -99.0 96 00000 -1.0 1.0
aegis 118 3 1 0 1.1963 0.91 1.05 1.335 1.506 0.86207 0.26083 0.60124 2392900000.0 2507200000.0 1.0 1.1963 3.0 2.053 14.66 2873800000.0 1671500000.0 -1.86 -99.0 -99.0 -99.0 -99.0 118 00000 -1.0 1.0
aegis 135 3 1 0 0.7194 0.496 0.588 0.839 0.945 0.11142 -99.0 0.11142 -99.0 464660000.0 2.0 0.7194 3.0 -1.139 18.99 465300000.0 309770000.0 -1.99 -99.0 -99.0 -99.0 -99.0 135 00000 -1.0 3.0
aegis 145 3 1 0 0.7842 0.687 0.723 0.842 0.932 1.4295 0.27584 1.1537 2530600000.0 4811100000.0 1.0 0.7842 3.0 7.528 12.78 5442600000.0 3207400000.0 -1.87 -99.0 -99.0 -99.0 -99.0 145 00000 -1.0 1.0
aegis 150 3 1 0 2.2508 1.579 2.08 2.436 2.568 1.7984 -99.0 1.7984 -99.0 7499500000.0 2.0 2.2508 3.0 -18.07 17.01 7859900000.0 4999700000.0 -1.71 -99.0 -99.0 -99.0 -99.0 150 00000 -1.0 1.0
aegis 155 3 1 0 1.1587 1.058 1.124 1.199 1.226 2.4459 -99.0 2.4459 -99.0 10200000000.0 2.0 1.1587 3.0 -5.723 13.51 9335900000.0 6799700000.0 -1.59 -99.0 -99.0 -99.0 -99.0 155 00000 -1.0 1.0
aegis 162 3 1 0 1.1555 0.939 1.054 1.267 1.34 0.30994 -99.0 0.30994 -99.0 1292500000.0 2.0 1.1555 3.0 -35.32 16.52 1432500000.0 861670000.0 -1.87 -99.0 -99.0 -99.0 -99.0 162 00000 -1.0 1.0
aegis 167 3 1 0 2.0934 1.51 1.983 2.241 2.314 2.7068 -99.0 2.7068 -99.0 11288000000.0 2.0 2.0934 3.0 -21.79 23.1 13412000000.0 7525100000.0 -1.91 -99.0 -99.0 -99.0 -99.0 167 00000 -1.0 1.0
aegis 178 3 1 0 1.1463 0.797 0.942 1.332 1.72 0.33925 -99.0 0.33925 -99.0 1414700000.0 2.0 1.1463 3.0 -25.33 17.85 1617100000.0 943140000.0 -1.89 -99.0 -99.0 -99.0 -99.0 178 00000 -1.0 1.0
aegis 201 3 1 0 1.8153 1.489 1.681 1.949 2.029 4.5751 4.1998 0.37529 38530000000.0 1565000000.0 1.0 1.8153 3.0 15.75 17.26 112330000.0 1043300000.0 2.79 -99.0 -99.0 -99.0 -99.0 201 00000 -1.0 3.0
aegis 206 3 1 0 2.0482 1.57 1.8 2.26 2.403 8.4231 7.0015 1.4216 64234000000.0 5928300000.0 0.0 2.0482 3.0 19.71 14.41 5767100000.0 3952200000.0 -1.57 -99.0 -99.0 -99.0 -99.0 206 00000 -1.0 1.0
aegis 216 3 1 0 1.8228 1.386 1.565 2.057 2.215 5.4413 4.8148 0.62647 44173000000.0 2612400000.0 0.0 1.8228 3.0 18.0 15.53 1360000000.0 1741600000.0 -0.4 -99.0 -99.0 -99.0 -99.0 216 00000 -1.0 1.0
aegis 242 3 1 0 2.2626 1.891 2.075 2.424 2.574 17.2 13.281 3.9192 121850000000.0 16343000000.0 0.0 2.2626 3.0 27.08 13.22 11671000000.0 10896000000.0 -1.03 -99.0 -99.0 -99.0 -99.0 242 00000 -1.0 1.0
aegis 243 3 1 0 1.1426 0.958 1.03 1.266 1.417 0.33619 -99.0 0.33619 -99.0 1402000000.0 2.0 1.1426 3.0 -25.2 21.33 1647200000.0 934640000.0 -1.91 -99.0 -99.0 -99.0 -99.0 243 00000 -1.0 1.0
aegis 247 3 1 0 1.5631 1.052 1.311 1.785 1.951 0.29889 -99.0 0.29889 -99.0 1246400000.0 2.0 1.5631 3.0 -24.27 16.07 1459000000.0 830940000.0 -1.91 -99.0 -99.0 -99.0 -99.0 247 00000 -1.0 1.0
aegis 266 3 1 0 1.5463 1.364 1.428 1.689 1.932 2.3431 1.2085 1.1346 11087000000.0 4731400000.0 1.0 1.5463 3.0 4.154 15.67 6019100000.0 3154300000.0 -2.02 -99.0 -99.0 -99.0 -99.0 266 00000 -1.0 1.0
