# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis 1061 2 1 1 0.9828 0.9838 0.9838 0.9843 0.9855 1.7971 0.91498 0.88208 8394400000.0 3678400000.0 1.0 1.0419 2.0 12.26 18.32 783120000.0 2452300000.0 0.64 0.86 0.83 3.0 2.92 1061 aegis-26-G141_01061 0.98278
aegis 2250 2 1 1 1.1935 1.1893 1.1911 1.1947 1.1964 106.63 100.21 6.417 919360000000.0 26760000000.0 0.0 1.1862 2.0 818.2 18.2 12441000000.0 17840000000.0 -0.39 49.45 1.85 148.14 5.83 2250 aegis-26-G141_02250 1.1935
aegis 2427 2 1 1 1.3667 1.352 1.3607 1.4331 1.6527 4.7823 -99.0 4.7823 -99.0 19943000000.0 2.0 1.6654 2.0 -0.6126 17.34 10115000000.0 13295000000.0 -0.42 1.89 1.21 19.84 12.79 2427 aegis-26-G141_02427 1.36671
aegis 2481 2 1 1 1.3965 1.3869 1.3909 1.3991 1.4021 18.154 15.562 2.5915 142770000000.0 10807000000.0 0.0 1.3613 2.0 67.54 13.79 6256100000.0 7204500000.0 -0.51 6.19 0.82 46.99 6.41 2481 aegis-02-G141_02481 1.39648
aegis 3048 2 1 1 2.602 2.5594 2.5905 2.6198 2.6329 2610.8 2601.7 9.1288 23869000000000.0 38068000000.0 0.0 2.9437 2.0 1333.0 15.44 4651100000.0 25379000000.0 1.95 -99.0 -99.0 -99.0 -99.0 3048 aegis-15-G141_03048 2.60204
aegis 3106 2 1 1 1.7265 1.7146 1.7211 1.7369 1.7435 8.0184 5.8427 2.1757 53602000000.0 9073100000.0 0.0 1.6345 2.0 20.01 14.89 1083500000.0 6048800000.0 2.12 -99.0 -99.0 -99.0 -99.0 3106 aegis-02-G141_03106 1.72645
aegis 3311 2 1 1 1.8792 1.8556 1.8652 1.8888 1.9063 85.341 80.52 4.8208 738720000000.0 20104000000.0 0.0 1.8535 2.0 294.5 29.38 5969000000.0 13402000000.0 0.39 -99.0 -99.0 -99.0 -99.0 3311 aegis-07-G141_03311 1.87916
aegis 6115 2 1 1 1.349 1.3382 1.3437 1.3564 1.3659 0.80389 -99.0 0.80389 -99.0 3352300000.0 2.0 1.372 2.0 -0.756 11.88 199380000.0 2234900000.0 3.06 1.02 1.02 8.62 8.66 6115 aegis-28-G141_06115 1.34902
aegis 6310 2 1 1 1.8137 1.8034 1.809 1.8169 1.8212 65.515 59.028 6.4867 541540000000.0 27051000000.0 0.0 1.8928 2.0 207.1 10.56 6955200000.0 18034000000.0 0.57 -99.0 -99.0 -99.0 -99.0 6310 aegis-12-G141_06310 1.8137
aegis 6691 2 1 1 1.3965 1.3858 1.3919 1.3994 1.4025 12.256 9.6312 2.6244 88360000000.0 10944000000.0 0.0 1.3859 2.0 39.41 11.98 1126200000.0 7296100000.0 2.36 -0.74 0.84 -3.1 3.52 6691 aegis-30-G141_06691 1.39648
aegis 6787 2 1 1 2.662 2.4832 2.653 2.7455 2.7853 83.155 79.445 3.7099 728850000000.0 15471000000.0 1.0 2.6977 2.0 66.35 139.5 2289700000.0 10314000000.0 1.72 -99.0 -99.0 -99.0 -99.0 6787 aegis-28-G141_06787 2.66197
aegis 6880 2 1 1 1.3584 1.3538 1.3552 1.3586 1.3602 402.69 399.51 3.1789 3665300000000.0 13256000000.0 0.0 1.5579 2.0 1364.0 17.62 2095700000.0 8837600000.0 1.65 27.27 2.09 104.22 8.21 6880 aegis-02-G141_06880 1.35844
