# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis 13 3 1 0 1.3049 1.252 1.268 1.34 1.378 41.761 41.035 0.72558 376470000000.0 3025800000.0 0.0 1.3049 3.0 213.5 14.63 1050900000.0 2017200000.0 0.08 -99.0 -99.0 -99.0 -99.0 13 00000 -1.0 2.0
aegis 17 3 1 0 1.7499 1.565 1.628 1.884 1.969 61.496 59.654 1.8421 547290000000.0 7681700000.0 0.0 1.7499 3.0 222.8 16.97 3507600000.0 5121100000.0 -0.2 -99.0 -99.0 -99.0 -99.0 17 00000 -1.0 2.0
aegis 19 3 1 0 1.0761 0.819 0.991 1.174 1.218 1.6009 0.16717 1.4338 1533700000.0 5979000000.0 1.0 1.0761 3.0 1.975 18.17 5688300000.0 3986000000.0 -1.57 -99.0 -99.0 -99.0 -99.0 19 00000 -1.0 1.0
aegis 27 3 1 0 0.6806 0.61 0.643 0.714 0.803 1.877 0.77595 1.1011 7118800000.0 4591700000.0 0.0 0.6806 3.0 28.66 13.63 4753600000.0 3061100000.0 -1.72 -99.0 -99.0 -99.0 -99.0 27 00000 -1.0 1.0
aegis 28 3 1 0 0.7626 0.688 0.721 0.804 0.848 0.44152 -99.0 0.44152 -99.0 1841200000.0 2.0 0.7626 3.0 -59.58 19.29 1742000000.0 1227500000.0 -1.59 -99.0 -99.0 -99.0 -99.0 28 00000 -1.0 1.0
aegis 31 3 1 0 1.462 0.988 1.16 1.607 1.655 0.38674 -99.0 0.38674 -99.0 1612800000.0 2.0 1.462 3.0 -2.244 15.06 1466100000.0 1075200000.0 -1.54 -99.0 -99.0 -99.0 -99.0 31 00000 -1.0 3.0
aegis 37 3 1 0 2.3198 1.942 2.148 2.489 2.644 1.6079 -99.0 1.6079 -99.0 6705300000.0 2.0 2.3198 3.0 -13.23 20.51 5123000000.0 4470200000.0 -1.18 -99.0 -99.0 -99.0 -99.0 37 00000 -1.0 1.0
aegis 46 3 1 0 1.2171 1.151 1.178 1.257 1.29 0.39311 -99.0 0.39311 -99.0 1639300000.0 2.0 1.2171 3.0 -45.15 17.12 88961000.0 1092900000.0 3.19 -99.0 -99.0 -99.0 -99.0 46 00000 -1.0 3.0
aegis 48 3 1 0 0.6655 0.587 0.624 0.707 0.737 1.0634 0.80602 0.25734 7394600000.0 1073100000.0 0.0 0.6655 3.0 31.1 15.32 1000700000.0 715430000.0 -1.54 -99.0 -99.0 -99.0 -99.0 48 00000 -1.0 1.0
aegis 52 3 1 0 2.1005 1.992 2.025 2.288 2.438 5.751 4.8851 0.86584 44818000000.0 3610700000.0 1.0 2.1005 3.0 12.74 22.13 3681600000.0 2407100000.0 -1.77 -99.0 -99.0 -99.0 -99.0 52 00000 -1.0 1.0
aegis 53 3 1 0 0.6432 0.588 0.615 0.671 0.685 2.4975 2.2583 0.23926 20718000000.0 997750000.0 0.0 0.6432 3.0 92.77 20.31 1192200000.0 665170000.0 -1.96 -99.0 -99.0 -99.0 -99.0 53 00000 -1.0 1.0
aegis 55 3 1 0 0.697 0.622 0.654 0.741 0.804 0.31417 -99.0 0.31417 -99.0 1310100000.0 2.0 0.697 3.0 -4.537 12.88 1405900000.0 873430000.0 -1.76 -99.0 -99.0 -99.0 -99.0 55 00000 -1.0 1.0
aegis 61 3 1 0 1.0774 0.978 1.021 1.132 1.195 0.0032378 -99.0 0.0032378 -99.0 13502000.0 2.0 1.0774 3.0 -11.7 15.01 16411.0 9001300.0 11.15 -99.0 -99.0 -99.0 -99.0 61 00000 -1.0 3.0
aegis 63 3 1 0 1.2187 1.106 1.163 1.275 1.322 6.3187 4.1194 2.1994 37792000000.0 9171700000.0 0.0 1.2187 3.0 29.79 15.9 8674800000.0 6114500000.0 -1.63 -99.0 -99.0 -99.0 -99.0 63 00000 -1.0 1.0
aegis 70 3 1 0 1.0916 0.983 1.021 1.148 1.199 1.819 -99.0 1.819 -99.0 7585600000.0 2.0 1.0916 3.0 -8.143 17.39 7908500000.0 5057100000.0 -1.75 -99.0 -99.0 -99.0 -99.0 70 00000 -1.0 1.0
aegis 73 3 1 0 2.2613 2.081 2.162 2.366 2.447 28.264 23.884 4.3806 219110000000.0 18268000000.0 0.0 2.2613 3.0 48.79 15.9 13992000000.0 12178000000.0 -1.19 -99.0 -99.0 -99.0 -99.0 73 00000 -1.0 1.0
aegis 82 3 1 0 0.5234 0.454 0.482 0.563 0.601 0.33192 0.19701 0.13491 1807400000.0 562610000.0 0.0 0.5234 3.0 12.83 12.46 673800000.0 375070000.0 -1.88 -99.0 -99.0 -99.0 -99.0 82 00000 -1.0 1.0
aegis 83 3 1 0 0.725 0.663 0.689 0.763 0.795 2.1755 0.46718 1.7084 4286100000.0 7124100000.0 0.0 0.725 3.0 15.05 13.88 7244300000.0 4749400000.0 -1.71 -99.0 -99.0 -99.0 -99.0 83 00000 -1.0 1.0
aegis 90 3 1 0 0.5693 0.422 0.493 0.651 0.713 0.16401 0.053742 0.11027 493040000.0 459850000.0 1.0 0.5693 3.0 2.833 12.41 532330000.0 306560000.0 -1.93 -99.0 -99.0 -99.0 -99.0 90 00000 -1.0 1.0
aegis 91 3 1 0 0.9172 0.74 0.813 1.026 1.092 0.20413 -99.0 0.20413 -99.0 851260000.0 2.0 0.9172 3.0 -9.964 13.69 801410000.0 567510000.0 -1.48 -99.0 -99.0 -99.0 -99.0 91 00000 -1.0 1.0
aegis 92 3 1 0 1.6899 1.398 1.488 1.938 2.078 0.86127 -99.0 0.86127 -99.0 3591600000.0 2.0 1.6899 3.0 -14.26 15.16 4272700000.0 2394400000.0 -1.94 -99.0 -99.0 -99.0 -99.0 92 00000 -1.0 1.0
aegis 94 3 1 0 1.0846 1.019 1.043 1.126 1.145 2.453 -99.0 2.453 -99.0 10230000000.0 2.0 1.0846 3.0 -16.8 18.74 12262000000.0 6819700000.0 -1.98 -99.0 -99.0 -99.0 -99.0 94 00000 -1.0 1.0
aegis 96 3 1 0 1.7156 1.459 1.562 1.845 1.949 3.485 1.3844 2.1006 12701000000.0 8759600000.0 1.0 1.7156 3.0 5.05 16.49 11029000000.0 5839800000.0 -2.04 -99.0 -99.0 -99.0 -99.0 96 00000 -1.0 1.0
aegis 98 3 1 0 0.7894 0.691 0.721 0.86 1.031 0.33705 -99.0 0.33705 -99.0 1405600000.0 2.0 0.7894 3.0 -35.45 21.85 1485800000.0 937040000.0 -1.81 -99.0 -99.0 -99.0 -99.0 98 00000 -1.0 1.0
aegis 110 3 1 0 0.6943 0.611 0.653 0.736 0.766 0.6288 0.39845 0.23035 3655500000.0 960600000.0 1.0 0.6943 3.0 14.13 14.74 197900000.0 640400000.0 0.49 -99.0 -99.0 -99.0 -99.0 110 00000 -1.0 3.0
aegis 115 3 1 0 0.5204 0.369 0.455 0.59 0.643 0.065138 -99.0 0.065138 -99.0 271640000.0 2.0 0.5204 3.0 -11.25 14.74 281950000.0 181090000.0 -1.66 -99.0 -99.0 -99.0 -99.0 115 00000 -1.0 1.0
aegis 118 3 1 0 1.1963 0.91 1.05 1.335 1.506 0.86207 0.26083 0.60124 2392900000.0 2507200000.0 1.0 1.1963 3.0 2.053 14.66 2873800000.0 1671500000.0 -1.86 -99.0 -99.0 -99.0 -99.0 118 00000 -1.0 1.0
aegis 122 3 1 0 0.8608 0.745 0.793 0.937 0.993 0.33837 -99.0 0.33837 -99.0 1411100000.0 2.0 0.8608 3.0 -39.09 13.56 1262300000.0 940710000.0 -1.47 -99.0 -99.0 -99.0 -99.0 122 00000 -1.0 1.0
aegis 130 3 1 0 1.3865 1.269 1.322 1.453 1.516 2.1075 0.077536 2.03 711340000.0 8465300000.0 1.0 1.3865 3.0 0.3169 16.58 8316900000.0 5643500000.0 -1.69 -99.0 -99.0 -99.0 -99.0 130 00000 -1.0 1.0
aegis 135 3 1 0 0.7194 0.496 0.588 0.839 0.945 0.11142 -99.0 0.11142 -99.0 464660000.0 2.0 0.7194 3.0 -1.139 18.99 465300000.0 309770000.0 -1.99 -99.0 -99.0 -99.0 -99.0 135 00000 -1.0 3.0
aegis 138 3 1 0 0.5666 0.475 0.518 0.617 0.655 0.78804 -99.0 0.78804 -99.0 3286200000.0 2.0 0.5666 3.0 -14.04 12.89 3644200000.0 2190800000.0 -1.81 -99.0 -99.0 -99.0 -99.0 138 00000 -1.0 1.0
aegis 143 3 1 0 0.8536 0.746 0.789 0.923 0.976 4.2268 3.6129 0.61383 33146000000.0 2559800000.0 0.0 0.8536 3.0 88.36 22.95 2797400000.0 1706500000.0 -1.84 -99.0 -99.0 -99.0 -99.0 143 00000 -1.0 1.0
aegis 145 3 1 0 0.7842 0.687 0.723 0.842 0.932 1.4295 0.27584 1.1537 2530600000.0 4811100000.0 1.0 0.7842 3.0 7.528 12.78 5442600000.0 3207400000.0 -1.87 -99.0 -99.0 -99.0 -99.0 145 00000 -1.0 1.0
aegis 148 3 1 0 0.9332 0.789 0.865 1.002 1.074 0.65221 -99.0 0.65221 -99.0 2719800000.0 2.0 0.9332 3.0 -18.48 16.61 3203400000.0 1813200000.0 -1.91 -99.0 -99.0 -99.0 -99.0 148 00000 -1.0 1.0
aegis 149 3 1 0 0.7544 0.622 0.691 0.821 0.877 1.2615 0.97439 0.28711 8939400000.0 1197300000.0 0.0 0.7544 3.0 28.79 19.45 256100000.0 798190000.0 0.83 -99.0 -99.0 -99.0 -99.0 149 00000 -1.0 3.0
aegis 150 3 1 0 2.2508 1.579 2.08 2.436 2.568 1.7984 -99.0 1.7984 -99.0 7499500000.0 2.0 2.2508 3.0 -18.07 17.01 7859900000.0 4999700000.0 -1.71 -99.0 -99.0 -99.0 -99.0 150 00000 -1.0 1.0
aegis 151 3 1 0 0.6786 0.615 0.644 0.715 0.742 2.8307 2.1344 0.69629 19582000000.0 2903600000.0 0.0 0.6786 3.0 79.3 17.14 2293300000.0 1935700000.0 -1.34 -99.0 -99.0 -99.0 -99.0 151 00000 -1.0 1.0
aegis 155 3 1 0 1.1587 1.058 1.124 1.199 1.226 2.4459 -99.0 2.4459 -99.0 10200000000.0 2.0 1.1587 3.0 -5.723 13.51 9335900000.0 6799700000.0 -1.59 -99.0 -99.0 -99.0 -99.0 155 00000 -1.0 1.0
aegis 160 3 1 0 0.5312 0.424 0.474 0.589 0.633 0.098231 -99.0 0.098231 -99.0 409640000.0 2.0 0.5312 3.0 -21.08 22.86 358400000.0 273090000.0 -1.42 -99.0 -99.0 -99.0 -99.0 160 00000 -1.0 1.0
aegis 162 3 1 0 1.1555 0.939 1.054 1.267 1.34 0.30994 -99.0 0.30994 -99.0 1292500000.0 2.0 1.1555 3.0 -35.32 16.52 1432500000.0 861670000.0 -1.87 -99.0 -99.0 -99.0 -99.0 162 00000 -1.0 1.0
aegis 164 3 1 0 2.1686 2.066 2.09 2.242 2.301 176.55 172.18 4.3694 1579600000000.0 18221000000.0 0.0 2.1686 3.0 405.7 18.31 6668500000.0 12147000000.0 0.19 -99.0 -99.0 -99.0 -99.0 164 00000 -1.0 2.0
aegis 167 3 1 0 2.0934 1.51 1.983 2.241 2.314 2.7068 -99.0 2.7068 -99.0 11288000000.0 2.0 2.0934 3.0 -21.79 23.1 13412000000.0 7525100000.0 -1.91 -99.0 -99.0 -99.0 -99.0 167 00000 -1.0 1.0
aegis 173 3 1 0 2.3065 2.153 2.23 2.382 2.437 23.717 18.808 4.9088 172550000000.0 20470000000.0 0.0 2.3065 3.0 36.03 21.77 18269000000.0 13647000000.0 -1.43 -99.0 -99.0 -99.0 -99.0 173 00000 -1.0 1.0
aegis 178 3 1 0 1.1463 0.797 0.942 1.332 1.72 0.33925 -99.0 0.33925 -99.0 1414700000.0 2.0 1.1463 3.0 -25.33 17.85 1617100000.0 943140000.0 -1.89 -99.0 -99.0 -99.0 -99.0 178 00000 -1.0 1.0
aegis 181 3 1 0 0.9174 0.827 0.869 0.967 1.014 0.55709 -99.0 0.55709 -99.0 2323100000.0 2.0 0.9174 3.0 -2.9 15.55 2751600000.0 1548800000.0 -1.92 -99.0 -99.0 -99.0 -99.0 181 00000 -1.0 1.0
aegis 183 3 1 0 0.6849 0.596 0.635 0.731 0.829 0.68614 0.24837 0.43778 2278600000.0 1825600000.0 1.0 0.6849 3.0 9.058 17.84 2018900000.0 1217100000.0 -1.8 -99.0 -99.0 -99.0 -99.0 183 00000 -1.0 1.0
aegis 184 3 1 0 0.5457 0.437 0.484 0.605 0.646 0.85037 0.62973 0.22065 5777300000.0 920130000.0 0.0 0.5457 3.0 36.93 16.43 986530000.0 613420000.0 -1.74 -99.0 -99.0 -99.0 -99.0 184 00000 -1.0 1.0
aegis 185 3 1 0 2.3879 2.221 2.296 2.48 2.583 37.106 32.896 4.2102 301800000000.0 17557000000.0 0.0 2.3879 3.0 55.78 27.48 11665000000.0 11705000000.0 -0.73 -99.0 -99.0 -99.0 -99.0 185 00000 -1.0 1.0
aegis 189 3 1 0 1.0748 0.84 0.992 1.161 1.246 0.53918 -99.0 0.53918 -99.0 2248500000.0 2.0 1.0748 3.0 -10.15 13.24 2237300000.0 1499000000.0 -1.64 -99.0 -99.0 -99.0 -99.0 189 00000 -1.0 1.0
aegis 192 3 1 0 1.0002 0.945 0.971 1.031 1.05 3.1454 -99.0 3.1454 -99.0 13117000000.0 2.0 1.0002 3.0 -7.595 21.42 14931000000.0 8744500000.0 -1.89 -99.0 -99.0 -99.0 -99.0 192 00000 -1.0 1.0
aegis 193 3 1 0 1.2402 1.1 1.172 1.309 1.372 0.67579 -99.0 0.67579 -99.0 2818100000.0 2.0 1.2402 3.0 -2.623 14.0 1795400000.0 1878800000.0 -0.61 -99.0 -99.0 -99.0 -99.0 193 00000 -1.0 1.0
aegis 195 3 1 0 1.561 1.471 1.509 1.608 1.672 113.84 111.29 2.5492 1021000000000.0 10631000000.0 0.0 1.561 3.0 379.3 20.32 6938800000.0 7087100000.0 -0.86 -99.0 -99.0 -99.0 -99.0 195 00000 -1.0 2.0
aegis 201 3 1 0 1.8153 1.489 1.681 1.949 2.029 4.5751 4.1998 0.37529 38530000000.0 1565000000.0 1.0 1.8153 3.0 15.75 17.26 112330000.0 1043300000.0 2.79 -99.0 -99.0 -99.0 -99.0 201 00000 -1.0 3.0
aegis 206 3 1 0 2.0482 1.57 1.8 2.26 2.403 8.4231 7.0015 1.4216 64234000000.0 5928300000.0 0.0 2.0482 3.0 19.71 14.41 5767100000.0 3952200000.0 -1.57 -99.0 -99.0 -99.0 -99.0 206 00000 -1.0 1.0
aegis 209 3 1 0 1.4393 1.354 1.391 1.488 1.531 18.146 17.097 1.0489 156860000000.0 4373900000.0 0.0 1.4393 3.0 64.35 21.39 797490000.0 2916000000.0 1.45 -99.0 -99.0 -99.0 -99.0 209 00000 -1.0 2.0
aegis 216 3 1 0 1.8228 1.386 1.565 2.057 2.215 5.4413 4.8148 0.62647 44173000000.0 2612400000.0 0.0 1.8228 3.0 18.0 15.53 1360000000.0 1741600000.0 -0.4 -99.0 -99.0 -99.0 -99.0 216 00000 -1.0 1.0
aegis 224 3 1 0 1.0162 0.881 0.958 1.077 1.117 4.1237 3.1984 0.92532 29343000000.0 3858700000.0 0.0 1.0162 3.0 47.14 20.8 4581600000.0 2572500000.0 -1.91 -99.0 -99.0 -99.0 -99.0 224 00000 -1.0 1.0
aegis 225 3 1 0 0.8252 0.777 0.795 0.851 0.929 7.2441 5.7008 1.5433 52301000000.0 6436000000.0 0.0 0.8252 3.0 144.6 19.09 3832000000.0 4290600000.0 -0.53 -99.0 -99.0 -99.0 -99.0 225 00000 -1.0 1.0
aegis 228 3 1 0 0.6986 0.629 0.66 0.737 0.771 2.589 1.8729 0.71614 17182000000.0 2986400000.0 0.0 0.6986 3.0 65.51 19.51 3231000000.0 1990900000.0 -1.78 -99.0 -99.0 -99.0 -99.0 228 00000 -1.0 1.0
aegis 231 3 1 0 1.4091 1.3 1.345 1.473 1.535 2.5375 -99.0 2.5375 -99.0 10582000000.0 2.0 1.4091 3.0 -28.59 13.28 13541000000.0 7054600000.0 -2.03 -99.0 -99.0 -99.0 -99.0 231 00000 -1.0 1.0
aegis 232 3 1 0 0.6693 0.619 0.634 0.707 0.754 0.25651 -99.0 0.25651 -99.0 1069700000.0 2.0 0.6693 3.0 -10.12 20.88 325240000.0 713130000.0 0.13 -99.0 -99.0 -99.0 -99.0 232 00000 -1.0 3.0
aegis 234 3 1 0 0.5726 0.507 0.534 0.612 0.642 0.80789 -99.0 0.80789 -99.0 3369000000.0 2.0 0.5726 3.0 -22.87 16.76 3869600000.0 2246000000.0 -1.84 -99.0 -99.0 -99.0 -99.0 234 00000 -1.0 1.0
aegis 242 3 1 0 2.2626 1.891 2.075 2.424 2.574 17.2 13.281 3.9192 121850000000.0 16343000000.0 0.0 2.2626 3.0 27.08 13.22 11671000000.0 10896000000.0 -1.03 -99.0 -99.0 -99.0 -99.0 242 00000 -1.0 1.0
aegis 243 3 1 0 1.1426 0.958 1.03 1.266 1.417 0.33619 -99.0 0.33619 -99.0 1402000000.0 2.0 1.1426 3.0 -25.2 21.33 1647200000.0 934640000.0 -1.91 -99.0 -99.0 -99.0 -99.0 243 00000 -1.0 1.0
aegis 247 3 1 0 1.5631 1.052 1.311 1.785 1.951 0.29889 -99.0 0.29889 -99.0 1246400000.0 2.0 1.5631 3.0 -24.27 16.07 1459000000.0 830940000.0 -1.91 -99.0 -99.0 -99.0 -99.0 247 00000 -1.0 1.0
aegis 251 3 1 0 1.4225 1.341 1.37 1.479 1.532 34.697 33.292 1.4053 305430000000.0 5860400000.0 0.0 1.4225 3.0 127.8 12.14 3950500000.0 3906900000.0 -1.05 -99.0 -99.0 -99.0 -99.0 251 00000 -1.0 2.0
aegis 265 3 1 0 2.4293 2.313 2.367 2.493 2.543 38.697 32.58 6.1166 298900000000.0 25507000000.0 0.0 2.4293 3.0 51.27 20.51 16203000000.0 17005000000.0 -0.62 -99.0 -99.0 -99.0 -99.0 265 00000 -1.0 1.0
aegis 266 3 1 0 1.5463 1.364 1.428 1.689 1.932 2.3431 1.2085 1.1346 11087000000.0 4731400000.0 1.0 1.5463 3.0 4.154 15.67 6019100000.0 3154300000.0 -2.02 -99.0 -99.0 -99.0 -99.0 266 00000 -1.0 1.0
aegis 270 3 1 0 0.5678 0.497 0.53 0.605 0.633 1.1699 0.73226 0.43762 6718000000.0 1824900000.0 0.0 0.5678 3.0 38.86 24.27 1844900000.0 1216600000.0 -1.67 -99.0 -99.0 -99.0 -99.0 270 00000 -1.0 1.0
aegis 274 3 1 0 2.3365 2.155 2.247 2.429 2.504 18.905 16.24 2.6646 148990000000.0 11112000000.0 0.0 2.3365 3.0 29.83 17.19 13214000000.0 7407700000.0 -1.91 -99.0 -99.0 -99.0 -99.0 274 00000 -1.0 1.0
aegis 281 3 1 0 0.6507 0.6 0.626 0.677 0.685 5.472 3.8057 1.6663 34914000000.0 6948600000.0 0.0 0.6507 3.0 153.1 22.18 821650000.0 4632400000.0 1.18 -99.0 -99.0 -99.0 -99.0 281 00000 -1.0 2.0
aegis 282 3 1 0 0.7424 0.67 0.7 0.788 0.825 1.2031 1.0038 0.19934 9209100000.0 831290000.0 0.0 0.7424 3.0 30.71 18.34 265060000.0 554190000.0 0.21 -99.0 -99.0 -99.0 -99.0 282 00000 -1.0 2.0
aegis 283 3 1 0 0.6744 0.606 0.64 0.713 0.747 0.85967 0.67232 0.18735 6168000000.0 781290000.0 0.0 0.6744 3.0 25.29 16.14 703300000.0 520860000.0 -1.49 -99.0 -99.0 -99.0 -99.0 283 00000 -1.0 1.0
aegis 288 3 1 0 0.8412 0.683 0.732 0.974 1.041 0.28104 0.098718 0.18232 905670000.0 760320000.0 1.0 0.8412 3.0 2.452 21.83 540580000.0 506880000.0 -1.15 -99.0 -99.0 -99.0 -99.0 288 00000 -1.0 1.0
aegis 289 3 1 0 1.0472 0.932 0.98 1.134 1.19 2.4205 -99.0 2.4205 -99.0 10094000000.0 2.0 1.0472 3.0 -2.02 20.91 11298000000.0 6729200000.0 -1.88 -99.0 -99.0 -99.0 -99.0 289 00000 -1.0 1.0
aegis 291 3 1 0 0.6303 0.072 0.446 0.804 0.935 0.049367 -99.0 0.049367 -99.0 205870000.0 2.0 0.6303 3.0 -9.77 15.73 146520000.0 137250000.0 -0.52 -99.0 -99.0 -99.0 -99.0 291 00000 -1.0 1.0
aegis 292 3 1 0 0.5394 0.439 0.473 0.608 0.656 0.12653 -99.0 0.12653 -99.0 527660000.0 2.0 0.5394 3.0 -3.095 21.17 496390000.0 351770000.0 -1.52 -99.0 -99.0 -99.0 -99.0 292 aegis-26-G141_00292 -1.0 1.0
aegis 296 3 1 0 1.9806 1.672 1.915 2.077 2.118 57.334 52.828 4.5063 484660000000.0 18792000000.0 0.0 1.9806 3.0 164.1 14.6 8306300000.0 12528000000.0 -0.27 -99.0 -99.0 -99.0 -99.0 296 00000 -1.0 3.0
aegis 297 3 1 0 2.4584 2.288 2.364 2.561 2.627 4.5929 1.6782 2.9147 15396000000.0 12155000000.0 1.0 2.4584 3.0 2.493 16.93 14629000000.0 8103200000.0 -1.92 -99.0 -99.0 -99.0 -99.0 297 aegis-26-G141_00297 2.55907 1.0
aegis 316 3 1 0 2.4476 2.231 2.323 2.575 2.627 139.69 133.38 6.3123 1223700000000.0 26323000000.0 0.0 2.4476 3.0 202.5 17.77 20191000000.0 17549000000.0 -1.23 -99.0 -99.0 -99.0 -99.0 316 00000 -1.0 1.0
aegis 318 3 1 0 0.8064 0.697 0.778 0.841 0.87 2.0786 1.6721 0.40649 15340000000.0 1695100000.0 0.0 0.8064 3.0 43.57 17.85 670520000.0 1130100000.0 0.03 -99.0 -99.0 -99.0 -99.0 318 00000 -1.0 1.0
aegis 319 3 1 0 1.8739 1.747 1.803 1.953 2.009 90.556 81.955 8.6008 751880000000.0 35867000000.0 0.0 1.8739 3.0 293.9 35.67 30811000000.0 23911000000.0 -1.41 -99.0 -99.0 -99.0 -99.0 319 00000 -1.0 1.0
aegis 331 3 1 0 0.6813 0.628 0.654 0.711 0.735 0.39839 0.032231 0.36616 295700000.0 1526900000.0 1.0 0.6813 3.0 1.188 39.8 1553100000.0 1018000000.0 -1.67 -99.0 -99.0 -99.0 -99.0 331 00000 -1.0 1.0
aegis 333 3 1 0 0.9203 0.771 0.852 0.991 1.074 0.67591 0.39949 0.27642 3665100000.0 1152700000.0 1.0 0.9203 3.0 8.307 19.11 1377900000.0 768480000.0 -1.94 -99.0 -99.0 -99.0 -99.0 333 00000 -1.0 1.0
aegis 334 3 1 0 1.2093 1.154 1.179 1.242 1.262 44.744 43.842 0.90158 402220000000.0 3759700000.0 0.0 1.2093 3.0 328.7 26.21 1433800000.0 2506500000.0 -0.07 -99.0 -99.0 -99.0 -99.0 334 00000 -1.0 2.0
aegis 335 3 1 0 0.7572 0.676 0.707 0.81 0.839 5.9291 1.1127 4.8164 10208000000.0 20085000000.0 0.0 0.7572 3.0 32.61 18.86 22981000000.0 13390000000.0 -1.93 -99.0 -99.0 -99.0 -99.0 335 00000 -1.0 1.0
aegis 339 3 1 0 1.3809 1.212 1.298 1.471 1.556 0.40698 -99.0 0.40698 -99.0 1697200000.0 2.0 1.3809 3.0 -6.242 19.89 2276700000.0 1131400000.0 -2.16 -99.0 -99.0 -99.0 -99.0 339 00000 -1.0 1.0
aegis 341 3 1 0 2.2617 2.134 2.195 2.331 2.376 9.5682 -99.0 9.5682 -99.0 39901000000.0 2.0 2.2617 3.0 -27.08 22.99 42352000000.0 26601000000.0 -1.75 -99.0 -99.0 -99.0 -99.0 341 00000 -1.0 1.0
aegis 342 3 1 0 1.2452 1.104 1.184 1.31 1.377 1.1056 -99.0 1.1056 -99.0 4610500000.0 2.0 1.2452 3.0 -17.37 14.14 5484000000.0 3073600000.0 -1.94 -99.0 -99.0 -99.0 -99.0 342 00000 -1.0 1.0
aegis 347 3 1 0 1.9521 1.767 1.873 2.03 2.102 3.4849 -99.0 3.4849 -99.0 14532000000.0 2.0 1.9521 3.0 -12.9 14.07 12506000000.0 9688300000.0 -1.36 -99.0 -99.0 -99.0 -99.0 347 00000 -1.0 1.0
