# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis 22 3 1 0 1.657 1.23 1.385 1.928 2.153 0.52344 -99.0 0.52344 -99.0 2182800000.0 2.0 1.657 3.0 -62.35 22.15 2325700000.0 1455200000.0 -1.71 -99.0 -99.0 -99.0 -99.0 22 00000 -1.0 1.0
aegis 23 3 1 0 0.9595 0.779 0.875 1.056 1.124 0.14501 -99.0 0.14501 -99.0 604710000.0 2.0 0.9595 3.0 -48.63 19.31 659690000.0 403140000.0 -1.76 -99.0 -99.0 -99.0 -99.0 23 00000 -1.0 1.0
aegis 24 3 1 0 0.8832 0.7 0.784 0.968 1.047 1.1034 0.9551 0.14835 8762400000.0 618640000.0 0.0 0.8832 3.0 22.06 19.91 582950000.0 412430000.0 -1.61 -99.0 -99.0 -99.0 -99.0 24 00000 -1.0 1.0
aegis 86 3 1 0 2.2949 1.575 2.055 2.556 2.783 1.3549 -99.0 1.3549 -99.0 5650100000.0 2.0 2.2949 3.0 -19.53 16.13 4420200000.0 3766800000.0 -1.26 -99.0 -99.0 -99.0 -99.0 86 00000 -1.0 1.0
aegis 128 3 1 0 1.1888 0.773 0.927 1.434 1.759 1.7874 1.7099 0.077538 15687000000.0 323350000.0 1.0 1.1888 3.0 13.83 19.31 45661000.0 215560000.0 2.18 -99.0 -99.0 -99.0 -99.0 128 00000 -1.0 2.0
aegis 158 3 1 0 1.338 0.92 1.044 1.73 1.924 33.215 32.698 0.51632 299980000000.0 2153100000.0 0.0 1.338 3.0 151.7 22.55 2382000000.0 1435400000.0 -1.83 -99.0 -99.0 -99.0 -99.0 158 00000 -1.0 1.0
aegis 180 3 1 0 0.9843 0.858 0.915 1.055 1.112 0.51166 -99.0 0.51166 -99.0 2133700000.0 2.0 0.9843 3.0 -38.86 19.52 2549500000.0 1422500000.0 -1.96 -99.0 -99.0 -99.0 -99.0 180 00000 -1.0 1.0
aegis 186 3 1 0 1.8855 1.375 1.542 2.164 2.43 14.374 12.958 1.4152 118880000000.0 5901600000.0 0.0 1.8855 3.0 45.86 20.94 3140800000.0 3934400000.0 -0.45 -99.0 -99.0 -99.0 -99.0 186 00000 -1.0 1.0
aegis 191 3 1 0 0.9807 0.422 0.74 1.14 1.75 3.1886 3.0335 0.15506 27831000000.0 646610000.0 0.0 0.9807 3.0 51.11 16.17 643120000.0 431080000.0 -1.72 -99.0 -99.0 -99.0 -99.0 191 00000 -1.0 1.0
aegis 213 3 1 0 0.8859 0.727 0.801 0.969 1.034 1.2983 1.2186 0.079661 11180000000.0 332200000.0 0.0 0.8859 3.0 27.98 19.04 127840000.0 221470000.0 0.06 -99.0 -99.0 -99.0 -99.0 213 00000 -1.0 1.0
aegis 236 3 1 0 2.2786 1.96 2.149 2.414 2.505 4.8497 1.5686 3.2811 14391000000.0 13683000000.0 1.0 2.2786 3.0 3.125 17.46 17276000000.0 9121700000.0 -1.96 -99.0 -99.0 -99.0 -99.0 236 00000 -1.0 1.0
aegis 268 3 1 0 1.3371 1.05 1.173 1.464 1.582 3.7869 3.4017 0.38523 31208000000.0 1606500000.0 1.0 1.3371 3.0 15.83 18.15 1834900000.0 1071000000.0 -1.88 -99.0 -99.0 -99.0 -99.0 268 00000 -1.0 1.0
aegis 290 3 1 0 1.695 1.551 1.607 1.784 1.859 9.9069 6.8243 3.0826 62608000000.0 12855000000.0 0.0 1.695 3.0 24.49 17.45 16191000000.0 8569800000.0 -2.05 -99.0 -99.0 -99.0 -99.0 290 00000 -1.0 1.0
aegis 295 3 1 0 2.3654 2.103 2.208 2.639 2.749 63.465 61.612 1.8532 565250000000.0 7727900000.0 0.0 2.3654 3.0 108.4 42.02 7390700000.0 5152000000.0 -1.64 -99.0 -99.0 -99.0 -99.0 295 00000 -1.0 1.0
aegis 298 3 1 0 0.9748 0.8 0.881 1.059 1.153 0.41864 -99.0 0.41864 -99.0 1745800000.0 2.0 0.9748 3.0 -22.05 18.5 2133600000.0 1163900000.0 -1.97 -99.0 -99.0 -99.0 -99.0 298 00000 -1.0 1.0
aegis 320 3 1 0 2.4605 2.214 2.354 2.574 2.668 2.9636 -99.0 2.9636 -99.0 12359000000.0 2.0 2.4605 3.0 -11.87 13.01 15643000000.0 8239200000.0 -1.98 -99.0 -99.0 -99.0 -99.0 320 00000 -1.0 1.0
aegis 353 3 1 0 0.9772 0.565 0.727 1.213 1.34 1.5241 1.4284 0.095716 13105000000.0 399150000.0 0.0 0.9772 3.0 24.38 12.72 484960000.0 266100000.0 -1.96 -99.0 -99.0 -99.0 -99.0 353 00000 -1.0 1.0
aegis 392 3 1 0 0.993 0.806 0.898 1.089 1.137 0.070767 -99.0 0.070767 -99.0 295110000.0 2.0 0.993 3.0 -10.24 15.79 88124000.0 196740000.0 0.48 -99.0 -99.0 -99.0 -99.0 392 00000 -1.0 1.0
aegis 393 3 1 0 1.8586 1.57 1.701 2.029 2.188 18.545 16.689 1.8557 153110000000.0 7738400000.0 0.0 1.8586 3.0 60.74 13.95 8613900000.0 5158900000.0 -1.81 -99.0 -99.0 -99.0 -99.0 393 aegis-26-G141_00393 2.02225 1.0
aegis 407 3 1 0 1.8779 1.015 1.368 2.48 5.256 0.40461 0.27541 0.1292 2526700000.0 538780000.0 1.0 1.8779 3.0 0.9835 21.84 71246000.0 359190000.0 1.81 -99.0 -99.0 -99.0 -99.0 407 00000 -1.0 2.0
aegis 443 3 1 0 1.3865 0.881 1.076 1.752 1.975 0.3617 -99.0 0.3617 -99.0 1508300000.0 2.0 1.3865 3.0 -11.29 23.42 1396200000.0 1005600000.0 -1.66 -99.0 -99.0 -99.0 -99.0 443 00000 -1.0 1.0
aegis 459 3 1 0 1.0884 0.974 1.031 1.137 1.246 0.29711 -99.0 0.29711 -99.0 1239000000.0 2.0 1.0884 3.0 -5.504 20.42 1432400000.0 825990000.0 -1.86 0.93 0.68 285.46 279.86 459 aegis-26-G141_00459 1.00171 1.0
aegis 482 3 1 0 1.2579 0.537 1.013 1.311 1.362 3.3433 3.197 0.14636 29330000000.0 610330000.0 0.0 1.2579 3.0 19.86 18.25 691850000.0 406880000.0 -1.9 -99.0 -99.0 -99.0 -99.0 482 00000 -1.0 1.0
aegis 483 3 1 0 1.6365 1.274 1.331 2.154 2.283 3.5395 2.0952 1.4443 19222000000.0 6023000000.0 1.0 1.6365 3.0 7.186 20.05 5135200000.0 4015400000.0 -1.29 -99.0 -99.0 -99.0 -99.0 483 00000 -1.0 1.0
aegis 503 3 1 0 2.3575 1.003 1.069 2.859 3.185 3.2463 -99.0 3.2463 -99.0 13538000000.0 2.0 2.3575 3.0 -4.901 17.73 11817000000.0 9025000000.0 -1.24 -99.0 -99.0 -99.0 -99.0 503 00000 -1.0 1.0
aegis 515 3 1 0 1.4297 1.137 1.286 1.593 1.754 1.7553 1.7104 0.044953 15691000000.0 187460000.0 1.0 1.4297 3.0 6.509 20.42 128570000.0 124970000.0 -0.6 -99.0 -99.0 -99.0 -99.0 515 00000 -1.0 3.0
aegis 639 3 1 0 1.6577 1.31 1.427 1.817 1.948 1.5122 -99.0 1.5122 -99.0 6306100000.0 2.0 1.6577 3.0 -13.97 17.76 7618800000.0 4204100000.0 -1.95 -99.0 -99.0 -99.0 -99.0 639 00000 -1.0 1.0
aegis 640 3 1 0 1.1416 0.867 0.961 1.348 1.581 2.4943 2.4864 0.0078626 22811000000.0 32788000.0 0.0 1.1416 3.0 23.67 17.55 2885200.0 21859000.0 3.84 -99.0 -99.0 -99.0 -99.0 640 00000 -1.0 3.0
aegis 656 3 1 0 2.4036 1.26 2.197 2.588 2.75 18.041 16.453 1.5886 150940000000.0 6624700000.0 0.0 2.4036 3.0 27.16 19.41 6559300000.0 4416500000.0 -1.61 -99.0 -99.0 -99.0 -99.0 656 00000 -1.0 1.0
aegis 713 3 1 0 1.8183 1.323 1.513 2.11 2.284 7.7389 7.0049 0.73393 64265000000.0 3060600000.0 0.0 1.8183 3.0 26.25 15.64 2909300000.0 2040400000.0 -1.55 -99.0 -99.0 -99.0 -99.0 713 00000 -1.0 1.0
aegis 754 3 1 0 0.6753 0.241 0.475 0.893 1.133 0.055737 -99.0 0.055737 -99.0 232430000.0 2.0 0.6753 3.0 -10.98 19.77 261640000.0 154960000.0 -1.96 -99.0 -99.0 -99.0 -99.0 754 00000 -1.0 1.0
aegis 765 3 1 0 0.8327 0.486 0.699 0.984 1.062 0.08622 -99.0 0.08622 -99.0 359550000.0 2.0 0.8327 3.0 -25.25 18.15 397760000.0 239700000.0 -1.87 -99.0 -99.0 -99.0 -99.0 765 aegis-02-G141_00765 0.71944 1.0
aegis 769 3 1 0 1.8148 1.412 1.663 1.988 2.225 0.5279 -99.0 0.5279 -99.0 2201400000.0 2.0 1.8148 3.0 -8.256 13.43 2138500000.0 1467600000.0 -1.67 -99.0 -99.0 -99.0 -99.0 769 aegis-06-G141_00769 2.64917 1.0
aegis 783 3 1 0 0.862 0.071 0.328 1.377 1.586 0.44455 0.39226 0.052297 3598700000.0 218080000.0 1.0 0.862 3.0 9.468 19.09 144240000.0 145390000.0 -0.4 -99.0 -99.0 -99.0 -99.0 783 00000 -1.0 1.0
aegis 808 3 1 0 0.8705 0.708 0.772 0.966 1.035 1.8225 1.591 0.23152 14596000000.0 965470000.0 0.0 0.8705 3.0 37.73 15.04 805110000.0 643640000.0 -1.0 -99.0 -99.0 -99.0 -99.0 808 00000 -1.0 1.0
aegis 858 3 1 0 1.5776 0.789 1.028 2.191 5.081 11.07 11.002 0.068638 100930000000.0 286230000.0 0.0 1.5776 3.0 37.32 16.63 197810000.0 190820000.0 -1.4 -99.0 -99.0 -99.0 -99.0 858 aegis-26-G141_00858 1.68049 3.0
aegis 872 3 1 0 1.1678 0.979 1.071 1.264 1.341 2.7038 2.2208 0.48294 20374000000.0 2013900000.0 1.0 1.1678 3.0 19.37 20.14 1992700000.0 1342600000.0 -1.62 1.36 0.65 271.61 141.02 872 aegis-06-G141_00872 1.23782 1.0
aegis 882 3 1 0 1.3977 1.06 1.188 1.604 1.704 3.3647 3.3533 0.011401 30764000000.0 47545000.0 1.0 1.3977 3.0 13.41 14.72 27601.0 31697000.0 10.57 -99.0 -99.0 -99.0 -99.0 882 00000 -1.0 3.0
aegis 890 3 1 0 1.4686 1.337 1.396 1.513 1.744 2.1322 -99.0 2.1322 -99.0 8891700000.0 2.0 1.4686 3.0 -5.017 12.64 10895000000.0 5927800000.0 -1.97 -99.0 -99.0 -99.0 -99.0 890 00000 -1.0 1.0
aegis 899 3 1 0 1.5918 1.205 1.35 1.861 2.026 13.603 12.936 0.6672 118680000000.0 2782300000.0 0.0 1.5918 3.0 43.79 16.1 2077600000.0 1854900000.0 -1.16 1.22 0.63 1161004.37 1674200109958.96 899 aegis-06-G141_00899 1.35726 1.0
aegis 924 3 1 0 1.443 0.936 1.169 1.784 2.111 0.10856 -99.0 0.10856 -99.0 452710000.0 2.0 1.443 3.0 -11.06 16.71 459280000.0 301810000.0 -1.76 -99.0 -99.0 -99.0 -99.0 924 aegis-26-G141_00924 2.49733 2.0
aegis 1028 3 1 0 0.9239 0.655 0.766 1.047 1.188 0.0010733 -99.0 0.0010733 -99.0 4475700.0 2.0 0.9239 3.0 -9.948 23.44 1979600.0 2983800.0 -0.3 -99.0 -99.0 -99.0 -99.0 1028 00000 -1.0 3.0
aegis 1086 3 1 0 0.9761 0.767 0.876 1.066 1.117 1.0987 0.87237 0.22629 8003400000.0 943670000.0 0.0 0.9761 3.0 14.95 13.28 858140000.0 629120000.0 -1.55 -99.0 -99.0 -99.0 -99.0 1086 00000 -1.0 1.0
aegis 1093 3 1 0 1.8059 1.362 1.574 2.057 2.265 11.447 10.45 0.99721 95869000000.0 4158500000.0 0.0 1.8059 3.0 39.28 14.21 3701400000.0 2772300000.0 -1.41 -99.0 -99.0 -99.0 -99.0 1093 00000 -1.0 1.0
aegis 1131 3 1 0 0.9082 0.803 0.861 0.955 0.996 0.19628 -99.0 0.19628 -99.0 818520000.0 2.0 0.9082 3.0 -14.44 17.07 952950000.0 545680000.0 -1.95 -99.0 -99.0 -99.0 -99.0 1131 00000 -1.0 1.0
aegis 1167 3 1 0 2.3467 1.17 1.689 2.9 3.374 0.32253 -99.0 0.32253 -99.0 1345000000.0 2.0 2.3467 3.0 -14.53 13.02 741000000.0 896670000.0 -0.4 -99.0 -99.0 -99.0 -99.0 1167 00000 -1.0 3.0
aegis 1203 3 1 0 2.2171 1.81 2.012 2.438 2.722 1.5572 1.5124 0.044817 13875000000.0 186890000.0 1.0 2.2171 3.0 3.306 19.96 70457.0 124590000.0 13.87 -99.0 -99.0 -99.0 -99.0 1203 aegis-15-G141_01203 -1.0 3.0
aegis 1216 3 1 0 0.8857 0.723 0.803 0.966 1.031 0.17106 -99.0 0.17106 -99.0 713330000.0 2.0 0.8857 3.0 -7.963 16.91 832600000.0 475550000.0 -1.92 -99.0 -99.0 -99.0 -99.0 1216 00000 -1.0 1.0
aegis 1226 3 1 0 1.817 1.164 1.431 2.197 2.428 0.61665 0.53674 0.079909 4924200000.0 333230000.0 1.0 1.817 3.0 2.012 17.42 5823700.0 222150000.0 11.68 -99.0 -99.0 -99.0 -99.0 1226 aegis-15-G141_01226 1.80247 3.0
aegis 1308 3 1 0 1.2126 1.026 1.084 1.327 1.435 0.6555 -99.0 0.6555 -99.0 2733500000.0 2.0 1.2126 3.0 -2.283 17.94 3127900000.0 1822300000.0 -1.89 5.13 0.84 958.5 248.95 1308 aegis-26-G141_01308 1.11594 1.0
aegis 1355 3 1 0 0.9152 0.38 0.534 1.271 1.468 0.7365 0.60492 0.13157 5549800000.0 548680000.0 0.0 0.9152 3.0 12.79 12.77 305440000.0 365780000.0 -0.7 -99.0 -99.0 -99.0 -99.0 1355 00000 -1.0 3.0
aegis 1374 3 1 0 0.8389 0.237 0.598 1.076 1.335 0.43851 0.40546 0.033046 3719800000.0 137810000.0 1.0 0.8389 3.0 10.1 14.18 167570000.0 91872000.0 -1.89 -99.0 -99.0 -99.0 -99.0 1374 00000 -1.0 1.0
aegis 1381 3 1 0 1.4109 1.074 1.203 1.725 1.923 0.88002 -99.0 0.88002 -99.0 3669800000.0 2.0 1.4109 3.0 -11.87 17.84 3678700000.0 2446500000.0 -1.63 -99.0 -99.0 -99.0 -99.0 1381 00000 -1.0 1.0
aegis 1393 3 1 0 1.3785 1.197 1.274 1.484 1.703 7.1218 6.0855 1.0363 55830000000.0 4321500000.0 0.0 1.3785 3.0 25.29 15.11 5133000000.0 2881000000.0 -1.92 -99.0 -99.0 -99.0 -99.0 1393 00000 -1.0 1.0
aegis 1413 3 1 0 1.6643 1.153 1.338 2.031 2.403 3.9746 3.9329 0.041648 36082000000.0 173680000.0 1.0 1.6643 3.0 13.77 14.67 2180.5 115790000.0 20.4 -99.0 -99.0 -99.0 -99.0 1413 aegis-26-G141_01413 0.28853 3.0
aegis 1460 3 1 0 0.8936 0.702 0.796 0.989 1.035 0.26537 -99.0 0.26537 -99.0 1106600000.0 2.0 0.8936 3.0 -10.64 15.83 1191700000.0 737740000.0 -1.79 -99.0 -99.0 -99.0 -99.0 1460 00000 -1.0 1.0
aegis 1479 3 1 0 1.0467 0.886 0.98 1.116 1.167 2.0748 1.5768 0.49797 14467000000.0 2076600000.0 1.0 1.0467 3.0 20.75 21.14 2152100000.0 1384400000.0 -1.8 -99.0 -99.0 -99.0 -99.0 1479 00000 -1.0 1.0
aegis 1541 3 1 0 2.3578 2.112 2.241 2.477 2.591 25.391 21.723 3.6681 199300000000.0 15297000000.0 0.0 2.3578 3.0 38.67 21.98 18223000000.0 10198000000.0 -1.92 -99.0 -99.0 -99.0 -99.0 1541 00000 -1.0 1.0
aegis 1571 3 1 0 1.3268 0.661 0.887 1.821 2.09 1.308 1.0677 0.2403 9795600000.0 1002100000.0 1.0 1.3268 3.0 5.146 30.93 566110000.0 668040000.0 -0.51 3.87 1.31 inf inf 1571 aegis-07-G141_01571 0.76121 1.0
