# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
aegis 36257 2 1 1 2.1393 2.1325 2.1352 2.1402 2.1425 12.497 3.2221 9.2747 29560000000.0 38677000000.0 1.0 2.2011 2.0 7.222 12.03 32962000000.0 25784000000.0 -1.35 -99.0 -99.0 -99.0 -99.0 36257 aegis-04-G141_36257 2.1393 1.0
aegis 33808 2 1 1 2.2268 2.2167 2.2214 2.2299 2.2375 12.649 -99.0 12.649 -99.0 52746000000.0 2.0 2.2355 2.0 -16.93 9.087 46479000000.0 35164000000.0 -1.39 -99.0 -99.0 -99.0 -99.0 33808 aegis-04-G141_33808 2.22683 1.0
aegis 32354 2 1 1 2.1377 2.1315 2.134 2.1392 2.1425 18.331 -99.0 18.331 -99.0 76443000000.0 2.0 2.198 2.0 -0.4018 8.807 79721000000.0 50962000000.0 -1.72 -99.0 -99.0 -99.0 -99.0 32354 aegis-13-G141_32354 2.13773 1.0
aegis 17437 2 1 1 2.3135 2.2824 2.2992 2.3215 2.3346 101.05 96.727 4.3242 887400000000.0 18032000000.0 0.0 2.2865 2.0 190.5 8.81 10589000000.0 12022000000.0 -0.49 -99.0 -99.0 -99.0 -99.0 17437 aegis-09-G141_17437 2.31348 1.0
aegis 16390 2 1 1 2.1315 2.1191 2.1252 2.1328 2.1363 8.0961 1.7577 6.3384 16126000000.0 26432000000.0 1.0 2.1895 2.0 4.012 13.34 21140000000.0 17621000000.0 -1.21 -99.0 -99.0 -99.0 -99.0 16390 aegis-09-G141_16390 2.13146 1.0
aegis 14957 2 1 1 2.3085 2.3017 2.3047 2.3108 2.3142 23.98 18.06 5.9207 165680000000.0 24690000000.0 0.0 2.4069 2.0 29.63 12.68 20324000000.0 16460000000.0 -1.28 -99.0 -99.0 -99.0 -99.0 14957 aegis-28-G141_14957 2.30852 1.0
aegis 10471 3 1 0 2.3459 2.212 2.267 2.424 2.469 57.561 53.313 4.248 489110000000.0 17715000000.0 0.0 2.3459 3.0 96.58 12.71 10088000000.0 11810000000.0 -0.43 -99.0 -99.0 -99.0 -99.0 10471 aegis-28-G141_10471 2.39736 1.0
aegis 10494 2 1 1 2.2953 2.2876 2.2908 2.2963 2.2987 83.979 66.214 17.765 607460000000.0 74084000000.0 0.0 2.1137 2.0 169.3 12.37 25991000000.0 49389000000.0 0.34 -99.0 -99.0 -99.0 -99.0 10494 aegis-28-G141_10494 2.29531 1.0
aegis 8540 3 1 0 2.2726 2.153 2.205 2.341 2.38 5.6972 -99.0 5.6972 -99.0 23758000000.0 2.0 2.2726 3.0 -13.8 9.561 24353000000.0 15839000000.0 -1.7 -99.0 -99.0 -99.0 -99.0 8540 aegis-28-G141_08540 2.08484 1.0
aegis 3668 2 1 1 2.1883 2.184 2.1857 2.1892 2.1909 23.214 -99.0 23.214 -99.0 96804000000.0 2.0 2.2107 2.0 -2.646 15.16 92464000000.0 64536000000.0 -1.54 -99.0 -99.0 -99.0 -99.0 3668 aegis-28-G141_03668 2.18834 1.0
aegis 4711 2 1 1 2.1867 2.1826 2.1842 2.1877 2.1893 0.0021683 0.0014861 0.00068212 13634000.0 2844500.0 0.0 0.0213 2.0 176.5 8.717 3322600.0 1896400.0 -1.91 -99.0 -99.0 -99.0 -99.0 4711 aegis-30-G141_04711 2.18674 1.0
