# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 3 3 1 0 0.8131 0.776 0.792 0.837 0.843 2.4763 1.3982 1.0782 12827000000.0 4496100000.0 0.0 0.8131 3.0 36.06 31.62 1622200000.0 2997400000.0 -0.06 -99.0 -99.0 -99.0 -99.0 3 00000 -1.0
cosmos 5 3 1 0 0.5092 0.391 0.468 0.556 0.596 0.0036845 -99.0 0.0036845 -99.0 15365000.0 2.0 0.5092 3.0 -8.207 27.12 78668.0 10243000.0 8.89 -99.0 -99.0 -99.0 -99.0 5 00000 -1.0
cosmos 14 3 1 0 1.7441 1.584 1.643 1.828 1.897 16.032 15.791 0.24095 144880000000.0 1004800000.0 0.0 1.744 3.0 58.8 25.31 244300000.0 669870000.0 0.72 -99.0 -99.0 -99.0 -99.0 14 00000 -1.0
cosmos 15 3 1 0 0.0503 0.011 0.014 0.071 0.337 3.869e-08 -99.0 3.869e-08 -99.0 161.34 2.0 0.0503 3.0 -18.32 27.72 0.012591 107.56 15.38 -99.0 -99.0 -99.0 -99.0 15 00000 -1.0
cosmos 17 3 1 0 1.4513 1.273 1.354 1.545 1.632 0.16359 -99.0 0.16359 -99.0 682190000.0 2.0 1.451 3.0 -1.14 30.84 255660000.0 454790000.0 -0.21 -99.0 -99.0 -99.0 -99.0 17 00000 -1.0
cosmos 21 3 1 0 2.3632 2.218 2.275 2.451 2.532 11.42 5.9898 5.43 54952000000.0 22644000000.0 1.0 2.363 3.0 10.58 27.61 23092000000.0 15096000000.0 -1.7 -99.0 -99.0 -99.0 -99.0 21 00000 -1.0
cosmos 22 3 1 0 0.6735 0.53 0.597 0.752 0.832 0.0022618 -99.0 0.0022618 -99.0 9432000.0 2.0 0.6735 3.0 -49.94 30.67 2255500.0 6288000.0 1.95 -99.0 -99.0 -99.0 -99.0 22 00000 -1.0
cosmos 25 3 1 0 1.3683 1.308 1.333 1.404 1.426 7.7728 6.5498 1.223 60090000000.0 5100000000.0 1.0 1.368 3.0 27.95 29.94 700140000.0 3400000000.0 1.9 -99.0 -99.0 -99.0 -99.0 25 00000 -1.0
cosmos 27 3 1 0 1.6341 1.564 1.591 1.679 1.725 13.705 10.03 3.6751 92015000000.0 15326000000.0 0.0 1.634 3.0 34.34 28.52 15630000000.0 10217000000.0 -1.64 -99.0 -99.0 -99.0 -99.0 27 00000 -1.0
cosmos 28 3 1 0 1.237 1.191 1.211 1.267 1.283 8.174 6.0974 2.0766 55939000000.0 8659600000.0 0.0 1.237 3.0 41.05 28.93 8071500000.0 5773100000.0 -1.57 -99.0 -99.0 -99.0 -99.0 28 00000 -1.0
cosmos 29 3 1 0 2.7591 2.639 2.705 2.816 2.846 4.5946 -99.0 4.5946 -99.0 19160000000.0 2.0 2.759 3.0 -53.91 42.44 24348000000.0 12773000000.0 -2.0 -99.0 -99.0 -99.0 -99.0 29 00000 -1.0
cosmos 30 3 1 0 0.2202 0.203 0.206 0.235 0.238 0.11689 0.024074 0.092811 220860000.0 387040000.0 1.0 0.2202 3.0 15.47 30.07 344400000.0 258020000.0 -1.54 -99.0 -99.0 -99.0 -99.0 30 00000 -1.0
cosmos 31 3 1 0 0.0901 0.024 0.046 0.129 0.149 0.0070258 0.0057477 0.0012781 52732000.0 5329800.0 1.0 0.0901 3.0 30.83 31.31 2822700.0 3553200.0 -0.17 -99.0 -99.0 -99.0 -99.0 31 00000 -1.0
cosmos 33 3 1 0 0.8566 0.312 0.497 0.64 0.657 0.39502 0.36462 0.030399 3345100000.0 126770000.0 1.0 0.8566 3.0 8.884 29.91 144330000.0 84511000.0 -1.9 -99.0 -99.0 -99.0 -99.0 33 00000 -1.0
cosmos 38 3 1 0 0.6369 0.602 0.61 0.668 0.684 0.59353 -99.0 0.59353 -99.0 2475100000.0 2.0 0.6369 3.0 -33.0 21.75 2670600000.0 1650100000.0 -1.8 -99.0 -99.0 -99.0 -99.0 38 00000 -1.0
cosmos 41 3 1 0 1.5799 1.43 1.491 1.671 1.8 2.5305 0.0336 2.4969 308260000.0 10412000000.0 1.0 1.58 3.0 0.1139 45.51 12260000000.0 6941600000.0 -1.91 -99.0 -99.0 -99.0 -99.0 41 00000 -1.0
cosmos 46 3 1 0 1.6012 1.47 1.546 1.659 1.69 3.8774 -99.0 3.8774 -99.0 16169000000.0 2.0 1.601 3.0 -6.339 45.97 17721000000.0 10780000000.0 -1.82 -99.0 -99.0 -99.0 -99.0 46 00000 -1.0
cosmos 47 3 1 0 0.8109 0.776 0.792 0.837 0.843 0.32098 -99.0 0.32098 -99.0 1338500000.0 2.0 0.8109 3.0 -4.059 23.86 123260000.0 892340000.0 2.63 -99.0 -99.0 -99.0 -99.0 47 00000 -1.0
cosmos 48 3 1 0 0.2141 0.14 0.186 0.243 0.292 0.0013758 -99.0 0.0013758 -99.0 5737200.0 2.0 0.2141 3.0 -19.7 29.82 6841400.0 3824800.0 -2.43 -99.0 -99.0 -99.0 -99.0 48 00000 -1.0
cosmos 50 3 1 0 1.8003 1.697 1.741 1.868 1.954 2.2314 -99.0 2.2314 -99.0 9305100000.0 2.0 1.8 3.0 -6.871 38.44 8185500000.0 6203400000.0 -1.41 -99.0 -99.0 -99.0 -99.0 50 00000 -1.0
cosmos 54 3 1 0 1.2319 1.167 1.2 1.266 1.288 1.4533 0.26159 1.1917 2399900000.0 4969700000.0 1.0 1.232 3.0 1.796 32.29 5869700000.0 3313100000.0 -1.92 -99.0 -99.0 -99.0 -99.0 54 00000 -1.0
