# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 1746 3 1 0 0.917 0.871 0.889 0.946 0.963 0.13237 -99.0 0.13237 -99.0 552020000.0 2.0 0.917 3.0 -20.42 20.31 157960000.0 368010000.0 0.11 -99.0 -99.0 -99.0 -99.0 1746 00000 -1.0
cosmos 1861 3 1 0 0.6802 0.654 0.66 0.702 0.717 0.18099 -99.0 0.18099 -99.0 754750000.0 2.0 0.6802 3.0 -21.18 25.29 101510000.0 503170000.0 2.07 -99.0 -99.0 -99.0 -99.0 1861 00000 -1.0
cosmos 6205 2 1 1 0.5849 0.5745 0.5818 0.6421 0.6925 0.051706 -99.0 0.051706 -99.0 215620000.0 2.0 0.5849 2.0 -30.67 25.54 23376000.0 143750000.0 2.39 -99.0 -99.0 -99.0 -99.0 6205 cosmos-13-G141_06205 0.58487
cosmos 30599 3 1 0 0.6786 0.653 0.659 0.7 0.714 0.26151 -99.0 0.26151 -99.0 1090500000.0 2.0 0.6786 3.0 -20.54 26.88 141990000.0 727030000.0 2.02 -99.0 -99.0 -99.0 -99.0 30599 00000 -1.0
cosmos 31154 3 1 0 0.6826 0.653 0.66 0.703 0.718 0.12293 -99.0 0.12293 -99.0 512660000.0 2.0 0.6826 3.0 -12.8 19.13 25346000.0 341770000.0 3.29 -99.0 -99.0 -99.0 -99.0 31154 00000 -1.0
cosmos 31559 3 1 0 0.6824 0.654 0.662 0.708 0.718 0.23403 -99.0 0.23403 -99.0 975920000.0 2.0 0.6824 3.0 -8.054 19.5 139020000.0 650610000.0 1.97 -99.0 -99.0 -99.0 -99.0 31559 00000 -1.0
cosmos 1394 3 1 0 0.9225 0.886 0.903 0.95 0.956 0.75922 -99.0 0.75922 -99.0 3166100000.0 2.0 0.9225 3.0 -3.265 24.17 919200000.0 2110700000.0 0.24 -99.0 -99.0 -99.0 -99.0 1394 00000 -1.0
cosmos 8873 2 1 1 0.7246 0.7188 0.7213 0.7263 0.7287 0.54285 -99.0 0.54285 -99.0 2263800000.0 2.0 0.7246 2.0 -12.14 23.15 426650000.0 1509200000.0 0.85 -1.65 1.27 -3.66 2.83 8873 cosmos-05-G141_08873 0.72461
cosmos 32271 3 1 0 0.655 0.622 0.634 0.679 0.686 0.44399 -99.0 0.44399 -99.0 1851500000.0 2.0 0.655 3.0 -1.944 14.47 178410000.0 1234300000.0 2.37 -99.0 -99.0 -99.0 -99.0 32271 00000 -1.0
cosmos 12696 2 1 1 0.7428 0.7371 0.7395 0.7443 0.7465 0.55051 -99.0 0.55051 -99.0 2295700000.0 2.0 0.7428 2.0 -17.11 17.08 404490000.0 1530500000.0 1.62 -1.99 1.38 -4.44 3.08 12696 cosmos-04-G141_12696 0.74281
