# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj RAdeg DEdeg z_bez Re n logM sigmaA e_sigmaA sigmaRe e_sigmaRe Exp
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 1424 1 1 1 0.681 -1.0 -1.0 -1.0 -1.0 5.2284 4.4536 0.77479 40858000000.0 3231000000.0 0.0 1.0 164.3 27.59 482810000.0 2154000000.0 1.86 15.48 5.01 20.21 6.55 1424 cosmos-14-G141_01424 0.67783 2.0 150.104 2.198 0.682 4.4 4.7 10.96 214 8 211 8 49200
cosmos 2436 2 1 1 0.4326 0.4255 0.4291 0.4375 0.4419 0.40285 0.26558 0.13727 2436500000.0 572430000.0 0.0 2.0 29.0 20.26 199710000.0 381620000.0 0.1 -99.0 -99.0 -99.0 -99.0 2436 cosmos-14-G141_02436 0.43261 3.0 150.097 2.205 0.424 0.8 2.7 10.13 131 5 143 6 49200
cosmos 4077 3 1 0 0.5471 0.514 0.529 0.567 0.572 4.6426 2.8917 1.7509 26530000000.0 7301400000.0 0.0 3.0 168.5 36.52 5391400000.0 4867600000.0 -1.23 -99.0 -99.0 -99.0 -99.0 4077 cosmos-06-G141_04077 0.57224 2.0 150.084 2.222 0.56 5.9 1.5 10.62 158 7 152 7 49200
cosmos 4327 2 1 1 0.8414 0.837 0.8391 0.8421 0.8434 55.209 54.325 0.88393 498390000000.0 3686100000.0 0.0 2.0 1349.0 43.4 1000400000.0 2457400000.0 0.42 27.05 2.12 79.68 6.54 4327 cosmos-14-G141_04327 0.84135 2.0 150.119 2.223 0.839 2.1 3.3 10.83 245 15 255 16 49200
cosmos 4596 1 1 1 0.7332 -1.0 -1.0 -1.0 -1.0 11.732 9.5791 2.1525 87882000000.0 8976400000.0 0.0 1.0 301.1 21.13 2664700000.0 5984300000.0 0.27 -0.82 1.8 -0.66 1.44 4596 cosmos-13-G141_04596 0.73239 3.0 150.121 2.227 0.733 3.6 2.9 11.07 171 7 172 7 49200
cosmos 5086 2 1 1 0.7463 0.7393 0.7425 0.7485 0.7513 4.3519 2.7742 1.5777 25452000000.0 6579200000.0 0.0 2.0 83.92 22.72 4208400000.0 4386100000.0 -0.68 17.94 2.48 102.48 15.05 5086 cosmos-13-G141_05086 0.7463 1.0 150.121 2.23 0.732 2.0 0.8 10.1 153 14 159 15 49200
cosmos 6877 2 1 1 0.7463 0.739 0.7423 0.7486 0.7515 0.76914 0.36496 0.40417 3348300000.0 1685500000.0 1.0 2.0 11.04 29.43 248260000.0 1123600000.0 1.8 -0.66 1.43 -2.6 5.61 6877 cosmos-13-G141_06877 0.7463 3.0 150.116 2.25 0.747 1.4 4.2 10.47 236 13 252 14 49200
cosmos 7807 1 1 1 0.6428 -1.0 -1.0 -1.0 -1.0 22.139 19.28 2.8595 176880000000.0 11924000000.0 0.0 1.0 792.9 27.89 5861200000.0 7949700000.0 -0.44 179.98 15.12 368.98 31.05 7807 cosmos-12-G141_07807 0.63722 1.0 150.104 2.261 0.642 1.9 1.7 10.15 133 9 138 9 49200
cosmos 8873 2 1 1 0.7246 0.7188 0.7213 0.7263 0.7287 0.54285 -99.0 0.54285 -99.0 2263800000.0 2.0 2.0 -12.14 23.15 426650000.0 1509200000.0 0.85 -1.65 1.27 -3.66 2.83 8873 cosmos-05-G141_08873 0.72461 3.0 150.086 2.272 0.728 1.5 4.7 10.65 225 6 238 7 49200
cosmos 9601 2 1 1 0.8386 0.834 0.8361 0.8396 0.8412 25.939 25.466 0.47317 233640000000.0 1973200000.0 0.0 2.0 634.6 24.67 575750000.0 1315500000.0 0.57 19.8 1.66 138.24 12.4 9601 cosmos-05-G141_09601 0.83859 2.0 150.083 2.278 0.835 1.6 1.8 10.49 241 34 255 36 49200
cosmos 10027 1 1 1 0.6677 -1.0 -1.0 -1.0 -1.0 0.54071 0.17738 0.36333 1627400000.0 1515100000.0 1.0 1.0 6.802 22.82 133660000.0 1010100000.0 2.62 1.9 2.59 9.23 12.68 10027 cosmos-23-G141_10027 0.6628 3.0 150.135 2.283 0.668 1.4 2.4 9.92 108 8 115 8 49200
cosmos 9681 1 1 1 0.7511 -1.0 -1.0 -1.0 -1.0 1.1617 0.43981 0.7219 4035000000.0 3010400000.0 1.0 1.0 13.12 19.19 339440000.0 2007000000.0 2.04 0.12 2.79 0.14 3.16 9681 cosmos-12-G141_09681 0.74368 2.0 150.098 2.281 0.75 6.5 4.0 11.33 214 6 206 5 49200
cosmos 10333 1 1 0 0.3615 -1.0 -1.0 -1.0 -1.0 0.73682 0.58682 0.15001 5383600000.0 625550000.0 0.0 1.0 105.2 23.48 89738000.0 417030000.0 1.77 -99.0 -99.0 -99.0 -99.0 10333 cosmos-24-G141_10333 0.36274 2.0 150.099 2.29 0.361 1.7 3.9 10.79 181 3 186 3 49200
cosmos 11580 1 1 1 0.5301 -1.0 -1.0 -1.0 -1.0 0.54367 0.1389 0.40476 1274300000.0 1687900000.0 1.0 1.0 8.762 26.01 355610000.0 1125300000.0 0.9 -99.0 -99.0 -99.0 -99.0 11580 cosmos-24-G141_11580 0.52806 3.0 150.089 2.3 0.533 2.3 5.1 10.36 155 7 158 8 49200
cosmos 12053 1 1 1 0.5334 -1.0 -1.0 -1.0 -1.0 1.2042 0.7983 0.40592 7323900000.0 1692700000.0 0.0 1.0 49.58 22.54 763740000.0 1128500000.0 -0.41 -99.0 -99.0 -99.0 -99.0 12053 cosmos-26-G141_12053 0.52806 3.0 150.088 2.304 0.533 1.6 4.9 10.53 243 6 255 6 49200
cosmos 12381 2 1 1 0.6888 0.6811 0.6851 0.6919 0.6951 28.412 27.207 1.2055 249600000000.0 5026900000.0 0.0 2.0 980.9 26.0 1193400000.0 3351300000.0 0.89 45.01 4.79 103.56 11.38 12381 cosmos-24-G141_12381 0.68877 2.0 150.098 2.308 0.687 2.9 1.2 10.34 158 11 160 11 49200
cosmos 12658 1 1 1 0.4609 -1.0 -1.0 -1.0 -1.0 1.8693 1.2287 0.64059 11272000000.0 2671400000.0 0.0 1.0 112.7 21.93 1858400000.0 1780900000.0 -1.16 -99.0 -99.0 -99.0 -99.0 12658 cosmos-20-G141_12658 0.46302 2.0 150.138 2.31 0.461 1.9 1.3 10.36 157 4 161 4 49200
cosmos 13692 1 1 1 0.6776 -1.0 -1.0 -1.0 -1.0 4.6207 3.3357 1.2849 30603000000.0 5358400000.0 0.0 1.0 124.3 22.9 2231200000.0 3572300000.0 -0.01 -99.0 -99.0 -99.0 -99.0 13692 cosmos-20-G141_13692 0.67531 2.0 150.126 2.32 0.677 1.5 4.0 10.23 181 7 191 7 49200
cosmos 14445 1 1 1 0.8853 -1.0 -1.0 -1.0 -1.0 0.91167 -99.0 0.91167 -99.0 3801800000.0 2.0 1.0 -34.01 30.76 808870000.0 2534500000.0 0.49 -1.32 1.33 -6.33 6.33 14445 cosmos-20-G141_14445 0.88608 3.0 150.12 2.328 0.884 1.5 6.0 10.44 185 11 196 12 49200
cosmos 14814 1 1 1 0.6672 -1.0 -1.0 -1.0 -1.0 7.1443 6.1745 0.96986 56646000000.0 4044500000.0 0.0 1.0 237.1 28.93 1638500000.0 2696300000.0 -0.31 7.25 4.54 10.91 6.8 14814 cosmos-03-G141_14814 0.6603 2.0 150.094 2.334 0.668 2.8 5.2 10.79 177 5 180 5 49200
cosmos 15698 2 1 1 1.031 1.0275 1.0291 1.0319 1.0334 3.4557 2.3553 1.1004 21608000000.0 4588900000.0 0.0 2.0 32.88 27.8 2083200000.0 3059300000.0 -0.4 13.36 1.07 123.78 10.32 15698 cosmos-10-G141_15698 1.03094 3.0 150.128 2.341 1.03 1.3 4.5 10.5 158 15 171 16 49200
cosmos 17246 1 1 1 0.5298 -1.0 -1.0 -1.0 -1.0 0.53021 0.27181 0.25841 2493600000.0 1077600000.0 1.0 1.0 17.17 19.52 170810000.0 718400000.0 1.67 -99.0 -99.0 -99.0 -99.0 17246 cosmos-10-G141_17246 0.53342 3.0 150.096 2.357 0.53 1.0 2.4 10.19 202 6 217 7 49200
