# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 15796 2 1 1 1.2535 1.2496 1.2515 1.2555 1.2576 27.13 23.892 3.2385 219190000000.0 13505000000.0 0.0 1.286 2.0 133.4 24.4 5814800000.0 9003400000.0 -0.12 9.92 0.99 130.79 13.81 15796 cosmos-03-G141_15796 1.25353
cosmos 3243 2 1 1 0.9271 0.9224 0.9242 0.9285 0.9304 15.113 11.888 3.2251 109060000000.0 13449000000.0 0.0 0.9488 2.0 224.7 24.98 5469800000.0 8966000000.0 0.1 37.28 2.64 151.71 11.34 3243 cosmos-14-G141_03243 0.92707
cosmos 8238 2 1 1 0.9977 0.993 0.995 0.9988 1.0011 16.231 13.183 3.0473 120950000000.0 12707000000.0 0.0 0.9909 2.0 213.9 22.6 7886900000.0 8471700000.0 -0.58 15.63 1.18 130.85 10.38 8238 cosmos-22-G141_08238 0.99771
cosmos 3736 1 1 1 0.7234 -1.0 -1.0 -1.0 -1.0 27.834 22.228 5.6056 203930000000.0 23376000000.0 0.0 0.7234 1.0 719.5 17.28 11625000000.0 15584000000.0 -0.41 72.59 4.04 59.75 3.4 3736 cosmos-06-G141_03736 0.72633
cosmos 8359 2 1 1 1.1663 1.1626 1.164 1.1667 1.168 11.984 6.7387 5.2451 61823000000.0 21873000000.0 0.0 1.1731 2.0 57.67 23.38 23666000000.0 14582000000.0 -1.81 15.72 1.06 453.83 36.57 8359 cosmos-22-G141_08359 1.16626
cosmos 24997 2 1 1 1.22 1.2168 1.2182 1.221 1.2222 10.574 9.2715 1.3021 85059000000.0 5429900000.0 0.0 1.174 2.0 79.09 19.16 2345100000.0 3619900000.0 -0.09 15.81 1.08 431.79 34.22 24997 cosmos-15-G141_24997 1.21998
cosmos 15320 2 1 1 1.2569 1.2538 1.2552 1.258 1.2595 26.377 24.534 1.8428 225080000000.0 7684500000.0 0.0 1.2586 2.0 152.0 21.52 4372900000.0 5123000000.0 -0.57 16.23 1.26 195.11 16.18 15320 cosmos-09-G141_15320 1.25692
cosmos 9798 2 1 1 0.7376 0.7353 0.7364 0.7389 0.7402 5.4224 5.0804 0.34195 46610000000.0 1426000000.0 0.0 0.6247 2.0 219.9 24.58 937490000.0 950660000.0 -0.55 16.47 1.58 150.92 15.64 9798 cosmos-05-G141_09798 0.73759
cosmos 8359 2 1 1 1.1663 1.1626 1.164 1.1667 1.168 11.984 6.7387 5.2451 61823000000.0 21873000000.0 0.0 1.1731 2.0 57.67 23.38 23666000000.0 14582000000.0 -1.81 15.72 1.06 453.83 36.57 8359 cosmos-22-G141_08359 1.16626
cosmos 19719 2 1 1 1.1372 1.133 1.1351 1.139 1.141 46.404 41.849 4.5555 383930000000.0 18997000000.0 0.0 1.1404 2.0 399.9 19.81 8800200000.0 12665000000.0 -0.33 18.82 1.27 68.75 4.68 19719 cosmos-25-G141_19719 1.13721
cosmos 5656 2 1 1 0.7977 0.7931 0.7949 0.799 0.8008 45.923 42.038 3.8852 385670000000.0 16202000000.0 0.0 0.8529 2.0 1029.0 23.64 6990100000.0 10801000000.0 -0.09 33.67 2.3 67.02 4.72 5656 cosmos-13-G141_05656 0.79769
cosmos 19876 2 1 1 1.163 1.16 1.1614 1.1643 1.1658 -99.0 -99.0 8.1265 -99.0 33889000000.0 2.0 1.1515 2.0 -4.264 15.22 39504000000.0 22593000000.0 -1.91 21.82 1.23 529.24 34.83 19876 cosmos-25-G141_19876 1.16301
cosmos 12248 2 1 1 0.9338 0.9306 0.932 0.9345 0.9356 5.1482 1.684 3.4642 15449000000.0 14446000000.0 0.0 0.9286 2.0 34.08 19.12 15115000000.0 9630900000.0 -1.77 17.91 1.07 278.16 18.91 12248 cosmos-23-G141_12248 0.93383
cosmos 11635 2 1 1 0.9858 0.9801 0.9825 0.9872 0.9893 12.205 8.7098 3.4952 79906000000.0 14575000000.0 0.0 0.9681 2.0 153.7 20.73 10577000000.0 9716900000.0 -1.17 17.04 1.61 186.72 18.93 11635 cosmos-04-G141_11635 0.98576
cosmos 15777 2 1 1 0.928 0.9255 0.9265 0.9287 0.9297 13.077 9.3792 3.6974 86048000000.0 15419000000.0 0.0 0.9283 2.0 190.0 19.09 14877000000.0 10279000000.0 -1.64 37.39 1.11 558.56 25.34 15777 cosmos-20-G141_15777 0.92803
cosmos 18417 2 1 1 0.9377 0.9344 0.9359 0.939 0.9404 39.405 37.391 2.0133 343040000000.0 8395600000.0 0.0 0.9478 2.0 709.3 25.32 5295100000.0 5597000000.0 -0.62 22.35 2.04 238.98 24.96 18417 cosmos-17-G141_18417 0.9377
cosmos 10740 2 1 1 0.8276 0.8252 0.8263 0.8287 0.83 4.5449 3.7013 0.84362 33957000000.0 3518000000.0 0.0 0.7928 2.0 99.22 15.18 3342900000.0 2345300000.0 -1.71 15.0 1.07 559.75 57.77 10740 cosmos-23-G141_10740 0.82759
cosmos 24797 2 1 1 1.1287 1.1256 1.1271 1.1305 1.1325 8.3119 4.7735 3.5383 43794000000.0 14755000000.0 0.0 1.1294 2.0 47.23 18.57 16145000000.0 9836900000.0 -1.87 14.92 1.39 505.8 53.86 24797 cosmos-15-G141_24797 1.12868
cosmos 6487 1 1 1 0.9073 -1.0 -1.0 -1.0 -1.0 45.524 43.014 2.5095 394630000000.0 10465000000.0 0.0 0.9073 1.0 930.7 22.72 3246800000.0 6976500000.0 0.55 24.51 2.26 61.12 5.8 6487 cosmos-21-G141_06487 0.90694
cosmos 5176 2 1 1 1.2558 1.2486 1.2518 1.2571 1.2592 56.474 55.275 1.1994 507110000000.0 5001800000.0 0.0 1.2612 2.0 339.1 18.34 1118200000.0 3334500000.0 1.07 20.68 1.96 320.54 33.81 5176 cosmos-06-G141_05176 1.25579
cosmos 4549 2 1 1 1.3303 1.3262 1.328 1.3315 1.3333 36.867 31.985 4.8823 293440000000.0 20360000000.0 0.0 1.3218 2.0 156.8 21.91 13371000000.0 13573000000.0 -0.96 17.78 1.33 258.07 21.58 4549 cosmos-02-G141_04549 1.33031
cosmos 7315 2 1 1 0.7281 0.7239 0.726 0.7314 0.7332 26.96 24.23 2.7305 222290000000.0 11387000000.0 0.0 0.7295 2.0 770.1 22.96 5825300000.0 7591200000.0 -0.43 35.7 2.6 46.95 3.47 7315 cosmos-05-G141_07315 0.72806
cosmos 23905 1 1 1 0.7265 -1.0 -1.0 -1.0 -1.0 41.383 35.828 5.5546 328700000000.0 23163000000.0 0.0 0.7265 1.0 1149.0 19.74 11662000000.0 15442000000.0 -0.31 107.67 4.2 183.97 7.8 23905 cosmos-28-G141_23905 0.72461
cosmos 9287 1 1 1 1.0464 -1.0 -1.0 -1.0 -1.0 33.766 30.53 3.2361 280090000000.0 13495000000.0 0.0 1.0464 1.0 402.2 21.67 6245800000.0 8996800000.0 -0.32 35.27 1.66 245.53 12.52 9287 cosmos-23-G141_09287 1.0493
cosmos 18435 2 1 1 1.4242 1.4186 1.421 1.4261 1.4283 27.104 24.834 2.2695 227840000000.0 9464000000.0 0.0 1.4135 2.0 96.71 22.77 4379600000.0 6309300000.0 -0.36 15.28 1.44 378.89 44.9 18435 cosmos-17-G141_18435 1.4242
cosmos 19648 2 1 1 0.9003 0.8958 0.8984 0.903 0.9057 48.772 42.758 6.0135 392280000000.0 25077000000.0 0.0 0.9067 2.0 926.7 23.13 12391000000.0 16718000000.0 -0.3 52.07 2.82 152.5 8.63 19648 cosmos-25-G141_19648 0.90028
cosmos 12102 2 1 1 1.4645 1.4602 1.4619 1.4649 1.4663 25.379 22.342 3.037 204980000000.0 12665000000.0 0.0 1.7259 2.0 82.16 20.5 7763000000.0 8443200000.0 -0.72 22.48 1.04 1169.48 123.15 12102 cosmos-24-G141_12102 1.46453
cosmos 4366 2 1 1 1.2167 1.2129 1.2147 1.2184 1.2202 4.9551 2.6985 2.2566 24757000000.0 9410500000.0 0.0 1.18 2.0 22.53 13.54 10158000000.0 6273600000.0 -1.87 9.45 0.93 517.72 61.87 4366 cosmos-19-G141_04366 1.21666
cosmos 8698 1 1 1 0.6857 -1.0 -1.0 -1.0 -1.0 5.0307 2.9408 2.0899 26980000000.0 8715200000.0 0.0 0.6857 1.0 107.0 21.7 5858200000.0 5810200000.0 -0.81 38.4 3.7 153.55 15.77 8698 cosmos-05-G141_08698 0.68035
cosmos 6528 2 1 1 0.8692 0.8668 0.868 0.8706 0.8719 33.564 30.156 3.4088 276660000000.0 14215000000.0 0.0 0.8718 2.0 713.2 21.54 6518400000.0 9476800000.0 -0.16 51.88 2.64 243.39 14.0 6528 cosmos-21-G141_06528 0.86918
cosmos 21655 2 1 1 0.8927 0.8865 0.8891 0.8939 0.8962 13.624 10.82 2.8039 99266000000.0 11692000000.0 0.0 0.8752 2.0 254.1 19.61 7030200000.0 7795000000.0 -0.54 31.77 2.11 270.0 20.33 21655 cosmos-01-G141_21655 0.89269
cosmos 6420 2 1 1 0.9798 0.977 0.9782 0.981 0.9823 2.9352 1.5465 1.3887 14188000000.0 5791000000.0 1.0 0.9523 2.0 28.87 33.32 5411100000.0 3860700000.0 -1.6 11.24 0.97 323.9 30.55 6420 cosmos-13-G141_06420 0.97981
cosmos 12702 2 1 1 1.429 1.4257 1.4271 1.4303 1.4321 -99.0 -99.0 3.3301 -99.0 13887000000.0 2.0 1.4353 2.0 -11.0 17.64 11553000000.0 9257900000.0 -1.34 7.77 0.77 197.79 21.73 12702 cosmos-24-G141_12702 1.42905
cosmos 19876 2 1 1 1.163 1.16 1.1614 1.1643 1.1658 -99.0 -99.0 8.1265 -99.0 33889000000.0 2.0 1.1515 2.0 -4.264 15.22 39504000000.0 22593000000.0 -1.91 21.82 1.23 529.24 34.83 19876 cosmos-25-G141_19876 1.16301
cosmos 19180 2 1 1 1.2122 1.2091 1.2104 1.2132 1.2144 -99.0 -99.0 4.3063 -99.0 17958000000.0 2.0 1.1891 2.0 -3.715 19.31 20662000000.0 11972000000.0 -1.89 14.34 0.73 884.51 61.18 19180 cosmos-25-G141_19180 1.21223
cosmos 6034 2 1 1 1.3726 1.369 1.3704 1.3735 1.3752 -99.0 -99.0 1.5707 -99.0 6549900000.0 2.0 1.336 2.0 -25.6 19.9 5529300000.0 4366600000.0 -1.34 9.17 0.74 946.47 147.98 6034 cosmos-19-G141_06034 1.37263
cosmos 12817 2 1 1 0.8908 0.8862 0.8879 0.8923 0.8943 54.123 52.508 1.6147 481730000000.0 6733500000.0 0.0 0.9285 2.0 1063.0 21.29 2400800000.0 4489000000.0 0.23 32.69 2.55 195.11 15.84 12817 cosmos-04-G141_12817 0.8908
cosmos 26023 2 1 1 0.8377 0.8332 0.8354 0.84 0.8422 5.4941 3.0075 2.4866 27592000000.0 10369000000.0 0.0 0.8531 2.0 73.6 38.67 4313500000.0 6912900000.0 0.02 38.45 3.11 186.12 16.82 26023 cosmos-08-G141_26023 0.83767
cosmos 20976 2 1 1 0.8927 0.8841 0.8879 0.8954 0.8989 13.827 13.203 0.6238 121130000000.0 2601300000.0 0.0 0.902 2.0 289.9 20.26 655780000.0 1734200000.0 0.63 21.0 1.84 185.92 17.49 20976 cosmos-01-G141_20976 0.89269
cosmos 22906 2 1 1 0.9329 0.9291 0.9311 0.9342 0.9355 5.9998 5.1885 0.81125 47601000000.0 3383000000.0 0.0 0.926 2.0 105.9 23.1 1473600000.0 2255300000.0 -0.07 14.66 1.1 1185.71 168.37 22906 cosmos-16-G141_22906 0.93286
