# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 3 3 1 0 0.8131 0.776 0.792 0.837 0.843 2.4763 1.3982 1.0782 12827000000.0 4496100000.0 0.0 0.8131 3.0 36.06 31.62 1622200000.0 2997400000.0 -0.06 -99.0 -99.0 -99.0 -99.0 3 00000 -1.0
cosmos 5 3 1 0 0.5092 0.391 0.468 0.556 0.596 0.0036845 -99.0 0.0036845 -99.0 15365000.0 2.0 0.5092 3.0 -8.207 27.12 78668.0 10243000.0 8.89 -99.0 -99.0 -99.0 -99.0 5 00000 -1.0
cosmos 25 3 1 0 1.3683 1.308 1.333 1.404 1.426 7.7728 6.5498 1.223 60090000000.0 5100000000.0 1.0 1.368 3.0 27.95 29.94 700140000.0 3400000000.0 1.9 -99.0 -99.0 -99.0 -99.0 25 00000 -1.0
cosmos 27 3 1 0 1.6341 1.564 1.591 1.679 1.725 13.705 10.03 3.6751 92015000000.0 15326000000.0 0.0 1.634 3.0 34.34 28.52 15630000000.0 10217000000.0 -1.64 -99.0 -99.0 -99.0 -99.0 27 00000 -1.0
cosmos 28 3 1 0 1.237 1.191 1.211 1.267 1.283 8.174 6.0974 2.0766 55939000000.0 8659600000.0 0.0 1.237 3.0 41.05 28.93 8071500000.0 5773100000.0 -1.57 -99.0 -99.0 -99.0 -99.0 28 00000 -1.0
cosmos 29 3 1 0 2.7591 2.639 2.705 2.816 2.846 4.5946 -99.0 4.5946 -99.0 19160000000.0 2.0 2.759 3.0 -53.91 42.44 24348000000.0 12773000000.0 -2.0 -99.0 -99.0 -99.0 -99.0 29 00000 -1.0
cosmos 30 3 1 0 0.2202 0.203 0.206 0.235 0.238 0.11689 0.024074 0.092811 220860000.0 387040000.0 1.0 0.2202 3.0 15.47 30.07 344400000.0 258020000.0 -1.54 -99.0 -99.0 -99.0 -99.0 30 00000 -1.0
cosmos 38 3 1 0 0.6369 0.602 0.61 0.668 0.684 0.59353 -99.0 0.59353 -99.0 2475100000.0 2.0 0.6369 3.0 -33.0 21.75 2670600000.0 1650100000.0 -1.8 -99.0 -99.0 -99.0 -99.0 38 00000 -1.0
cosmos 46 3 1 0 1.6012 1.47 1.546 1.659 1.69 3.8774 -99.0 3.8774 -99.0 16169000000.0 2.0 1.601 3.0 -6.339 45.97 17721000000.0 10780000000.0 -1.82 -99.0 -99.0 -99.0 -99.0 46 00000 -1.0
cosmos 47 3 1 0 0.8109 0.776 0.792 0.837 0.843 0.32098 -99.0 0.32098 -99.0 1338500000.0 2.0 0.8109 3.0 -4.059 23.86 123260000.0 892340000.0 2.63 -99.0 -99.0 -99.0 -99.0 47 00000 -1.0
cosmos 48 3 1 0 0.2141 0.14 0.186 0.243 0.292 0.0013758 -99.0 0.0013758 -99.0 5737200.0 2.0 0.2141 3.0 -19.7 29.82 6841400.0 3824800.0 -2.43 -99.0 -99.0 -99.0 -99.0 48 00000 -1.0
cosmos 55 3 1 0 1.4383 1.269 1.353 1.544 2.248 0.75905 0.1024 0.65665 939480000.0 2738300000.0 1.0 1.438 3.0 0.386 24.67 3276000000.0 1825600000.0 -1.93 -99.0 -99.0 -99.0 -99.0 55 00000 -1.0
cosmos 57 3 1 0 0.7919 0.741 0.761 0.826 0.859 0.55588 -99.0 0.55588 -99.0 2318100000.0 2.0 0.7919 3.0 -4.802 26.83 2605800000.0 1545400000.0 -1.89 -99.0 -99.0 -99.0 -99.0 57 00000 -1.0
cosmos 58 3 1 0 1.1827 1.103 1.13 1.242 1.273 0.50741 -99.0 0.50741 -99.0 2116000000.0 2.0 1.183 3.0 -30.92 29.98 1797600000.0 1410700000.0 -1.38 -99.0 -99.0 -99.0 -99.0 58 00000 -1.0
cosmos 61 3 1 0 1.1715 1.123 1.142 1.202 1.225 0.93257 -99.0 0.93257 -99.0 3888900000.0 2.0 1.172 3.0 -32.65 26.77 4404800000.0 2592600000.0 -1.88 -99.0 -99.0 -99.0 -99.0 61 00000 -1.0
cosmos 66 3 1 0 1.3282 1.223 1.258 1.403 1.51 0.8154 -99.0 0.8154 -99.0 3400300000.0 2.0 1.328 3.0 -11.0 28.18 2652000000.0 2266900000.0 -1.16 -99.0 -99.0 -99.0 -99.0 66 00000 -1.0
cosmos 67 3 1 0 0.5391 0.408 0.462 0.61 0.736 0.0014521 -99.0 0.0014521 -99.0 6055600.0 2.0 0.5391 3.0 -6.22 28.1 818160.0 4037100.0 1.22 -99.0 -99.0 -99.0 -99.0 67 00000 -1.0
cosmos 68 3 1 0 0.9478 0.92 0.925 0.971 0.977 2.5082 -99.0 2.5082 -99.0 10460000000.0 2.0 0.9478 3.0 -2.591 34.87 7607900000.0 6973100000.0 -1.12 -99.0 -99.0 -99.0 -99.0 68 00000 -1.0
cosmos 73 3 1 0 0.7295 0.693 0.707 0.752 0.768 0.54915 -99.0 0.54915 -99.0 2290000000.0 2.0 0.7295 3.0 -10.19 37.28 1944500000.0 1526700000.0 -1.52 -99.0 -99.0 -99.0 -99.0 73 00000 -1.0
cosmos 74 3 1 0 2.0904 2.034 2.046 2.13 2.183 147.31 145.1 2.2144 1331200000000.0 9234500000.0 0.0 2.09 3.0 384.4 29.32 5419300000.0 6156300000.0 -0.6 -99.0 -99.0 -99.0 -99.0 74 00000 -1.0
cosmos 76 3 1 0 0.4939 0.428 0.455 0.544 2.3 0.43929 0.43495 0.004336 3990400000.0 18082000.0 0.0 0.4939 3.0 33.05 22.74 10512000.0 12054000.0 -0.69 -99.0 -99.0 -99.0 -99.0 76 00000 -1.0
