# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 12 3 1 0 1.7572 1.543 1.603 1.884 1.966 2.2481 2.1283 0.11978 19526000000.0 499480000.0 1.0 1.757 3.0 7.978 35.17 64033000.0 332990000.0 2.14 -99.0 -99.0 -99.0 -99.0 12 00000 -1.0 3.0
cosmos 70 3 1 0 0.7508 0.469 0.613 0.888 1.019 0.065049 -99.0 0.065049 -99.0 271260000.0 2.0 0.7508 3.0 -37.02 33.05 321500000.0 180840000.0 -1.88 -99.0 -99.0 -99.0 -99.0 70 00000 -1.0 1.0
cosmos 145 3 1 0 1.6339 1.457 1.506 1.735 1.766 3.5338 -99.0 3.5338 -99.0 14736000000.0 2.0 1.634 3.0 -52.12 32.95 12872000000.0 9824200000.0 -1.37 -99.0 -99.0 -99.0 -99.0 145 00000 -1.0 1.0
cosmos 190 3 1 0 0.6939 0.388 0.524 0.869 0.967 0.0449 -99.0 0.0449 -99.0 187240000.0 2.0 0.6939 3.0 -1.871 26.39 205660000.0 124830000.0 -1.88 -99.0 -99.0 -99.0 -99.0 190 00000 -1.0 1.0
cosmos 208 3 1 0 1.6873 1.498 1.558 1.781 1.824 4.2136 -99.0 4.2136 -99.0 17571000000.0 2.0 1.687 3.0 -3.741 28.87 16753000000.0 11714000000.0 -1.56 -99.0 -99.0 -99.0 -99.0 208 00000 -1.0 1.0
cosmos 219 3 1 0 1.9299 1.645 1.802 2.061 2.175 0.42469 -99.0 0.42469 -99.0 1771000000.0 2.0 1.93 3.0 -26.94 35.03 773830000.0 1180700000.0 -0.1 -99.0 -99.0 -99.0 -99.0 219 00000 -1.0 1.0
cosmos 234 3 1 0 2.227 1.948 2.112 2.332 2.396 1.6351 -99.0 1.6351 -99.0 6818700000.0 2.0 2.227 3.0 -10.75 24.1 7675700000.0 4545800000.0 -1.86 -99.0 -99.0 -99.0 -99.0 234 00000 -1.0 1.0
cosmos 246 3 1 0 1.6985 1.354 1.512 1.872 2.096 0.41756 -99.0 0.41756 -99.0 1741300000.0 2.0 1.699 3.0 -7.622 23.62 2042200000.0 1160900000.0 -1.87 -99.0 -99.0 -99.0 -99.0 246 00000 -1.0 1.0
cosmos 267 3 1 0 2.1022 1.821 1.992 2.213 2.287 2.7326 -99.0 2.7326 -99.0 11395000000.0 2.0 2.102 3.0 -54.1 27.9 9307100000.0 7596900000.0 -1.28 -99.0 -99.0 -99.0 -99.0 267 00000 -1.0 1.0
cosmos 281 3 1 0 1.5583 1.285 1.37 1.786 2.262 0.78337 -99.0 0.78337 -99.0 3266800000.0 2.0 1.558 3.0 -30.87 27.8 3746800000.0 2177900000.0 -1.86 -99.0 -99.0 -99.0 -99.0 281 00000 -1.0 1.0
