# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 579 2 1 1 1.9139 1.8746 1.9024 2.0761 2.1632 267.38 266.54 0.83745 2445300000000.0 3492300000.0 0.0 1.914 2.0 910.2 27.68 1109600000.0 2328200000.0 0.26 -99.0 -99.0 -99.0 -99.0 579 cosmos-14-G141_00579 1.91392
cosmos 796 2 1 1 1.1771 1.1679 1.1724 1.1811 1.1852 46.146 44.411 1.7348 407440000000.0 7234300000.0 0.0 1.177 2.0 374.8 37.81 2151300000.0 4822900000.0 0.29 20.07 3.19 75.05 12.03 796 cosmos-14-G141_00796 1.17711
cosmos 937 1 1 1 0.8783 -1.0 -1.0 -1.0 -1.0 20.862 18.244 2.6179 167380000000.0 10917000000.0 0.0 0.8783 1.0 425.7 27.27 2886000000.0 7278100000.0 0.5 25.74 3.3 38.56 5.0 937 cosmos-14-G141_00937 0.87667
cosmos 1489 2 1 1 0.9242 0.9027 0.9147 0.9289 0.9347 1.2534 -99.0 1.2534 -99.0 5226700000.0 2.0 0.9242 2.0 -29.3 21.95 1021000000.0 3484400000.0 0.62 -99.0 -99.0 -99.0 -99.0 1489 cosmos-14-G141_01489 0.92418
cosmos 2033 1 1 1 0.728 -1.0 -1.0 -1.0 -1.0 1.288 0.48769 0.80035 4474200000.0 3337600000.0 1.0 0.728 1.0 15.57 36.09 431370000.0 2225100000.0 2.39 -2.09 1.63 -2.11 1.64 2033 cosmos-14-G141_02033 0.72547
cosmos 2348 2 1 1 1.2592 1.2499 1.2541 1.2615 1.2648 0.68585 -99.0 0.68585 -99.0 2860100000.0 2.0 1.259 2.0 -0.3208 33.51 551930000.0 1906700000.0 1.21 4.33 1.02 30.35 7.2 2348 cosmos-14-G141_02348 1.25918
cosmos 2543 2 1 1 1.3233 1.3113 1.3167 1.3274 1.3325 7.4489 5.3601 2.0888 49176000000.0 8710500000.0 0.0 1.323 2.0 26.17 21.58 561990000.0 5807000000.0 2.96 -0.81 0.89 -3.61 4.0 2543 cosmos-14-G141_02543 1.32333
cosmos 2638 2 1 1 1.1598 1.0267 1.0419 1.1601 1.1646 79.432 76.664 2.7683 703340000000.0 11544000000.0 0.0 1.16 2.0 686.8 62.57 5592700000.0 7696000000.0 -0.44 25.94 2.41 128.91 12.37 2638 cosmos-14-G141_02638 1.15977
cosmos 2816 2 1 1 1.9139 1.9059 1.9112 1.93 1.9366 3.1962 -99.0 3.1962 -99.0 13329000000.0 2.0 1.914 2.0 -20.73 18.44 1175600000.0 8885700000.0 2.5 -99.0 -99.0 -99.0 -99.0 2816 cosmos-02-G141_02816 1.91392
cosmos 3182 2 1 1 1.7997 1.5698 1.625 1.803 1.8208 332.38 331.25 1.1304 3039000000000.0 4713900000.0 0.0 1.8 2.0 1247.0 21.4 645010000.0 3142600000.0 1.67 -99.0 -99.0 -99.0 -99.0 3182 cosmos-06-G141_03182 1.79967
