# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 3 3 1 0 0.8131 0.776 0.792 0.837 0.843 2.4763 1.3982 1.0782 12827000000.0 4496100000.0 0.0 0.8131 3.0 36.06 31.62 1622200000.0 2997400000.0 -0.06 -99.0 -99.0 -99.0 -99.0 -99.0 3 00000 -1.0 3.0
cosmos 5 3 1 -1 0.5092 0.391 0.468 0.556 0.596 0.0036845 -99.0 0.0036845 -99.0 15365000.0 2.0 0.5092 3.0 -8.207 27.12 78668.0 10243000.0 8.89 -99.0 -99.0 -99.0 -99.0 -99.0 5 00000 -1.0 2.0
cosmos 6 3 1 -1 0.8522 0.382 0.587 1.278 1.924 0.0076811 -99.0 0.0076811 -99.0 32031000.0 2.0 0.8522 3.0 -4.366 23.8 14203000.0 21354000.0 1.11 -99.0 -99.0 -99.0 -99.0 -99.0 6 00000 -1.0 3.0
cosmos 9 3 1 -1 1.4098 0.988 1.245 1.611 5.841 0.085605 -99.0 0.085605 -99.0 356990000.0 2.0 1.41 3.0 -3.322 25.6 117150000.0 237990000.0 -0.01 -99.0 -99.0 -99.0 -99.0 -99.0 9 00000 -1.0 3.0
cosmos 11 3 1 -1 1.183 0.841 1.268 5.952 5.96 5.7645 5.7301 0.034404 52570000000.0 143470000.0 0.0 1.183 3.0 47.33 27.94 65232000.0 95645000.0 -0.4 -99.0 -99.0 -99.0 -99.0 -99.0 11 00000 -1.0 3.0
cosmos 12 3 1 -1 1.7572 1.543 1.603 1.884 1.966 2.2481 2.1283 0.11978 19526000000.0 499480000.0 1.0 1.757 3.0 7.978 35.17 64033000.0 332990000.0 2.14 -99.0 -99.0 -99.0 -99.0 -99.0 12 00000 -1.0 3.0
cosmos 13 3 1 -1 1.8271 1.166 1.549 2.101 2.349 0.2816 -99.0 0.2816 -99.0 1174300000.0 2.0 1.827 3.0 -13.76 31.97 487370000.0 782880000.0 0.04 -99.0 -99.0 -99.0 -99.0 -99.0 13 00000 -1.0 3.0
cosmos 14 3 1 -1 1.7441 1.584 1.643 1.828 1.897 16.032 15.791 0.24095 144880000000.0 1004800000.0 0.0 1.744 3.0 58.8 25.31 244300000.0 669870000.0 0.72 -99.0 -99.0 -99.0 -99.0 -99.0 14 00000 -1.0 3.0
cosmos 17 3 1 -1 1.4513 1.273 1.354 1.545 1.632 0.16359 -99.0 0.16359 -99.0 682190000.0 2.0 1.451 3.0 -1.14 30.84 255660000.0 454790000.0 -0.21 -99.0 -99.0 -99.0 -99.0 -99.0 17 00000 -1.0 3.0
cosmos 18 3 1 -1 1.488 1.069 1.315 1.63 1.733 0.95373 0.87957 0.074166 8069400000.0 309280000.0 1.0 1.488 3.0 3.153 36.69 89589000.0 206190000.0 0.29 -99.0 -99.0 -99.0 -99.0 -99.0 18 00000 -1.0 3.0
