# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 3324 2 0 1 2.3003 2.2608 2.2808 2.3188 2.3368 96.214 82.628 13.586 758060000000.0 56654000000.0 0.0 2.3 2.0 159.7 25.81 36274000000.0 37770000000.0 -0.67 -99.0 -99.0 -99.0 -99.0 3324 cosmos-02-G141_03324 2.30026 1.0
cosmos 3626 2 1 1 2.3251 2.3188 2.3219 2.3277 2.3302 27.781 10.376 17.405 95188000000.0 72583000000.0 1.0 2.325 2.0 19.38 23.14 85632000000.0 48389000000.0 -1.9 -99.0 -99.0 -99.0 -99.0 3626 cosmos-14-G141_03626 2.3251 1.0
cosmos 4945 3 1 0 2.152 1.941 2.014 2.272 2.32 28.858 25.922 2.9356 237820000000.0 12242000000.0 0.0 2.152 3.0 62.63 22.12 13273000000.0 8161300000.0 -1.81 -99.0 -99.0 -99.0 -99.0 4945 cosmos-06-G141_04945 2.0756 1.0
cosmos 3974 2 1 1 2.1003 2.0914 2.0961 2.1023 2.1054 85.871 82.878 2.9927 760350000000.0 12480000000.0 0.0 2.1 2.0 216.3 31.9 10667000000.0 8320000000.0 -1.47 -99.0 -99.0 -99.0 -99.0 3974 cosmos-06-G141_03974 2.1003 1.0
cosmos 3895 3 0 0 2.6006 2.48 2.532 2.671 2.724 12.726 9.1865 3.5397 84279000000.0 14761000000.0 1.0 2.601 3.0 9.747 20.05 15593000000.0 9840800000.0 -1.77 -99.0 -99.0 -99.0 -99.0 3895 cosmos-06-G141_03895 2.30356 1.0
cosmos 3666 2 0 1 0.2269 0.1689 0.212 0.2307 0.2448 0.2155 0.1359 0.079603 1246700000.0 331960000.0 0.0 0.2269 2.0 81.11 22.75 359090000.0 221300000.0 -1.8 -99.0 -99.0 -99.0 -99.0 3666 cosmos-06-G141_03666 0.22691 1.0
cosmos 4497 2 1 1 2.4573 2.4369 2.4508 2.471 2.483 69.518 56.528 12.99 518600000000.0 54171000000.0 0.0 2.457 2.0 84.21 27.89 37078000000.0 36114000000.0 -0.88 -99.0 -99.0 -99.0 -99.0 4497 cosmos-06-G141_04497 2.45734 1.0
cosmos 4078 3 1 0 2.5206 2.394 2.458 2.583 2.625 6.0462 -99.0 6.0462 -99.0 25213000000.0 2.0 2.521 3.0 -11.75 25.66 21532000000.0 16809000000.0 -1.38 -99.0 -99.0 -99.0 -99.0 4078 cosmos-06-G141_04078 2.5787 1.0
cosmos 964 3 1 0 2.4948 2.368 2.426 2.565 2.595 16.07 9.0848 6.9853 83347000000.0 29130000000.0 1.0 2.495 3.0 12.48 31.37 27398000000.0 19420000000.0 -1.54 -99.0 -99.0 -99.0 -99.0 964 00000 -1.0 1.0
cosmos 234 3 1 0 2.227 1.948 2.112 2.332 2.396 1.6351 -99.0 1.6351 -99.0 6818700000.0 2.0 2.227 3.0 -10.75 24.1 7675700000.0 4545800000.0 -1.86 -99.0 -99.0 -99.0 -99.0 234 00000 -1.0 1.0
cosmos 1740 3 1 0 2.3713 2.257 2.303 2.44 2.485 15.526 11.157 4.3688 102360000000.0 18219000000.0 1.0 2.371 3.0 19.45 26.08 13860000000.0 12146000000.0 -1.17 -99.0 -99.0 -99.0 -99.0 1740 00000 -1.0 1.0
cosmos 10280 2 1 1 2.1947 2.1907 2.1925 2.1962 2.1979 27.993 17.119 10.873 157060000000.0 45343000000.0 0.0 2.195 2.0 38.74 22.58 49667000000.0 30229000000.0 -1.75 -99.0 -99.0 -99.0 -99.0 10280 cosmos-23-G141_10280 2.19472 1.0
cosmos 13364 3 1 0 2.1224 2.011 2.058 2.186 2.237 20.303 16.034 4.2691 147100000000.0 17803000000.0 0.0 2.122 3.0 40.49 21.89 17755000000.0 11869000000.0 -1.67 -99.0 -99.0 -99.0 -99.0 13364 cosmos-20-G141_13364 2.15031 1.0
cosmos 10056 2 1 1 2.2838 2.253 2.274 2.3592 2.3951 117.64 111.6 6.0326 1023900000000.0 25157000000.0 0.0 2.284 2.0 220.6 29.6 8678700000.0 16771000000.0 0.32 -99.0 -99.0 -99.0 -99.0 10056 cosmos-12-G141_10056 2.2838 2.0
cosmos 11530 2 1 1 2.0987 2.0947 2.0963 2.0997 2.1013 411.39 402.48 8.9104 3692500000000.0 37158000000.0 0.0 2.099 2.0 1052.0 82.76 48051000000.0 24772000000.0 -2.01 -99.0 -99.0 -99.0 -99.0 11530 cosmos-12-G141_11530 2.09875 1.0
cosmos 13296 2 1 1 2.1724 2.1394 2.1581 2.1875 2.2049 50.518 39.111 11.407 358810000000.0 47569000000.0 0.0 2.172 2.0 91.68 30.73 32492000000.0 31713000000.0 -0.89 -99.0 -99.0 -99.0 -99.0 13296 cosmos-24-G141_13296 2.17244 1.0
cosmos 13701 2 1 1 2.2123 2.1713 2.1795 2.2119 2.2186 94.06 75.563 18.497 693240000000.0 77136000000.0 0.0 2.212 2.0 166.5 22.56 51104000000.0 51424000000.0 -0.72 -99.0 -99.0 -99.0 -99.0 13701 cosmos-24-G141_13701 2.21234 1.0
cosmos 13299 2 1 1 2.3085 2.2965 2.3029 2.3127 2.3186 4.5173 -99.0 4.5173 -99.0 18838000000.0 2.0 2.309 2.0 -10.83 17.67 11424000000.0 12558000000.0 -0.53 -99.0 -99.0 -99.0 -99.0 13299 cosmos-24-G141_13299 2.30852 1.0
cosmos 11597 3 1 0 2.5243 2.393 2.464 2.584 2.619 11.392 7.5226 3.869 69015000000.0 16134000000.0 1.0 2.524 3.0 9.664 21.21 16603000000.0 10756000000.0 -1.76 -99.0 -99.0 -99.0 -99.0 11597 cosmos-24-G141_11597 2.63642 1.0
cosmos 10143 2 1 1 2.2691 2.1511 2.2084 2.2738 2.344 23.204 10.93 12.274 100280000000.0 51184000000.0 1.0 2.269 2.0 22.08 23.21 57246000000.0 34123000000.0 -1.8 -99.0 -99.0 -99.0 -99.0 10143 cosmos-26-G141_10143 2.26905 1.0
cosmos 5094 2 1 1 2.1979 2.1558 2.1698 2.1992 2.2072 69.929 62.824 7.1052 576360000000.0 29630000000.0 0.0 2.198 2.0 141.5 23.38 18609000000.0 19753000000.0 -0.61 -99.0 -99.0 -99.0 -99.0 5094 cosmos-02-G141_05094 2.19792 1.0
cosmos 4930 2 1 1 2.3855 2.2875 2.3738 2.3918 2.3996 31.436 17.949 13.487 164670000000.0 56242000000.0 0.0 2.385 2.0 30.58 28.57 34510000000.0 37495000000.0 -0.61 -99.0 -99.0 -99.0 -99.0 4930 cosmos-13-G141_04930 2.38549 1.0
cosmos 3112 2 1 1 2.5698 2.2907 2.306 2.5701 2.5763 9.0487 -99.0 9.0487 -99.0 37734000000.0 2.0 2.57 2.0 -8.352 23.96 29147000000.0 25156000000.0 -1.21 -99.0 -99.0 -99.0 -99.0 3112 cosmos-14-G141_03112 2.56977 1.0
cosmos 2786 3 1 0 2.5193 2.419 2.463 2.576 2.611 307.25 300.91 6.3363 2760700000000.0 26423000000.0 0.0 2.519 3.0 391.3 25.16 21225000000.0 17615000000.0 -1.22 -99.0 -99.0 -99.0 -99.0 2786 00000 -1.0 1.0
cosmos 11343 2 1 1 1.6459 1.6405 1.6435 1.6512 1.6734 34.65 27.849 6.8007 255500000000.0 28360000000.0 0.0 1.646 2.0 96.18 20.53 27408000000.0 18906000000.0 -1.59 -99.0 -99.0 -99.0 -99.0 11343 cosmos-23-G141_11343 1.64587 1.0
cosmos 13894 2 1 1 1.375 1.345 1.3723 1.4762 1.502 2.6277 1.2558 1.3719 11521000000.0 5721100000.0 1.0 1.375 2.0 5.265 19.53 4536500000.0 3814100000.0 -1.29 1.2 1.46 78.0 99.86 13894 cosmos-20-G141_13894 1.37501 1.0
cosmos 12476 2 1 1 1.5131 1.5098 1.5112 1.514 1.5154 60.085 48.38 11.705 443850000000.0 48811000000.0 0.0 1.513 2.0 170.0 22.34 44846000000.0 32541000000.0 -1.5 39.77 1.12 1272.52 89.35 12476 cosmos-24-G141_12476 1.51306 1.0
cosmos 11968 2 1 1 1.467 1.4529 1.4602 1.474 1.4801 19.814 13.802 6.0117 126630000000.0 25070000000.0 0.0 1.467 2.0 50.34 25.92 16793000000.0 16713000000.0 -1.01 11.88 2.79 232.68 65.82 11968 cosmos-26-G141_11968 1.46699 1.0
cosmos 21440 2 1 1 1.4097 1.3189 1.3649 1.4459 1.4905 2.5669 -99.0 2.5669 -99.0 10704000000.0 2.0 1.41 2.0 -18.99 17.45 11701000000.0 7136100000.0 -1.83 3.96 1.77 2455098.57 139414874581.71 21440 cosmos-16-G141_21440 1.40969 1.0
cosmos 22221 2 1 1 1.4351 1.359 1.4277 1.44 1.4475 2.5929 -99.0 2.5929 -99.0 10813000000.0 2.0 1.435 2.0 -5.936 17.88 9933500000.0 7208500000.0 -1.5 -2.73 2.31 -51795.55 106374.43 22221 cosmos-28-G141_22221 1.43513 1.0
cosmos 21972 2 1 1 1.5664 1.5501 1.5613 1.5746 1.5814 6.1932 3.7433 2.4499 34342000000.0 10216000000.0 1.0 1.566 2.0 12.74 18.37 9778500000.0 6810900000.0 -1.59 -99.0 -99.0 -99.0 -99.0 21972 cosmos-01-G141_21972 1.56639 1.0
cosmos 22939 3 1 0 1.4901 1.431 1.458 1.526 1.535 2.9842 -99.0 2.9842 -99.0 12444000000.0 2.0 1.49 3.0 -9.614 21.14 11533000000.0 8296300000.0 -1.43 -99.0 -99.0 -99.0 -99.0 22939 00000 -1.0 1.0
cosmos 18633 3 1 0 1.5776 1.42 1.508 1.662 1.722 8.2539 7.0317 1.2222 64511000000.0 5096900000.0 0.0 1.578 3.0 23.85 17.79 5773100000.0 3397900000.0 -1.87 -99.0 -99.0 -99.0 -99.0 18633 cosmos-17-G141_18633 1.57539 1.0
cosmos 16594 2 1 1 2.2838 2.2691 2.2761 2.3037 2.3975 61.737 52.362 9.3747 480390000000.0 39094000000.0 0.0 2.284 2.0 103.5 14.85 29964000000.0 26062000000.0 -1.12 -99.0 -99.0 -99.0 -99.0 16594 cosmos-10-G141_16594 2.2838 1.0
cosmos 16342 2 1 1 2.4556 2.3206 2.3683 2.4522 2.4674 92.32 78.246 14.074 717860000000.0 58690000000.0 0.0 2.456 2.0 116.8 24.51 33005000000.0 39127000000.0 -0.44 -99.0 -99.0 -99.0 -99.0 16342 cosmos-10-G141_16342 2.45561 1.0
cosmos 16141 2 1 1 2.3485 2.2696 2.291 2.403 2.4524 8.662 1.0499 7.6121 9631700000.0 31744000000.0 1.0 2.348 2.0 1.896 26.51 30946000000.0 21162000000.0 -1.59 -99.0 -99.0 -99.0 -99.0 16141 cosmos-10-G141_16141 2.34846 1.0
cosmos 19439 2 1 1 2.7416 2.5406 2.5683 2.7479 2.7725 87.748 76.639 11.109 703110000000.0 46325000000.0 0.0 2.742 2.0 57.71 23.29 36013000000.0 30884000000.0 -1.21 -99.0 -99.0 -99.0 -99.0 19439 cosmos-25-G141_19439 2.74155 1.0
cosmos 18924 2 1 1 2.2756 2.267 2.2712 2.2796 2.285 13.482 6.2459 7.2362 57302000000.0 30176000000.0 1.0 2.276 2.0 12.49 21.65 33542000000.0 20117000000.0 -1.81 -99.0 -99.0 -99.0 -99.0 18924 cosmos-25-G141_18924 2.2756 1.0
cosmos 16545 2 1 1 2.2756 2.2708 2.2731 2.2794 2.2826 21.856 8.5012 13.355 77993000000.0 55691000000.0 0.0 2.276 2.0 17.0 15.96 60801000000.0 37128000000.0 -1.73 -99.0 -99.0 -99.0 -99.0 16545 cosmos-03-G141_16545 2.2756 1.0
cosmos 15776 3 1 0 2.6416 2.538 2.578 2.705 2.759 26.377 22.507 3.8697 206490000000.0 16137000000.0 1.0 2.642 3.0 21.54 23.79 11589000000.0 10758000000.0 -1.07 -99.0 -99.0 -99.0 -99.0 15776 cosmos-03-G141_15776 2.71359 1.0
cosmos 19753 2 1 1 2.4781 2.4721 2.48 2.5717 2.593 147.14 117.9 29.238 1081600000000.0 121930000000.0 0.0 2.478 2.0 168.2 26.21 102830000000.0 81285000000.0 -1.3 -99.0 -99.0 -99.0 -99.0 19753 cosmos-27-G141_19753 2.47815 1.0
cosmos 20062 2 1 1 2.1883 2.1842 2.1858 2.1893 2.1909 226.15 205.87 20.286 1888700000000.0 84594000000.0 0.0 2.188 2.0 471.0 20.21 62206000000.0 56396000000.0 -1.05 -99.0 -99.0 -99.0 -99.0 20062 cosmos-01-G141_20062 2.18834 1.0
cosmos 19985 3 1 0 2.473 2.419 2.431 2.518 2.549 232.85 195.15 37.691 1790400000000.0 157180000000.0 0.0 2.473 3.0 281.5 18.84 118330000000.0 104790000000.0 -1.1 -99.0 -99.0 -99.0 -99.0 19985 00000 -1.0 1.0
cosmos 19917 3 1 0 2.2326 2.032 2.164 2.309 2.353 6.7789 0.6761 6.1028 6202800000.0 25450000000.0 1.0 2.233 3.0 1.442 14.91 20106000000.0 16966000000.0 -1.2 -99.0 -99.0 -99.0 -99.0 19917 00000 -1.0 1.0
cosmos 18396 2 1 1 2.5698 2.5305 2.5567 2.5853 2.6159 10.325 -99.0 10.325 -99.0 43059000000.0 2.0 2.57 2.0 -1.031 25.15 38699000000.0 28706000000.0 -1.43 -99.0 -99.0 -99.0 -99.0 18396 cosmos-17-G141_18396 2.56977 1.0
