# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 4168 3 1 0 0.6533 0.514 0.561 0.754 0.878 0.010603 -99.0 0.010603 -99.0 44214000.0 2.0 0.6533 3.0 -10.65 9.119 10679000.0 29476000.0 0.28 1.05 0.49 282.61 155.59 4168 goodsn-31-G141_04168 0.86638
goodsn 36561 3 1 0 0.6631 0.487 0.575 0.748 0.82 2.6072e-06 -99.0 2.6072e-06 -99.0 10872.0 2.0 0.6631 3.0 -6.468 16.88 128.72 7248.2 -99.0 -99.0 -99.0 -99.0 -99.0 36561 00000 -1.0
goodsn 13896 2 1 1 0.77 0.7492 0.7663 0.7867 0.9007 0.093824 -99.0 0.093824 -99.0 391260000.0 2.0 0.77 2.0 -28.97 9.287 65351000.0 260840000.0 1.64 5.26 1.17 90.71 21.18 13896 goodsn-12-G141_13896 0.77004
goodsn 22210 1 1 1 0.825 -1.0 -1.0 -1.0 -1.0 0.1365 0.034246 0.10225 314190000.0 426400000.0 1.0 0.825 1.0 0.8689 6.194 67517000.0 284270000.0 1.63 0.86 0.94 12.79 13.92 22210 goodsn-36-G141_22210 0.94644
goodsn 7129 3 1 0 0.8468 0.69 0.714 0.871 0.96 0.29374 -99.0 0.29374 -99.0 1224900000.0 2.0 0.8468 3.0 -2.425 6.769 201030000.0 816630000.0 1.84 -99.0 -99.0 -99.0 -99.0 7129 00000 -1.0
goodsn 33475 1 1 1 0.8569 -1.0 -1.0 -1.0 -1.0 0.12093 -99.0 0.12093 -99.0 504280000.0 2.0 0.8569 1.0 -21.43 7.185 226400000.0 336190000.0 -0.39 -99.0 -99.0 -99.0 -99.0 33475 goodsn-17-G141_33475 1.15869
goodsn 13530 2 1 1 0.8487 0.8445 0.8465 0.8505 0.8524 1.7274 0.6612 1.0662 6066100000.0 4446200000.0 0.0 0.8487 2.0 16.27 11.43 585680000.0 2964100000.0 2.32 -1.88 1.06 -2.71 1.53 13530 goodsn-46-G141_13530 0.84873
goodsn 24107 1 1 1 0.848 -1.0 -1.0 -1.0 -1.0 1.0791 0.18048 0.89857 1655800000.0 3747200000.0 1.0 0.848 1.0 4.445 11.59 348490000.0 2498100000.0 2.74 -1.39 1.57 -1.94 2.18 24107 goodsn-14-G141_24107 0.84412
goodsn 25265 1 1 1 0.8321 -1.0 -1.0 -1.0 -1.0 0.503 0.38977 0.11324 3575800000.0 472220000.0 1.0 0.8321 1.0 9.793 12.07 228700000.0 314810000.0 -0.38 -0.12 0.99 -0.86 6.78 25265 goodsn-14-G141_25265 1.4806
goodsn 24953 3 1 0 0.9291 0.788 0.848 1.012 1.056 0.067788 -99.0 0.067788 -99.0 282690000.0 2.0 0.9291 3.0 -7.357 9.178 14970000.0 188460000.0 3.08 0.96 1.16 67.96 84.46 24953 goodsn-36-G141_24953 0.87199
goodsn 37206 2 1 1 0.9947 0.9898 0.993 1.0064 1.0107 0.25303 -99.0 0.25303 -99.0 1055200000.0 2.0 0.9947 2.0 -2.313 9.188 102380000.0 703430000.0 2.37 4.61 0.87 110.11 21.83 37206 goodsn-18-G141_37206 0.99471
goodsn 26288 3 1 0 0.6746 0.603 0.643 0.708 0.73 0.1806 0.049981 0.13062 458540000.0 544710000.0 1.0 0.6746 3.0 1.879 8.563 188220000.0 363140000.0 0.03 -99.0 -99.0 -99.0 -99.0 26288 00000 -1.0
goodsn 21735 1 1 1 0.5673 -1.0 -1.0 -1.0 -1.0 0.64952 0.27657 0.37294 2537400000.0 1555200000.0 0.0 0.5673 1.0 14.71 11.08 321990000.0 1036800000.0 1.13 12.51 13.13 30.67 32.27 21735 goodsn-35-G141_21735 0.62012
goodsn 4663 2 1 1 0.6299 0.62 0.6252 0.6352 0.6402 0.21059 -99.0 0.21059 -99.0 878200000.0 2.0 0.6299 2.0 -5.503 13.59 142970000.0 585470000.0 1.7 2.0 5.12 8.45 21.76 4663 goodsn-21-G141_04663 0.62987
goodsn 4416 3 1 0 0.6282 0.604 0.609 0.649 0.659 0.50226 0.44434 0.057914 4076500000.0 241510000.0 0.0 0.6282 3.0 19.04 9.033 74509000.0 161010000.0 0.35 -99.0 -99.0 -99.0 -99.0 4416 00000 -1.0
