# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 11630 2 1 1 1.3845 1.3799 1.3821 1.3876 1.3907 24.533 20.889 3.644 191640000000.0 15196000000.0 0.0 1.3623 2.0 90.43 8.778 10053000000.0 10131000000.0 -0.89 11.04 0.99 193.43 19.2 11630 goodsn-22-G141_11630 1.38453
goodsn 1225 1 1 1 1.6312 -1.0 -1.0 -1.0 -1.0 55.238 41.352 13.886 379380000000.0 57905000000.0 0.0 1.6312 1.0 141.4 16.49 31583000000.0 38603000000.0 -0.47 23.05 1.31 197.59 12.34 1225 goodsn-41-G141_01225 1.34902
goodsn 5326 1 1 1 0.8433 -1.0 -1.0 -1.0 -1.0 3.8952 2.652 1.2432 24331000000.0 5184100000.0 0.0 0.8433 1.0 65.7 17.12 4897300000.0 3456100000.0 -1.66 8.8 0.81 174.73 17.55 5326 goodsn-31-G141_05326 0.85151
goodsn 1726 2 1 1 1.4001 1.3955 1.3973 1.401 1.4029 8.5122 5.5888 2.9234 51273000000.0 12191000000.0 0.0 1.3261 2.0 27.0 13.0 13015000000.0 8127500000.0 -1.79 5.51 0.51 439.23 55.86 1726 goodsn-42-G141_01726 1.40008
goodsn 21291 2 1 1 1.3525 1.3486 1.3504 1.3543 1.3563 21.378 19.433 1.9451 178280000000.0 8111500000.0 0.0 1.3416 2.0 89.2 9.664 4524100000.0 5407700000.0 -0.48 10.28 0.95 253.16 26.97 21291 goodsn-24-G141_21291 1.35255
goodsn 5467 1 1 1 0.9229 -1.0 -1.0 -1.0 -1.0 3.1238 1.246 1.8778 11431000000.0 7830700000.0 0.0 0.9229 1.0 25.69 15.04 8545100000.0 5220500000.0 -1.84 13.84 0.73 614.35 45.48 5467 goodsn-21-G141_05467 0.92226
goodsn 27744 1 1 1 0.8356 -1.0 -1.0 -1.0 -1.0 8.709 7.4362 1.2728 68222000000.0 5307900000.0 0.0 0.8356 1.0 186.0 11.15 2690200000.0 3538600000.0 -0.41 13.54 1.13 143.57 12.79 27744 goodsn-15-G141_27744 0.83767
goodsn 18763 1 1 1 1.2443 -1.0 -1.0 -1.0 -1.0 32.438 28.923 3.5154 265350000000.0 14660000000.0 0.0 1.2443 1.0 189.3 15.01 12977000000.0 9773100000.0 -1.55 16.38 1.02 401.14 29.49 18763 goodsn-35-G141_18763 1.24117
goodsn 11327 1 1 1 1.5289 -1.0 -1.0 -1.0 -1.0 41.071 36.831 4.2401 337900000000.0 17682000000.0 0.0 1.5289 1.0 128.0 67.75 12964000000.0 11788000000.0 -1.15 11.27 1.07 307.67 37.18 11327 goodsn-34-G141_11327 1.52818
goodsn 37006 1 1 1 1.008 -1.0 -1.0 -1.0 -1.0 28.689 25.686 3.0036 235650000000.0 12525000000.0 0.0 1.008 1.0 390.7 9.803 9464400000.0 8350200000.0 -1.24 23.4 1.36 231.08 14.61 37006 goodsn-18-G141_37006 1.01073
