# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 92 3 1 0 2.1588 1.898 2.04 2.279 2.378 11.885 9.7415 2.1431 89372000000.0 8936900000.0 0.0 2.159 3.0 23.29 11.56 6557700000.0 5957900000.0 -1.1 1.39 0.5 297.64 134.12 92 goodsn-41-G141_00092 1.42905 1.0
goodsn 133 3 1 0 2.1026 1.864 1.948 2.242 2.374 25.152 22.593 2.5591 207270000000.0 10672000000.0 0.0 2.103 3.0 58.7 16.52 5673000000.0 7114500000.0 -0.41 -99.0 -99.0 -99.0 -99.0 133 00000 -1.0 1.0
goodsn 136 3 1 0 1.136 0.795 0.995 1.268 1.365 0.41403 -99.0 0.41403 -99.0 1726600000.0 2.0 1.136 3.0 -8.507 12.8 1445500000.0 1151100000.0 -1.37 -99.0 -99.0 -99.0 -99.0 136 00000 -1.0 1.0
goodsn 251 3 1 0 2.3588 2.099 2.232 2.489 2.583 8.1726 6.8206 1.3521 62574000000.0 5638300000.0 0.0 2.359 3.0 12.12 10.03 6895000000.0 3758800000.0 -1.95 -99.0 -99.0 -99.0 -99.0 251 goodsn-41-G141_00251 2.02678 3.0
goodsn 263 3 1 0 1.494 1.282 1.373 1.624 1.768 1.3136 -99.0 1.3136 -99.0 5477700000.0 2.0 1.494 3.0 -1.236 19.87 6253300000.0 3651800000.0 -1.88 -99.0 -99.0 -99.0 -99.0 263 00000 -1.0 1.0
goodsn 280 3 1 0 1.6574 1.492 1.538 1.81 1.926 11.123 10.823 0.29967 99296000000.0 1249700000.0 0.0 1.657 3.0 37.68 9.32 530660000.0 833120000.0 -0.14 2.54 0.67 162.54 45.74 280 goodsn-41-G141_00280 1.34199 2.0
goodsn 301 3 1 0 1.2421 1.045 1.124 1.359 1.456 0.52386 -99.0 0.52386 -99.0 2184600000.0 2.0 1.242 3.0 -10.99 16.87 2440300000.0 1456400000.0 -1.85 -99.0 -99.0 -99.0 -99.0 301 00000 -1.0 1.0
goodsn 315 3 1 0 2.1776 1.331 1.98 2.414 2.572 10.531 8.3474 2.1832 76581000000.0 9104300000.0 0.0 2.178 3.0 19.39 11.96 7338600000.0 6069600000.0 -1.27 -99.0 -99.0 -99.0 -99.0 315 goodsn-41-G141_00315 2.26578 1.0
goodsn 331 3 1 0 1.6194 1.443 1.498 1.823 1.955 82.206 77.82 4.3864 713940000000.0 18292000000.0 0.0 1.619 3.0 264.6 23.57 11235000000.0 12195000000.0 -0.59 -99.0 -99.0 -99.0 -99.0 331 00000 -1.0 1.0
goodsn 371 3 1 0 2.0494 1.864 1.945 2.153 2.232 32.253 29.632 2.6212 271850000000.0 10931000000.0 0.0 2.049 3.0 83.32 16.5 6366600000.0 7287300000.0 -0.48 -99.0 -99.0 -99.0 -99.0 371 00000 -1.0 1.0
