# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 4592 3 1 0 3.4072 3.187 3.274 3.501 3.591 92.363 84.533 7.8302 775530000000.0 32653000000.0 0.0 3.387 3.0 15.65 9.681 21527000000.0 21769000000.0 -0.7 -99.0 -99.0 -99.0 -99.0 4592 goodsn-43-G141_04592 3.43266 1.0
goodsn 5284 3 1 0 3.40741 3.304 3.35 3.49 3.532 18.232 -99.0 18.232 -99.0 76031000000.0 2.0 3.419 3.0 -11.45 8.088 68975000000.0 50687000000.0 -1.45 -99.0 -99.0 -99.0 -99.0 5284 goodsn-43-G141_05284 3.41055 1.0
goodsn 5526 3 1 0 3.41423 3.307 3.382 3.538 3.599 52.726 44.72 8.006 410270000000.0 33386000000.0 1.0 3.458 3.0 7.149 8.312 27398000000.0 22258000000.0 -1.27 -99.0 -99.0 -99.0 -99.0 5526 goodsn-43-G141_05526 0.5976 1.0
goodsn 6336 3 1 0 3.41234 1.495 1.602 2.009 2.101 2.4629 0.83204 1.6308 7633400000.0 6800800000.0 1.0 1.826 3.0 3.104 12.95 6560800000.0 4533900000.0 -1.56 -99.0 -99.0 -99.0 -99.0 6336 goodsn-44-G141_06336 2.30026 1.0
goodsn 10170 3 1 0 3.46786 3.181 3.226 3.359 3.4 9.1641 -99.0 9.1641 -99.0 38215000000.0 2.0 3.291 3.0 -1.354 11.1 42032000000.0 25477000000.0 -1.78 -99.0 -99.0 -99.0 -99.0 10170 goodsn-44-G141_10170 3.34055 1.0
goodsn 10183 3 1 0 3.48785 3.301 3.35 3.5 3.551 21.632 11.53 10.102 105780000000.0 42128000000.0 1.0 3.424 3.0 1.973 13.09 33165000000.0 28085000000.0 -1.19 -99.0 -99.0 -99.0 -99.0 10183 goodsn-33-G141_10183 3.40614 1.0
goodsn 10230 3 1 0 3.42957 2.998 3.086 3.296 3.394 10.112 7.9339 2.1779 72788000000.0 9082200000.0 1.0 3.191 3.0 2.299 14.38 10588000000.0 6054800000.0 -1.87 -99.0 -99.0 -99.0 -99.0 10230 00000 -1.0 1.0
goodsn 11096 3 1 0 3.13662 2.942 2.997 3.137 3.188 6.7618 -99.0 6.7618 -99.0 28198000000.0 2.0 3.066 3.0 -0.387 9.37 25816000000.0 18799000000.0 -1.46 -99.0 -99.0 -99.0 -99.0 11096 goodsn-33-G141_11096 3.15786 1.0
goodsn 11215 3 1 0 3.2349 3.138 3.202 3.382 3.457 71.889 65.269 6.6198 598800000000.0 27605000000.0 0.0 3.293 3.0 14.84 10.9 22725000000.0 18404000000.0 -1.29 -99.0 -99.0 -99.0 -99.0 11215 goodsn-34-G141_11215 3.2461 1.0
goodsn 11641 3 1 0 3.14949 2.983 3.079 3.312 3.412 52.262 45.263 6.9989 415260000000.0 29187000000.0 0.0 3.194 3.0 13.02 9.872 19306000000.0 19458000000.0 -0.7 -99.0 -99.0 -99.0 -99.0 11641 goodsn-34-G141_11641 3.50641 1.0
goodsn 11892 1 1 1 3.21389 -1.0 -1.0 -1.0 -1.0 105.17 86.544 18.621 793990000000.0 77651000000.0 0.0 3.218 1.0 23.48 11.36 77638000000.0 51767000000.0 -1.65 -99.0 -99.0 -99.0 -99.0 11892 goodsn-33-G141_11892 3.21226 1.0
goodsn 12240 3 1 0 3.48628 3.051 3.139 3.358 3.452 62.304 56.167 6.1377 515290000000.0 25595000000.0 1.0 3.247 3.0 14.21 16.74 19305000000.0 17063000000.0 -1.13 -99.0 -99.0 -99.0 -99.0 12240 goodsn-23-G141_12240 3.18916 1.0
goodsn 12725 3 1 0 3.43935 3.224 3.299 3.482 3.553 90.36 78.546 11.815 720600000000.0 49268000000.0 0.0 3.388 3.0 14.51 8.471 29505000000.0 32846000000.0 -0.5 -99.0 -99.0 -99.0 -99.0 12725 goodsn-23-G141_12725 3.41497 1.0
goodsn 13286 3 1 0 3.23 2.028 2.101 2.269 2.317 5.9779 0.83641 5.1415 7673500000.0 21441000000.0 1.0 2.18 3.0 1.937 8.507 24684000000.0 14294000000.0 -1.86 -99.0 -99.0 -99.0 -99.0 13286 goodsn-34-G141_13286 2.00567 1.0
goodsn 14526 3 1 0 3.23238 0.221 0.242 3.228 3.333 0.049292 0.043047 0.0062451 394930000.0 26043000.0 0.0 0.2616 3.0 17.94 8.2 3005.0 17362000.0 15.96 -99.0 -99.0 -99.0 -99.0 14526 goodsn-34-G141_14526 3.23761 1.0
goodsn 15394 3 1 0 3.14532 3.1 3.137 3.242 3.272 71.601 57.007 14.594 523000000000.0 60859000000.0 0.0 3.189 3.0 16.6 7.846 56177000000.0 40573000000.0 -1.48 -99.0 -99.0 -99.0 -99.0 15394 goodsn-45-G141_15394 3.2461 1.0
goodsn 15437 3 1 0 3.16011 2.941 3.02 3.211 3.287 117.85 112.98 4.8759 1036500000000.0 20333000000.0 0.0 3.115 3.0 39.5 9.489 15065000000.0 13555000000.0 -1.09 -99.0 -99.0 -99.0 -99.0 15437 goodsn-34-G141_15437 3.19965 1.0
goodsn 15566 3 1 0 3.3203 2.97 3.098 3.388 3.511 1.4905 -99.0 1.4905 -99.0 6215600000.0 2.0 3.243 3.0 -5.205 8.431 7563400000.0 4143800000.0 -1.98 -99.0 -99.0 -99.0 -99.0 15566 00000 -1.0 1.0
goodsn 15694 3 1 0 3.32328 3.131 3.191 3.371 3.439 6.7669 -99.0 6.7669 -99.0 28219000000.0 2.0 3.281 3.0 -0.1489 8.038 22656000000.0 18813000000.0 -1.22 -99.0 -99.0 -99.0 -99.0 15694 goodsn-45-G141_15694 3.50641 1.0
goodsn 17266 3 1 0 3.36334 3.058 3.106 3.233 3.252 11.765 4.4963 7.269 41250000000.0 30313000000.0 1.0 3.169 3.0 1.375 6.042 31823000000.0 20209000000.0 -1.7 -99.0 -99.0 -99.0 -99.0 17266 goodsn-24-G141_17266 3.21648 1.0
goodsn 17667 3 1 0 3.12884 2.853 2.879 2.997 3.038 45.607 38.173 7.4337 350220000000.0 31000000000.0 0.0 2.937 3.0 19.82 8.993 37334000000.0 20666000000.0 -1.92 -99.0 -99.0 -99.0 -99.0 17667 goodsn-24-G141_17667 2.97689 1.0
goodsn 17709 3 1 0 3.16292 2.871 2.929 3.08 3.134 5.3739 -99.0 5.3739 -99.0 22410000000.0 2.0 3.001 3.0 -5.589 7.304 26493000000.0 14940000000.0 -1.89 -99.0 -99.0 -99.0 -99.0 17709 goodsn-24-G141_17709 3.16202 1.0
goodsn 17958 3 1 0 3.24478 3.249 3.274 3.4 3.431 27.767 13.297 14.47 121990000000.0 60341000000.0 1.0 3.336 3.0 2.749 8.471 50412000000.0 40227000000.0 -1.31 -99.0 -99.0 -99.0 -99.0 17958 goodsn-35-G141_17958 3.37541 1.0
goodsn 18149 3 1 0 3.21493 3.155 3.191 3.318 3.353 81.861 65.443 16.419 600390000000.0 68468000000.0 0.0 3.254 3.0 16.28 8.616 61128000000.0 45645000000.0 -1.43 -99.0 -99.0 -99.0 -99.0 18149 goodsn-35-G141_18149 3.31458 1.0
goodsn 19177 3 1 0 3.18751 3.133 3.165 3.292 3.334 55.847 42.45 13.397 389450000000.0 55865000000.0 0.0 3.227 3.0 11.27 9.733 51084000000.0 37244000000.0 -1.47 -99.0 -99.0 -99.0 -99.0 19177 goodsn-24-G141_19177 3.16202 1.0
goodsn 19818 2 1 1 3.17681 3.1709 3.1764 3.1867 3.1913 47.855 30.622 17.233 280940000000.0 71863000000.0 0.0 3.183 2.0 9.049 8.339 52355000000.0 47909000000.0 -1.04 -99.0 -99.0 -99.0 -99.0 19818 goodsn-24-G141_19818 3.18288 1.0
goodsn 19947 3 1 0 3.2124 2.975 3.03 3.187 3.238 85.331 73.408 11.924 673460000000.0 49724000000.0 0.0 3.107 3.0 26.17 11.5 49418000000.0 33149000000.0 -1.6 -99.0 -99.0 -99.0 -99.0 19947 goodsn-36-G141_19947 3.19125 1.0
goodsn 20052 1 1 1 3.21593 -1.0 -1.0 -1.0 -1.0 575.09 536.63 38.461 4923200000000.0 160390000000.0 0.0 3.214 1.0 147.0 14.15 84188000000.0 106930000000.0 -0.52 -99.0 -99.0 -99.0 -99.0 20052 goodsn-35-G141_20052 2.49034 1.0
goodsn 20621 3 1 0 3.33482 0.494 0.511 0.572 0.595 0.057111 -99.0 0.057111 -99.0 238160000.0 2.0 0.5409 3.0 -1.773 6.64 30395000.0 158770000.0 2.15 -99.0 -99.0 -99.0 -99.0 20621 goodsn-13-G141_20621 0.6056 1.0
goodsn 20729 3 1 0 3.3639 3.008 3.079 3.254 3.325 94.79 87.697 7.0931 804560000000.0 29579000000.0 0.0 3.167 3.0 26.95 7.916 31411000000.0 19719000000.0 -1.73 -99.0 -99.0 -99.0 -99.0 20729 goodsn-24-G141_20729 3.18497 1.0
goodsn 21092 3 1 0 3.18918 2.266 3.01 3.297 3.424 40.344 37.776 2.568 346570000000.0 10709000000.0 0.0 3.159 3.0 11.84 9.8 8867000000.0 7139200000.0 -1.31 -99.0 -99.0 -99.0 -99.0 21092 goodsn-25-G141_21092 3.21859 1.0
goodsn 21713 3 1 0 3.42996 3.026 3.097 3.269 3.335 9.4533 -99.0 9.4533 -99.0 39421000000.0 2.0 3.182 3.0 -2.574 10.68 29384000000.0 26281000000.0 -1.09 -99.0 -99.0 -99.0 -99.0 21713 goodsn-36-G141_21713 3.27165 1.0
goodsn 21726 3 1 0 3.40939 3.226 3.269 3.403 3.449 10.963 -99.0 10.963 -99.0 45716000000.0 2.0 3.335 3.0 -10.65 10.54 47237000000.0 30477000000.0 -1.68 -99.0 -99.0 -99.0 -99.0 21726 goodsn-14-G141_21726 3.32971 1.0
goodsn 22065 3 1 0 3.12701 2.892 2.923 3.043 3.082 50.581 38.017 12.564 348780000000.0 52393000000.0 0.0 2.982 3.0 18.03 9.096 53178000000.0 34929000000.0 -1.63 -99.0 -99.0 -99.0 -99.0 22065 goodsn-13-G141_22065 3.12885 1.0
goodsn 22144 3 1 0 3.10792 2.958 2.995 3.116 3.155 218.84 206.69 12.148 1896300000000.0 50660000000.0 0.0 3.055 3.0 83.45 9.714 45839000000.0 33773000000.0 -1.45 -99.0 -99.0 -99.0 -99.0 22144 goodsn-25-G141_22144 3.10621 1.0
goodsn 22478 3 1 0 3.24 2.959 3.034 3.234 3.295 6.4406 -99.0 6.4406 -99.0 26858000000.0 2.0 3.135 3.0 -2.427 8.015 21187000000.0 17905000000.0 -1.19 -99.0 -99.0 -99.0 -99.0 22478 goodsn-36-G141_22478 0.58487 1.0
goodsn 22598 3 1 0 3.24324 3.148 3.192 3.328 3.374 18.844 4.3557 14.488 39960000000.0 60419000000.0 1.0 3.26 3.0 1.068 6.333 55514000000.0 40279000000.0 -1.48 -99.0 -99.0 -99.0 -99.0 22598 goodsn-35-G141_22598 3.25034 1.0
goodsn 22899 3 1 0 3.36844 2.913 2.961 3.106 3.149 40.958 34.489 6.4695 316410000000.0 26979000000.0 0.0 3.032 3.0 14.67 10.4 31874000000.0 17986000000.0 -1.89 -99.0 -99.0 -99.0 -99.0 22899 goodsn-25-G141_22899 3.06942 1.0
goodsn 22932 3 1 0 3.3304 3.129 3.141 3.241 3.253 25.154 13.777 11.377 126400000000.0 47443000000.0 1.0 3.19 3.0 4.002 8.606 57560000000.0 31629000000.0 -1.92 -99.0 -99.0 -99.0 -99.0 22932 goodsn-25-G141_22932 3.1537 1.0
goodsn 23927 3 1 0 3.36402 3.091 3.155 3.327 3.393 44.26 36.427 7.8335 334190000000.0 32667000000.0 0.0 3.241 3.0 9.35 8.897 31162000000.0 21778000000.0 -1.53 -99.0 -99.0 -99.0 -99.0 23927 goodsn-25-G141_23927 3.35794 1.0
goodsn 24471 1 1 1 3.13039 -1.0 -1.0 -1.0 -1.0 39.165 14.148 25.018 129790000000.0 104330000000.0 1.0 3.125 1.0 4.825 8.762 131820000000.0 69552000000.0 -2.0 -99.0 -99.0 -99.0 -99.0 24471 goodsn-25-G141_24471 2.98087 1.0
goodsn 25908 3 1 0 3.23099 3.041 3.101 3.241 3.287 44.999 37.231 7.7676 341570000000.0 32392000000.0 0.0 3.171 3.0 11.33 6.002 29900000000.0 21595000000.0 -1.48 -99.0 -99.0 -99.0 -99.0 25908 goodsn-25-G141_25908 3.23549 1.0
goodsn 25916 3 1 0 3.21517 3.054 3.1 3.23 3.252 14.372 -99.0 14.372 -99.0 59932000000.0 2.0 3.164 3.0 -10.33 8.124 54214000000.0 39955000000.0 -1.45 -99.0 -99.0 -99.0 -99.0 25916 goodsn-15-G141_25916 3.2207 1.0
goodsn 27240 1 1 1 3.23909 -1.0 -1.0 -1.0 -1.0 199.69 159.27 40.415 1461200000000.0 168540000000.0 0.0 3.239 1.0 41.08 13.91 150780000000.0 112360000000.0 -1.42 -99.0 -99.0 -99.0 -99.0 27240 goodsn-26-G141_27240 3.24397 1.0
goodsn 28209 3 1 0 3.2336 3.132 3.165 3.284 3.324 84.618 67.672 16.946 620850000000.0 70667000000.0 0.0 3.223 3.0 18.14 9.376 58948000000.0 47111000000.0 -1.29 -99.0 -99.0 -99.0 -99.0 28209 goodsn-15-G141_28209 3.23126 1.0
