# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 106 2 1 1 0.8004 0.7913 0.796 0.8022 0.805 1.4522 0.4529 0.99931 4155100000.0 4167300000.0 0.0 0.8004 2.0 11.95 9.188 276880000.0 2778200000.0 3.16 -99.0 -99.0 -99.0 -99.0 106 goodsn-41-G141_00106 0.80038
goodsn 128 2 1 1 1.2133 1.2096 1.2115 1.2152 1.2173 33.894 32.496 1.3974 298130000000.0 5827500000.0 0.0 1.213 2.0 240.2 9.499 1769100000.0 3885000000.0 0.18 13.2 1.04 59.24 4.77 128 goodsn-41-G141_00128 1.21333
goodsn 166 2 1 1 1.0886 1.0837 1.0858 1.0903 1.0924 22.172 19.561 2.6113 179460000000.0 10890000000.0 0.0 1.089 2.0 220.9 16.93 2087400000.0 7259700000.0 1.28 11.29 1.03 37.11 3.42 166 goodsn-41-G141_00166 1.08861
goodsn 338 2 1 1 2.0526 1.4761 1.5249 2.0486 2.0683 295.08 293.09 1.9894 2688900000000.0 8295900000.0 0.0 2.053 2.0 819.3 14.15 1170000000.0 5530600000.0 1.88 -99.0 -99.0 -99.0 -99.0 338 goodsn-41-G141_00338 2.05262
goodsn 576 2 1 1 0.9533 0.9194 0.9387 0.9567 0.961 29.406 28.535 0.87139 261790000000.0 3633800000.0 0.0 0.9533 2.0 530.8 25.78 1784100000.0 2422500000.0 -0.41 4.87 1.8 14.8 5.5 576 goodsn-41-G141_00576 0.95326
goodsn 1616 2 1 1 3.3189 3.2444 3.2807 3.3479 3.3779 1263.3 1234.2 29.108 11323000000000.0 121390000000.0 0.0 3.319 2.0 264.7 31.14 14092000000.0 80924000000.0 2.25 -99.0 -99.0 -99.0 -99.0 1616 goodsn-42-G141_01616 3.3189
goodsn 1678 2 1 1 2.3737 2.3586 2.3655 2.3785 2.3847 19.373 13.356 6.0163 122540000000.0 25089000000.0 0.0 2.374 2.0 23.17 10.96 4519400000.0 16726000000.0 1.4 -99.0 -99.0 -99.0 -99.0 1678 goodsn-31-G141_01678 2.37367
goodsn 1749 1 1 1 1.3512 -1.0 -1.0 -1.0 -1.0 112.88 105.72 7.1642 969880000000.0 29876000000.0 0.0 1.351 1.0 472.3 12.32 9236500000.0 19917000000.0 0.47 20.67 1.07 80.71 4.32 1749 goodsn-31-G141_01749 1.34668
goodsn 1843 2 1 1 0.7117 0.7059 0.7086 0.7143 0.7173 17.053 13.094 3.9593 120130000000.0 16511000000.0 0.0 0.7117 2.0 439.2 12.76 9958900000.0 11007000000.0 -1.23 -99.0 -99.0 -99.0 -99.0 1843 goodsn-42-G141_01843 0.71172
goodsn 1996 1 1 1 0.9537 -1.0 -1.0 -1.0 -1.0 93.962 83.821 10.141 769000000000.0 42289000000.0 0.0 0.9537 1.0 1557.0 11.43 21881000000.0 28192000000.0 -0.44 117.72 3.89 146.62 5.08 1996 goodsn-31-G141_01996 0.99871
