# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 57 3 1 0 1.3244 1.275 1.294 1.358 1.381 152.55 139.03 13.513 1275500000000.0 56352000000.0 0.0 1.324 3.0 676.5 42.93 30159000000.0 37568000000.0 -0.49 92.69 15.68 273.35 46.43 0.926 57 goodsn-41-G141_00057 1.26031 1.0
goodsn 62 2 1 1 1.2614 1.2579 1.2597 1.2654 1.2677 9.1832 5.2155 3.9677 47848000000.0 16546000000.0 0.0 1.261 2.0 32.02 17.03 11100000000.0 11031000000.0 -1.03 13.84 1.13 216.55 19.27 1.015 62 goodsn-41-G141_00062 1.26144 1.0
goodsn 64 3 1 0 1.0965 1.011 1.065 1.137 1.158 8.2036 7.1232 1.0804 65351000000.0 4505500000.0 0.0 1.097 3.0 78.26 44.02 3127500000.0 3003600000.0 -1.12 -0.44 1.18 -10.53 28.42 1.114 64 goodsn-41-G141_00064 1.04623 1.0
goodsn 65 3 1 0 1.2189 1.164 1.187 1.252 1.272 85.865 81.582 4.2827 748460000000.0 17860000000.0 0.0 1.219 3.0 589.3 15.96 4007100000.0 11906000000.0 1.09 -99.0 -99.0 -99.0 -99.0 -99.0 65 00000 -1.0 2.0
goodsn 70 3 1 0 1.3111 1.215 1.264 1.356 1.381 80.148 69.392 10.755 636630000000.0 44851000000.0 0.0 1.311 3.0 353.3 14.98 20947000000.0 29901000000.0 -0.2 -99.0 -99.0 -99.0 -99.0 -99.0 70 00000 -1.0 1.0
goodsn 78 3 1 -1 0.6958 0.155 0.357 1.052 1.346 0.74961 0.73556 0.014043 6748300000.0 58560000.0 0.0 0.6958 3.0 25.96 22.79 20096000.0 39040000.0 -0.31 -99.0 -99.0 -99.0 -99.0 -99.0 78 00000 -1.0 2.0
goodsn 82 3 1 0 0.9864 0.85 0.935 1.041 1.073 0.3791 -99.0 0.3791 -99.0 1580900000.0 2.0 0.9864 3.0 -13.78 19.5 215000000.0 1053900000.0 1.85 -99.0 -99.0 -99.0 -99.0 -99.0 82 00000 -1.0 3.0
goodsn 86 3 1 -1 1.4886 1.391 1.433 1.545 1.565 6.4202 3.9896 2.4306 36602000000.0 10136000000.0 1.0 1.489 3.0 14.29 22.29 13552000000.0 6757200000.0 -2.09 -99.0 -99.0 -99.0 -99.0 -99.0 86 00000 -1.0 1.0
goodsn 88 3 1 -1 1.0813 0.933 1.012 1.144 1.212 0.66942 0.19262 0.4768 1767100000.0 1988300000.0 1.0 1.081 3.0 2.236 10.41 1948600000.0 1325600000.0 -1.63 1.83 0.95 258.54 158.77 1.08 88 goodsn-41-G141_00088 0.82668 1.0
goodsn 92 3 1 -1 2.1588 1.898 2.04 2.279 2.378 11.885 9.7415 2.1431 89372000000.0 8936900000.0 0.0 2.159 3.0 23.29 11.56 6557700000.0 5957900000.0 -1.1 1.39 0.5 297.64 134.12 0.912 92 goodsn-41-G141_00092 1.42905 1.0
goodsn 93 3 1 0 0.9582 0.885 0.922 0.996 1.021 3.6026 1.9491 1.6535 17882000000.0 6895300000.0 1.0 0.9582 3.0 35.63 154.7 6646700000.0 4596900000.0 -1.65 -99.0 -99.0 -99.0 -99.0 -99.0 93 00000 -1.0 1.0
goodsn 97 3 1 -1 2.5465 2.355 2.442 2.66 2.772 16.173 10.528 5.6445 96588000000.0 23539000000.0 0.0 2.546 3.0 12.82 8.405 22221000000.0 15692000000.0 -1.55 -99.0 -99.0 -99.0 -99.0 -99.0 97 goodsn-41-G141_00097 2.57155 1.0
goodsn 98 3 1 -1 0.8928 0.256 0.606 1.189 1.401 5.3213 5.2831 0.038206 48468000000.0 159330000.0 0.0 0.8928 3.0 119.0 15.82 164520000.0 106220000.0 -1.71 -99.0 -99.0 -99.0 -99.0 -99.0 98 00000 -1.0 1.0
goodsn 99 3 1 -1 1.0396 0.901 0.959 1.117 1.646 0.87275 -99.0 0.87275 -99.0 3639500000.0 2.0 1.04 3.0 -21.92 12.77 4197600000.0 2426300000.0 -1.96 -99.0 -99.0 -99.0 -99.0 -99.0 99 00000 -1.0 1.0
goodsn 100 2 1 1 0.5589 0.446 0.4913 0.6006 0.674 0.76623 0.5526 0.21362 5069800000.0 890840000.0 0.0 0.5589 2.0 30.51 20.46 674780000.0 593890000.0 -0.96 -99.0 -99.0 -99.0 -99.0 -99.0 100 goodsn-41-G141_00100 0.55893 1.0
goodsn 106 2 1 1 0.8004 0.7913 0.796 0.8022 0.805 1.4522 0.4529 0.99931 4155100000.0 4167300000.0 0.0 0.8004 2.0 11.95 9.188 276880000.0 2778200000.0 3.16 -99.0 -99.0 -99.0 -99.0 -99.0 106 goodsn-41-G141_00106 0.80038 3.0
