# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 78 3 1 0 0.6958 0.155 0.357 1.052 1.346 0.74961 0.73556 0.014043 6748300000.0 58560000.0 0.0 0.6958 3.0 25.96 22.79 20096000.0 39040000.0 -0.31 -99.0 -99.0 -99.0 -99.0 78 00000 -1.0 2.0
goodsn 98 3 1 0 0.8928 0.256 0.606 1.189 1.401 5.3213 5.2831 0.038206 48468000000.0 159330000.0 0.0 0.8928 3.0 119.0 15.82 164520000.0 106220000.0 -1.71 -99.0 -99.0 -99.0 -99.0 98 00000 -1.0 1.0
goodsn 108 3 1 0 1.0915 0.723 0.875 1.292 1.568 1.9738 1.9237 0.050145 17648000000.0 209110000.0 0.0 1.092 3.0 21.5 16.31 235350000.0 139410000.0 -1.99 2.49 0.6 723.93 297.36 108 goodsn-41-G141_00108 0.93867 2.0
goodsn 135 3 1 0 0.6343 0.133 0.469 0.784 1.337 0.12917 0.10163 0.027542 932390000.0 114850000.0 1.0 0.6343 3.0 4.28 87.82 167210000.0 76569000.0 -2.31 -99.0 -99.0 -99.0 -99.0 135 00000 -1.0 2.0
goodsn 224 3 1 0 0.8662 0.672 0.77 0.96 1.024 0.25275 -99.0 0.25275 -99.0 1054000000.0 2.0 0.8662 3.0 -17.16 7.02 1206700000.0 702670000.0 -1.89 1.81 0.8 66648.57 1082369.57 224 goodsn-41-G141_00224 0.75505 1.0
goodsn 233 3 1 0 0.8283 0.721 0.766 0.894 0.947 0.50906 0.28958 0.21948 2656700000.0 915260000.0 1.0 0.8283 3.0 7.314 13.19 948500000.0 610170000.0 -1.7 3.49 0.75 1777.06 1059.79 233 goodsn-41-G141_00233 0.77269 1.0
goodsn 235 3 1 0 2.2576 1.155 1.807 2.696 3.003 3.9544 3.3445 0.60997 30683000000.0 2543700000.0 1.0 2.258 3.0 6.865 30.11 1023300000.0 1695800000.0 0.11 -99.0 -99.0 -99.0 -99.0 235 00000 -1.0 1.0
goodsn 261 3 1 0 0.8598 0.39 0.627 1.086 5.32 0.4032 0.35863 0.044566 3290200000.0 185850000.0 1.0 0.8598 3.0 8.696 10.28 72000000.0 123900000.0 -0.35 -99.0 -99.0 -99.0 -99.0 261 goodsn-41-G141_00261 -1.0 3.0
goodsn 282 3 1 0 0.9603 0.364 0.746 1.183 1.467 0.15931 -99.0 0.15931 -99.0 664340000.0 2.0 0.9603 3.0 -5.714 11.36 638410000.0 442890000.0 -1.48 -99.0 -99.0 -99.0 -99.0 282 00000 -1.0 1.0
goodsn 288 3 1 0 0.9032 0.744 0.803 0.987 1.033 1.0698 0.6973 0.37251 6397200000.0 1553400000.0 1.0 0.9032 3.0 15.26 20.31 1701200000.0 1035600000.0 -1.84 1.25 1.12 164.91 156.15 288 goodsn-41-G141_00288 0.7402 1.0
goodsn 304 3 1 0 0.8576 0.106 0.468 1.458 4.986 0.023748 -99.0 0.023748 -99.0 99034000.0 2.0 0.8576 3.0 -3.569 10.67 124180000.0 66023000.0 -2.11 -99.0 -99.0 -99.0 -99.0 304 00000 -1.0 1.0
goodsn 335 3 1 0 0.7647 0.534 0.639 0.894 1.006 0.011063 -99.0 0.011063 -99.0 46135000.0 2.0 0.7647 3.0 -0.8709 19.26 1041000.0 30757000.0 3.42 -1.07 1.17 -inf inf 335 goodsn-41-G141_00335 0.66863 3.0
goodsn 338 2 1 1 2.0526 1.4761 1.5249 2.0486 2.0683 295.08 293.09 1.9894 2688900000000.0 8295900000.0 0.0 2.053 2.0 819.3 14.15 1170000000.0 5530600000.0 1.88 -99.0 -99.0 -99.0 -99.0 338 goodsn-41-G141_00338 2.05262 2.0
goodsn 344 3 1 0 1.8836 1.461 1.618 2.132 2.375 9.3534 8.9893 0.36412 82471000000.0 1518400000.0 1.0 1.884 3.0 31.87 129.8 425400000.0 1012300000.0 0.35 -99.0 -99.0 -99.0 -99.0 344 00000 -1.0 2.0
goodsn 367 3 1 0 0.9121 0.557 0.727 1.089 1.224 0.72224 0.70348 0.018763 6454000000.0 78242000.0 1.0 0.9121 3.0 15.02 16.63 8740500.0 52162000.0 2.21 -99.0 -99.0 -99.0 -99.0 367 00000 -1.0 3.0
goodsn 379 3 1 0 0.902 0.154 0.627 1.136 1.284 0.10004 -99.0 0.10004 -99.0 417180000.0 2.0 0.902 3.0 -4.763 10.37 474800000.0 278120000.0 -1.86 -99.0 -99.0 -99.0 -99.0 379 00000 -1.0 1.0
goodsn 381 3 1 0 0.8184 0.598 0.703 0.959 1.072 0.47779 0.38596 0.091829 3540900000.0 382940000.0 1.0 0.8184 3.0 9.882 10.74 357530000.0 255290000.0 -1.78 1.56 0.51 1666.36 2028.76 381 goodsn-41-G141_00381 0.85429 1.0
goodsn 425 3 1 0 0.6921 0.526 0.608 0.778 0.85 0.32582 0.17922 0.1466 1644200000.0 611350000.0 1.0 0.6921 3.0 6.399 10.9 304090000.0 407570000.0 -0.17 14.4 1.8 2837.25 1116.68 425 goodsn-41-G141_00425 0.87949 1.0
goodsn 429 3 1 0 1.6034 1.276 1.408 1.815 2.035 0.84059 -99.0 0.84059 -99.0 3505400000.0 2.0 1.603 3.0 -6.177 11.92 4129600000.0 2336900000.0 -1.92 -99.0 -99.0 -99.0 -99.0 429 goodsn-41-G141_00429 1.85908 1.0
goodsn 470 3 1 0 1.2578 0.816 1.031 1.473 1.94 3.2773 3.1708 0.10647 29090000000.0 443990000.0 0.0 1.258 3.0 19.69 11.94 496450000.0 295990000.0 -1.91 1.55 0.49 1.1621702813615413e+83 inf 470 goodsn-41-G141_00470 1.16951 1.0
goodsn 473 3 1 0 1.8743 1.459 1.654 2.09 2.247 1.0997 0.094931 1.0047 870930000.0 4189900000.0 1.0 1.874 3.0 0.3404 13.58 3156200000.0 2793300000.0 -1.14 -99.0 -99.0 -99.0 -99.0 473 goodsn-41-G141_00473 1.87485 1.0
goodsn 506 3 1 0 0.8792 0.687 0.786 0.966 1.041 0.22566 -99.0 0.22566 -99.0 941050000.0 2.0 0.8792 3.0 -0.853 8.639 1097400000.0 627370000.0 -1.9 1.26 0.76 528.63 423.9 506 goodsn-41-G141_00506 0.98774 1.0
goodsn 523 3 1 0 0.8164 0.618 0.725 0.906 0.971 0.13263 -99.0 0.13263 -99.0 553100000.0 2.0 0.8164 3.0 -9.35 8.666 578120000.0 368730000.0 -1.77 -0.2 0.87 -389.63 4669.57 523 goodsn-41-G141_00523 0.68793 1.0
goodsn 524 3 1 0 1.4686 1.202 1.313 1.618 1.78 0.96888 -99.0 0.96888 -99.0 4040400000.0 2.0 1.469 3.0 -27.59 10.61 4697900000.0 2693600000.0 -1.9 2.94 0.72 567.24 172.44 524 goodsn-41-G141_00524 1.16951 1.0
goodsn 535 3 1 0 0.9911 0.801 0.905 1.084 1.143 3.7604 2.7293 1.0311 25039000000.0 4299700000.0 0.0 0.9911 3.0 44.25 6.577 5036100000.0 2866500000.0 -1.91 0.88 1.45 59.01 101.96 535 goodsn-41-G141_00535 0.7932 1.0
goodsn 548 3 1 0 2.3909 2.112 2.254 2.53 2.651 14.792 11.624 3.1677 106640000000.0 13210000000.0 0.0 2.391 3.0 19.61 12.92 11700000000.0 8806500000.0 -1.42 -99.0 -99.0 -99.0 -99.0 548 goodsn-41-G141_00548 2.77915 1.0
goodsn 552 3 1 0 1.7075 1.262 1.38 2.067 2.287 8.1951 7.7005 0.49454 70647000000.0 2062300000.0 0.0 1.707 3.0 27.9 9.912 2337600000.0 1374900000.0 -1.87 -99.0 -99.0 -99.0 -99.0 552 goodsn-41-G141_00552 2.01169 1.0
goodsn 565 3 1 0 1.7204 1.387 1.592 1.853 2.03 7.1423 6.8189 0.32334 62559000000.0 1348400000.0 1.0 1.72 3.0 24.96 26.74 1010000000.0 898920000.0 -1.25 -99.0 -99.0 -99.0 -99.0 565 00000 -1.0 1.0
goodsn 589 3 1 0 0.6799 0.395 0.492 0.943 1.201 0.50482 0.46364 0.041176 4253600000.0 171710000.0 0.0 0.6799 3.0 17.16 10.96 44688000.0 114470000.0 1.06 1.66 0.6 1.0705203047238116e+43 inf 589 goodsn-41-G141_00589 0.88137 1.0
goodsn 590 3 1 0 1.3465 1.193 1.261 1.431 1.604 0.67652 -99.0 0.67652 -99.0 2821200000.0 2.0 1.346 3.0 -1.683 10.87 3206100000.0 1880800000.0 -1.85 0.67 0.54 122.48 102.54 590 goodsn-41-G141_00590 1.25579 1.0
goodsn 608 3 1 0 0.8591 0.46 0.661 1.056 1.198 0.60249 0.45546 0.14703 4178600000.0 613120000.0 1.0 0.8591 3.0 11.06 14.76 723080000.0 408740000.0 -1.9 1.33 0.68 inf inf 608 goodsn-41-G141_00608 0.91267 1.0
goodsn 616 3 1 0 1.4006 0.606 1.051 5.747 5.95 5.4814 5.4034 0.077984 49573000000.0 325210000.0 0.0 1.401 3.0 21.47 16.14 149850000.0 216800000.0 -0.5 -99.0 -99.0 -99.0 -99.0 616 00000 -1.0 3.0
goodsn 627 3 1 0 0.9741 0.762 0.875 1.082 1.198 1.5395 1.272 0.26751 11670000000.0 1115500000.0 0.0 0.9741 3.0 21.96 9.089 1330300000.0 743690000.0 -1.96 -99.0 -99.0 -99.0 -99.0 627 00000 -1.0 1.0
goodsn 647 3 1 0 0.9359 0.693 0.8 1.075 1.185 0.18037 -99.0 0.18037 -99.0 752170000.0 2.0 0.9359 3.0 -12.46 11.6 892290000.0 501440000.0 -1.91 -99.0 -99.0 -99.0 -99.0 647 00000 -1.0 1.0
goodsn 654 3 1 0 1.0763 0.757 0.894 1.261 1.426 1.5189 1.3284 0.19047 12187000000.0 794290000.0 0.0 1.076 3.0 15.7 12.19 932600000.0 529530000.0 -1.96 2.07 0.59 2.6293603388804353e+120 inf 654 goodsn-41-G141_00654 1.07716 1.0
goodsn 659 3 1 0 0.9628 0.749 0.834 1.083 1.136 0.24018 -99.0 0.24018 -99.0 1001600000.0 2.0 0.9628 3.0 -13.04 11.53 1068800000.0 667710000.0 -1.76 -99.0 -99.0 -99.0 -99.0 659 goodsn-42-G141_00659 -1.0 1.0
goodsn 665 3 1 0 0.8169 0.308 0.518 1.089 1.197 0.59354 0.51839 0.075149 4755900000.0 313380000.0 0.0 0.8169 3.0 13.3 12.15 94873000.0 208920000.0 0.65 -99.0 -99.0 -99.0 -99.0 665 goodsn-41-G141_00665 0.35595 3.0
