# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodsn 20924 1 1 1 2.551 -1.0 -1.0 -1.0 -1.0 83.651 52.089 31.562 477880000000.0 131620000000.0 0.0 2.551 1.0 62.66 12.76 119160000000.0 87745000000.0 -1.46 -99.0 -99.0 -99.0 -99.0 20924 goodsn-36-G141_20924 2.58587 1.0
goodsn 14453 2 1 1 2.1236 2.1196 2.1214 2.125 2.1267 13.719 8.9003 4.8185 81654000000.0 20094000000.0 0.0 2.124 2.0 22.41 13.17 15026000000.0 13396000000.0 -1.1 -99.0 -99.0 -99.0 -99.0 14453 goodsn-46-G141_14453 2.12364 1.0
goodsn 12345 2 1 1 2.2691 2.2614 2.2651 2.2731 2.2776 60.973 38.79 22.183 355870000000.0 92507000000.0 0.0 2.269 2.0 78.36 12.67 70863000000.0 61671000000.0 -1.11 -99.0 -99.0 -99.0 -99.0 12345 goodsn-45-G141_12345 2.26905 1.0
goodsn 13088 1 1 1 2.4605 -1.0 -1.0 -1.0 -1.0 240.63 223.65 16.983 2051800000000.0 70820000000.0 0.0 2.461 1.0 330.5 10.48 42680000000.0 47213000000.0 -0.57 -99.0 -99.0 -99.0 -99.0 13088 goodsn-45-G141_13088 2.45043 1.0
goodsn 10835 3 1 0 2.3028 2.131 2.194 2.407 2.471 150.97 148.06 2.9018 1358400000000.0 12101000000.0 0.0 2.303 3.0 285.0 15.84 6411200000.0 8067200000.0 -0.39 -99.0 -99.0 -99.0 -99.0 10835 goodsn-44-G141_10835 2.40587 1.0
goodsn 9271 1 1 1 2.304 -1.0 -1.0 -1.0 -1.0 7.7433 -99.0 7.7433 -99.0 32291000000.0 2.0 2.304 1.0 -0.5728 10.71 32542000000.0 21527000000.0 -1.63 -99.0 -99.0 -99.0 -99.0 9271 goodsn-44-G141_09271 2.29861 1.0
goodsn 7652 1 1 1 2.275 -1.0 -1.0 -1.0 -1.0 138.05 119.69 18.358 1098100000000.0 76557000000.0 0.0 2.275 1.0 239.7 11.35 57534000000.0 51038000000.0 -1.09 -99.0 -99.0 -99.0 -99.0 7652 goodsn-44-G141_07652 2.2838 1.0
goodsn 9148 2 1 1 1.5294 1.5193 1.5244 1.535 1.5447 12.624 6.5466 6.0771 60060000000.0 25342000000.0 1.0 1.529 2.0 22.75 23.52 22462000000.0 16895000000.0 -1.43 9.7 1.41 311.79 54.41 9148 goodsn-33-G141_09148 1.52945 1.0
goodsn 28846 3 1 0 2.4365 0.185 2.37 2.5 2.545 7.4817 -99.0 7.4817 -99.0 31200000000.0 2.0 2.437 3.0 -6.247 6.719 30614000000.0 20800000000.0 -1.56 -99.0 -99.0 -99.0 -99.0 28846 goodsn-26-G141_28846 2.49558 1.0
goodsn 25688 1 1 1 2.371 -1.0 -1.0 -1.0 -1.0 21.724 10.715 11.009 98305000000.0 45909000000.0 0.0 2.371 1.0 18.68 7.975 45064000000.0 30606000000.0 -1.59 -99.0 -99.0 -99.0 -99.0 25688 goodsn-36-G141_25688 2.38042 1.0
