# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 1 3 1 0 0.5041 0.482 0.486 0.522 0.526 3.1857 2.7815 0.40419 25518000000.0 1685500000.0 0.0 0.5041 3.0 199.9 10.5 452620000.0 1123700000.0 0.51 -99.0 -99.0 -99.0 -99.0 1 00000 -1.0
goodss 4 3 1 0 0.1472 0.122 0.131 0.164 0.175 0.025345 0.0012957 0.02405 11887000.0 100290000.0 1.0 0.1472 3.0 2.204 13.84 162270000.0 66861000.0 -2.46 -99.0 -99.0 -99.0 -99.0 4 00000 -1.0
goodss 5 3 1 0 2.8316 2.777 2.787 2.877 2.888 22.021 15.427 6.5937 141530000000.0 27497000000.0 1.0 2.832 3.0 9.71 10.17 31780000000.0 18331000000.0 -1.78 -99.0 -99.0 -99.0 -99.0 5 00000 -1.0
goodss 7 3 1 0 2.7561 2.702 2.712 2.801 2.811 38.844 18.44 20.404 169170000000.0 85089000000.0 1.0 2.756 3.0 13.45 13.81 97149000000.0 56726000000.0 -1.68 -99.0 -99.0 -99.0 -99.0 7 00000 -1.0
goodss 14 3 1 0 0.0942 0.078 0.081 0.107 0.11 0.0023247 -99.0 0.0023247 -99.0 9694500.0 2.0 0.0942 3.0 -15.25 10.36 16538000.0 6463000.0 -2.64 -99.0 -99.0 -99.0 -99.0 14 00000 -1.0
goodss 16 3 1 0 0.2822 0.264 0.267 0.298 0.301 0.2072 0.01379 0.19341 126510000.0 806560000.0 1.0 0.2822 3.0 4.733 12.64 690300000.0 537700000.0 -1.49 -99.0 -99.0 -99.0 -99.0 16 00000 -1.0
goodss 18 3 1 0 2.8895 2.787 2.825 2.956 3.002 97.67 87.532 10.138 803050000000.0 42275000000.0 0.0 2.889 3.0 49.74 11.77 42675000000.0 28184000000.0 -1.54 -99.0 -99.0 -99.0 -99.0 18 00000 -1.0
goodss 19 3 1 0 0.9706 0.801 0.846 1.003 1.024 1.8466 -99.0 1.8466 -99.0 7700500000.0 2.0 0.9706 3.0 -4.892 16.78 6673200000.0 5133600000.0 -1.27 -99.0 -99.0 -99.0 -99.0 19 00000 -1.0
goodss 21 3 1 0 2.8163 2.728 2.759 2.874 2.915 2.4972 -99.0 2.4972 -99.0 10414000000.0 2.0 2.816 3.0 -6.329 11.77 13647000000.0 6942400000.0 -1.98 -99.0 -99.0 -99.0 -99.0 21 00000 -1.0
goodss 22 3 1 0 2.6595 2.538 2.598 2.726 2.762 4.0762 -99.0 4.0762 -99.0 16998000000.0 2.0 2.659 3.0 -6.131 13.52 16468000000.0 11332000000.0 -1.64 -99.0 -99.0 -99.0 -99.0 22 00000 -1.0
goodss 27 3 1 0 2.3431 2.225 2.255 2.449 2.485 8.3815 3.8224 4.5591 35067000000.0 19012000000.0 1.0 2.343 3.0 6.954 13.89 23444000000.0 12675000000.0 -1.94 -99.0 -99.0 -99.0 -99.0 27 00000 -1.0
goodss 29 3 1 0 0.1107 0.089 0.096 0.126 0.132 0.012339 0.0061701 0.0061691 56607000.0 25726000.0 0.0 0.1107 3.0 20.61 9.079 43853000.0 17151000.0 -2.47 -99.0 -99.0 -99.0 -99.0 29 00000 -1.0
goodss 30 3 1 0 0.0232 0.01 0.012 0.036 0.054 0.00019359 -99.0 0.00019359 -99.0 807290.0 2.0 0.0232 3.0 -57.01 21.51 1211400.0 538200.0 -2.19 -99.0 -99.0 -99.0 -99.0 30 00000 -1.0
goodss 31 3 1 0 1.0991 1.06 1.078 1.131 1.139 29.089 23.793 5.296 218280000000.0 22085000000.0 0.0 1.099 3.0 259.7 14.36 15234000000.0 14723000000.0 -1.03 -99.0 -99.0 -99.0 -99.0 31 00000 -1.0
goodss 32 3 1 0 0.0617 0.046 0.049 0.074 0.077 0.0037342 -99.0 0.0037342 -99.0 15572000.0 2.0 0.0617 3.0 -11.03 11.31 9672500.0 10381000.0 -0.55 -99.0 -99.0 -99.0 -99.0 32 00000 -1.0
goodss 33 3 1 0 3.0572 2.927 2.983 3.129 3.195 299.64 297.08 2.5613 2725500000000.0 10681000000.0 0.0 3.057 3.0 119.4 15.16 14839000000.0 7120600000.0 -2.03 -99.0 -99.0 -99.0 -99.0 33 00000 -1.0
goodss 34 3 1 0 2.8021 2.739 2.752 2.848 2.884 11.062 -99.0 11.062 -99.0 46128000000.0 2.0 2.802 3.0 -70.3 16.64 39397000000.0 30752000000.0 -1.25 -99.0 -99.0 -99.0 -99.0 34 00000 -1.0
goodss 35 3 1 0 2.8943 2.725 2.797 2.991 3.043 44.331 37.905 6.4258 347750000000.0 26796000000.0 0.0 2.894 3.0 21.34 12.3 26265000000.0 17864000000.0 -1.76 -99.0 -99.0 -99.0 -99.0 35 00000 -1.0
goodss 36 3 1 0 2.5589 2.47 2.509 2.611 2.627 190.69 185.4 5.2908 1700900000000.0 22064000000.0 0.0 2.559 3.0 218.6 18.32 26520000000.0 14709000000.0 -1.91 -99.0 -99.0 -99.0 -99.0 36 00000 -1.0
goodss 37 3 1 0 2.6669 2.598 2.63 2.722 2.735 35.238 23.307 11.93 213830000000.0 49751000000.0 0.0 2.667 3.0 20.96 8.874 49590000000.0 33167000000.0 -1.57 -99.0 -99.0 -99.0 -99.0 37 00000 -1.0
goodss 39 3 1 0 2.7537 2.583 2.667 2.838 2.881 46.436 31.743 14.693 291220000000.0 61273000000.0 0.0 2.754 3.0 23.25 12.44 49313000000.0 40849000000.0 -1.45 -99.0 -99.0 -99.0 -99.0 39 00000 -1.0
goodss 40 3 1 0 1.3036 1.256 1.276 1.335 1.353 122.88 117.08 5.8008 1074100000000.0 24190000000.0 0.0 1.304 3.0 611.1 13.52 12271000000.0 16127000000.0 -0.41 -99.0 -99.0 -99.0 -99.0 40 00000 -1.0
goodss 43 3 1 0 0.7164 0.687 0.693 0.737 0.762 0.49299 0.034156 0.45884 313350000.0 1913400000.0 1.0 0.7164 3.0 1.129 7.317 1238000000.0 1275600000.0 -0.55 -99.0 -99.0 -99.0 -99.0 43 00000 -1.0
goodss 44 3 1 0 0.684 0.648 0.66 0.708 0.718 1.9376 1.2924 0.64516 11857000000.0 2690400000.0 0.0 0.684 3.0 47.26 12.53 729070000.0 1793600000.0 0.58 -99.0 -99.0 -99.0 -99.0 44 00000 -1.0
goodss 50 3 1 0 2.8422 2.719 2.765 2.923 2.99 36.717 32.597 4.1199 299050000000.0 17180000000.0 0.0 2.842 3.0 20.15 12.63 21182000000.0 11454000000.0 -1.94 -99.0 -99.0 -99.0 -99.0 50 00000 -1.0
goodss 51 3 1 0 2.0364 1.935 1.98 2.093 2.151 5.2086 -99.0 5.2086 -99.0 21721000000.0 2.0 2.036 3.0 -8.957 13.33 23572000000.0 14480000000.0 -1.78 -99.0 -99.0 -99.0 -99.0 51 00000 -1.0
goodss 52 3 1 0 2.9283 2.794 2.847 3.009 3.075 33.699 28.93 4.7691 265410000000.0 19888000000.0 0.0 2.928 3.0 15.29 13.69 22859000000.0 13259000000.0 -1.8 -99.0 -99.0 -99.0 -99.0 52 00000 -1.0
goodss 53 3 1 0 2.2856 2.164 2.227 2.347 2.409 3.0922 -99.0 3.0922 -99.0 12895000000.0 2.0 2.286 3.0 -1.762 11.2 14695000000.0 8596500000.0 -1.88 -99.0 -99.0 -99.0 -99.0 53 00000 -1.0
goodss 56 3 1 0 1.1082 1.077 1.084 1.134 1.14 17.515 13.37 4.1456 122660000000.0 17288000000.0 0.0 1.108 3.0 141.7 10.93 13009000000.0 11525000000.0 -1.19 -99.0 -99.0 -99.0 -99.0 56 00000 -1.0
goodss 61 3 1 0 2.2853 2.222 2.235 2.332 2.414 77.906 71.488 6.4177 655850000000.0 26763000000.0 0.0 2.285 3.0 141.1 11.54 19515000000.0 17842000000.0 -1.02 -99.0 -99.0 -99.0 -99.0 61 00000 -1.0
goodss 67 3 1 0 0.6381 0.606 0.617 0.661 0.668 10.851 8.4403 2.4111 77434000000.0 10055000000.0 0.0 0.6381 3.0 351.7 11.42 2819700000.0 6703100000.0 0.44 -99.0 -99.0 -99.0 -99.0 67 00000 -1.0
goodss 68 3 1 0 1.1091 1.079 1.085 1.134 1.14 91.765 87.506 4.2591 802810000000.0 17761000000.0 0.0 1.109 3.0 924.4 12.38 5931800000.0 11841000000.0 0.46 -99.0 -99.0 -99.0 -99.0 68 00000 -1.0
goodss 69 3 1 0 1.6145 1.27 1.562 1.696 1.849 3.3796 2.4007 0.97889 22025000000.0 4082100000.0 1.0 1.614 3.0 8.144 12.96 5499500000.0 2721400000.0 -2.1 -99.0 -99.0 -99.0 -99.0 69 00000 -1.0
goodss 73 2 1 1 1.7635 1.7588 1.7611 1.7643 1.7657 6.8843 1.2193 5.6649 11186000000.0 23624000000.0 1.0 1.764 2.0 4.587 7.684 26602000000.0 15749000000.0 -1.83 -99.0 -99.0 -99.0 -99.0 73 goodss-15-G141_00073 1.76351
goodss 82 3 1 0 2.5924 2.486 2.532 2.656 2.699 16.329 11.47 4.8589 105230000000.0 20262000000.0 1.0 2.592 3.0 12.45 13.95 19250000000.0 13508000000.0 -1.58 -99.0 -99.0 -99.0 -99.0 82 00000 -1.0
