# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 11086 3 1 0 0.5857 0.537 0.555 0.616 0.644 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.5857 3.0 nan 0.0 -99.0 -99.0 -1.6 5.61 1.21 256.54 71.04 11086 goodss-28-G141_11086 1.48805
goodss 12623 2 1 1 0.7367 0.7006 0.7173 0.7467 0.7604 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.7367 2.0 nan 0.0 -99.0 -99.0 -1.47 8.16 2.29 130.07 43.23 12623 goodss-28-G141_12623 0.73672
goodss 13464 3 1 0 0.8445 0.779 0.805 0.88 0.933 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.8445 3.0 nan 0.0 -99.0 -99.0 -1.88 3.81 1.35 359.1 147.38 13464 goodss-28-G141_13464 0.86918
goodss 16874 2 1 1 0.8395 0.8372 0.8382 0.8404 0.8416 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.8395 2.0 nan 0.0 -99.0 -99.0 -1.84 17.28 0.85 537.67 38.12 16874 goodss-28-G141_16874 0.83951
goodss 44116 3 1 0 0.7305 0.704 0.709 0.752 0.771 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.7305 3.0 nan 0.0 -99.0 -99.0 -0.3 -99.0 -99.0 -99.0 -99.0 44116 00000 -1.0
goodss 44225 3 1 0 0.9341 0.829 0.866 0.979 1.006 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.9341 3.0 nan 0.0 -99.0 -99.0 -1.63 26.35 20.37 3.1480421447912115e+200 inf 44225 goodss-01-G141_44225 0.94546
goodss 44408 3 1 0 0.6319 0.592 0.607 0.657 0.67 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.6319 3.0 nan 0.0 -99.0 -99.0 -0.39 -0.78 0.79 -30.33 30.71 44408 goodss-01-G141_44408 0.68793
goodss 44957 2 1 1 0.9699 0.9671 0.9683 0.9707 0.9718 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.9699 2.0 nan 0.0 -99.0 -99.0 -1.47 33.82 1.13 689.24 31.24 44957 goodss-01-G141_44957 0.96993
goodss 46279 3 1 0 0.5469 0.513 0.528 0.568 0.581 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.5469 3.0 nan 0.0 -99.0 -99.0 -0.62 -99.0 -99.0 -99.0 -99.0 46279 00000 -1.0
goodss 46830 2 1 1 0.8918 0.8755 0.8851 0.8992 1.0956 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.8917 2.0 nan 0.0 -99.0 -99.0 -1.8 1.78 1.7 337.25 514.55 46830 goodss-01-G141_46830 0.89175
