# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 24519 1 1 1 1.097 -1.0 -1.0 -1.0 -1.0 28.171 22.009 6.1625 201910000000.0 25699000000.0 0.0 1.097 1.0 241.8 8.547 17659000000.0 17132000000.0 -1.03 26.09 1.67 209.7 14.17 24519 goodss-34-G141_24519 1.09908
goodss 1880 1 1 1 1.425 -1.0 -1.0 -1.0 -1.0 3.8305 1.1178 2.7127 10255000000.0 11312000000.0 1.0 1.425 1.0 4.277 8.068 12554000000.0 7541500000.0 -1.86 9.35 0.59 1241.5 170.21 1880 goodss-14-G141_01880 1.42784
goodss 8573 1 1 1 1.414 -1.0 -1.0 -1.0 -1.0 7.3319 1.9044 5.4276 17471000000.0 22634000000.0 0.0 1.414 1.0 7.41 6.868 26730000000.0 15089000000.0 -1.97 10.77 0.69 1206.41 172.73 8573 goodss-21-G141_08573 1.41452
goodss 2116 1 1 1 1.341 -1.0 -1.0 -1.0 -1.0 6.827 3.3797 3.4473 31006000000.0 14376000000.0 0.0 1.341 1.0 15.54 8.309 15364000000.0 9583800000.0 -1.81 9.72 0.81 733.5 97.83 2116 goodss-16-G141_02116 1.34082
goodss 39376 2 1 1 1.3106 1.3064 1.308 1.3114 1.3129 10.677 8.5628 2.1137 78558000000.0 8814500000.0 0.0 1.2964 2.0 45.94 8.249 5874300000.0 5876300000.0 -0.98 9.05 0.76 284.15 26.81 39376 goodss-33-G141_39376 1.30943
goodss 8842 2 1 1 1.2968 1.2927 1.2944 1.2979 1.2997 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.7221 2.0 nan 0.0 -99.0 -99.0 -1.08 7.64 0.68 373.85 39.85 8842 goodss-28-G141_08842 1.29676
goodss 46464 2 1 1 1.1372 1.1337 1.135 1.1376 1.1389 -99.0 -99.0 1.6618 -99.0 6929800000.0 2.0 1.1407 2.0 -3.378e-06 2.122e-10 7640800000.0 4619800000.0 -1.87 6.22 0.49 438.26 41.8 46464 goodss-01-G141_46464 1.13721
goodss 34067 1 1 1 0.8372 -1.0 -1.0 -1.0 -1.0 5.922 4.2864 1.6356 39324000000.0 6820600000.0 0.0 0.8372 1.0 107.0 6.339 6512800000.0 4547100000.0 -1.68 22.98 0.93 436.11 22.32 34067 goodss-18-G141_34067 0.83951
goodss 23147 2 1 1 0.965 0.9619 0.9632 0.9662 0.9678 2.1958 1.1314 1.0644 10380000000.0 4438800000.0 0.0 0.9477 2.0 21.47 9.532 4039300000.0 2959200000.0 -1.54 8.74 0.81 448.52 54.85 23147 goodss-25-G141_23147 0.96502
goodss 12945 1 1 1 1.224 -1.0 -1.0 -1.0 -1.0 41.135 37.985 3.15 348490000000.0 13136000000.0 0.0 1.224 1.0 269.1 60.38 4095900000.0 8757400000.0 0.43 19.89 0.9 121.78 5.75 12945 goodss-06-G141_12945 1.22888
goodss 8842 2 1 1 1.2968 1.2927 1.2944 1.2979 1.2997 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.7221 2.0 nan 0.0 -99.0 -99.0 -1.08 7.64 0.68 373.85 39.85 8842 goodss-28-G141_08842 1.29676
goodss 29815 1 1 1 1.216 -1.0 -1.0 -1.0 -1.0 4.3524 3.0163 1.3361 27672000000.0 5571800000.0 0.0 1.216 1.0 22.04 10.08 4541700000.0 3714500000.0 -1.36 8.38 0.77 432.46 45.57 29815 goodss-38-G141_29815 1.21223
goodss 4820 2 1 1 1.1064 1.1023 1.1041 1.1077 1.1093 29.67 21.562 8.1082 197820000000.0 33812000000.0 0.0 1.1083 2.0 228.3 6.223 28310000000.0 22542000000.0 -1.39 35.84 2.71 234.59 22.03 4820 goodss-05-G141_04820 1.10644
goodss 41319 2 1 1 1.3549 1.3509 1.353 1.3567 1.3583 52.694 50.942 1.7515 467360000000.0 7304000000.0 0.0 1.3587 2.0 222.6 40.95 3990400000.0 4869300000.0 -0.43 10.41 0.69 597.21 54.22 41319 goodss-30-G141_41319 1.3549
goodss 37613 1 1 1 1.017 -1.0 -1.0 -1.0 -1.0 26.933 25.144 1.7889 230680000000.0 7460000000.0 0.0 1.017 1.0 369.5 10.87 2827000000.0 4973300000.0 0.13 20.29 1.17 174.48 10.86 37613 goodss-33-G141_37613 1.01778
goodss 30181 2 1 1 1.2637 1.2607 1.2619 1.2645 1.2658 3.1657 1.2974 1.8683 11903000000.0 7790900000.0 0.0 1.2103 2.0 9.69 8.035 7730100000.0 5194000000.0 -1.68 8.96 0.57 834.48 75.61 30181 goodss-09-G141_30181 1.2637
goodss 16887 2 1 1 0.8112 0.8077 0.809 0.8116 0.8127 -99.0 -99.0 2.6463 -99.0 11036000000.0 2.0 0.7899 2.0 -6.792e-06 2.575e-07 9974200000.0 7357100000.0 -1.54 21.99 1.32 252.83 17.59 16887 goodss-28-G141_16887 0.81122
goodss 16154 1 1 1 0.9641 -1.0 -1.0 -1.0 -1.0 9.6672 5.7877 3.8795 53098000000.0 16178000000.0 0.0 0.9641 1.0 103.6 7.146 13366000000.0 10785000000.0 -1.36 19.79 1.39 204.9 15.36 16154 goodss-19-G141_16154 0.97783
goodss 38832 1 1 1 1.327 -1.0 -1.0 -1.0 -1.0 13.325 6.9368 6.388 63641000000.0 26639000000.0 0.0 1.327 1.0 33.41 9.36 26735000000.0 17759000000.0 -1.67 16.91 1.28 423.7 39.82 38832 goodss-23-G141_38832 1.32798
goodss 24457 2 1 1 0.8414 0.8384 0.8397 0.8429 0.8445 30.659 27.654 3.0053 253710000000.0 12533000000.0 0.0 0.8455 2.0 683.2 11.28 5090500000.0 8355100000.0 0.09 46.2 2.12 180.52 9.1 24457 goodss-25-G141_24457 0.84135
goodss 27695 1 1 1 1.045 -1.0 -1.0 -1.0 -1.0 33.389 28.376 5.0132 260330000000.0 20906000000.0 0.0 1.045 1.0 375.8 11.6 16207000000.0 13937000000.0 -1.25 17.73 1.19 149.44 10.55 27695 goodss-25-G141_27695 1.04623
goodss 14341 2 1 1 0.7367 0.734 0.735 0.7371 0.7382 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.7296 2.0 nan 0.0 -99.0 -99.0 -1.83 28.15 1.15 826.8 58.65 14341 goodss-28-G141_14341 0.73672
goodss 33950 2 1 1 1.0401 1.0366 1.0379 1.0406 1.0419 2.5319 1.0975 1.4344 10069000000.0 5981600000.0 0.0 1.053 2.0 14.11 7.06 6758300000.0 3987800000.0 -1.92 10.5 0.75 1032.22 120.57 33950 goodss-17-G141_33950 1.0401
goodss 47214 2 1 1 1.2468 1.2441 1.2453 1.2479 1.249 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.2259 2.0 nan 0.0 -99.0 -99.0 -0.8 37.58 0.7 311.93 6.19 47214 goodss-01-G141_47214 1.24678
goodss 5230 2 1 1 0.9808 0.9779 0.9792 0.9821 0.9835 2.608 0.77169 1.8364 7079700000.0 7657900000.0 0.0 0.914 2.0 16.38 6.673 8944200000.0 5105200000.0 -1.95 7.39 0.69 272.73 28.68 5230 goodss-13-G141_05230 0.9808
goodss 46454 2 1 1 0.7324 0.7277 0.7295 0.7331 0.735 5.9729 3.0705 2.9023 28170000000.0 12103000000.0 0.0 0.7306 2.0 97.27 9.086 11276000000.0 8068700000.0 -1.57 27.96 2.13 207.06 18.06 46454 goodss-11-G141_46454 0.73239
goodss 3712 2 1 1 1.3632 1.3596 1.3609 1.3635 1.3648 23.282 18.756 4.5262 172070000000.0 18875000000.0 0.0 1.357 2.0 82.36 9.687 16047000000.0 12583000000.0 -1.39 20.97 0.68 647.54 33.47 3712 goodss-05-G141_03712 1.36316
goodss 3207 1 1 1 1.088 -1.0 -1.0 -1.0 -1.0 44.561 40.947 3.6138 375660000000.0 15070000000.0 0.0 1.088 1.0 464.0 8.421 8268000000.0 10047000000.0 -0.47 30.77 2.23 202.67 15.08 3207 goodss-13-G141_03207 1.08027
goodss 6566 2 1 1 0.9838 0.979 0.9811 0.9847 0.9867 2.5475 0.66551 1.882 6105600000.0 7848200000.0 0.0 0.9479 2.0 12.62 10.31 9180400000.0 5232200000.0 -1.92 7.97 0.7 922.5 117.7 6566 goodss-26-G141_06566 0.98377
goodss 49129 2 1 1 1.3643 1.3606 1.3619 1.3646 1.3659 -99.0 -99.0 2.3274 -99.0 9705400000.0 2.0 1.3507 2.0 -10.78 7.969 9475800000.0 6470300000.0 -1.65 10.07 0.81 2121.1 570.16 49129 goodss-03-G141_49129 1.36434
goodss 33287 1 1 1 0.955 -1.0 -1.0 -1.0 -1.0 62.24 56.14 6.1 515050000000.0 25438000000.0 0.0 0.955 1.0 1038.0 15.52 24140000000.0 16959000000.0 -1.61 54.92 1.41 256.29 7.3 33287 goodss-17-G141_33287 0.95521
goodss 41704 2 1 1 1.4145 1.4101 1.4121 1.4157 1.4175 15.902 13.188 2.7136 120990000000.0 11316000000.0 0.0 1.3731 2.0 55.56 9.006 7484300000.0 7544200000.0 -0.72 12.23 0.9 670.99 80.24 41704 goodss-23-G141_41704 1.41452
goodss 41796 1 1 1 0.735 -1.0 -1.0 -1.0 -1.0 27.65 26.059 1.5916 239070000000.0 6637100000.0 0.0 0.735 1.0 814.7 13.73 2722600000.0 4424700000.0 -0.07 64.93 3.17 122.01 6.23 41796 goodss-12-G141_41796 0.73499
goodss 11957 2 1 1 1.2255 1.2226 1.2238 1.2262 1.2273 13.512 8.7391 4.7725 80175000000.0 19902000000.0 0.0 1.1958 2.0 68.91 9.532 18939000000.0 13268000000.0 -1.55 29.84 0.81 913.63 35.7 11957 goodss-19-G141_11957 1.22554
