# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 20 3 1 0 2.2108 1.96 2.052 2.305 2.333 6.5028 0.20023 6.3026 1837000000.0 26283000000.0 1.0 2.211 3.0 0.4419 16.18 15225000000.0 17522000000.0 -0.47 -99.0 -99.0 -99.0 -99.0 20 00000 -1.0 1.0
goodss 23 3 1 0 2.3947 2.223 2.242 2.6 2.628 65.177 58.132 7.0452 533320000000.0 29379000000.0 0.0 2.395 3.0 97.43 21.58 28587000000.0 19586000000.0 -1.62 -99.0 -99.0 -99.0 -99.0 23 00000 -1.0 1.0
goodss 72 3 1 0 1.6818 1.441 1.575 1.795 2.031 9.5126 7.9092 1.6034 72562000000.0 6686400000.0 0.0 1.682 3.0 28.09 12.23 4206900000.0 4457600000.0 -0.63 -99.0 -99.0 -99.0 -99.0 72 00000 -1.0 1.0
goodss 76 3 1 0 1.7278 1.552 1.621 1.828 1.897 5.9539 1.3379 4.616 12274000000.0 19250000000.0 1.0 1.728 3.0 4.928 7.82 23420000000.0 12833000000.0 -1.95 -99.0 -99.0 -99.0 -99.0 76 goodss-15-G141_00076 1.8137 1.0
goodss 106 2 1 1 1.4097 1.3877 1.4115 1.6806 1.7409 3.0217 1.8593 1.1624 17058000000.0 4847200000.0 1.0 1.41 2.0 7.281 7.327 4696800000.0 3231500000.0 -1.59 1.75 1.38 187.4 384.46 106 goodss-15-G141_00106 1.40969 1.0
goodss 138 3 1 0 2.1081 1.921 2.002 2.21 2.306 15.01 11.688 3.3225 107230000000.0 13855000000.0 0.0 2.108 3.0 30.14 13.59 11505000000.0 9236900000.0 -1.3 -99.0 -99.0 -99.0 -99.0 138 00000 -1.0 1.0
goodss 185 3 1 0 1.8678 1.292 1.729 2.029 2.115 6.0775 4.4003 1.6772 40369000000.0 6994100000.0 0.0 1.868 3.0 15.87 11.93 7094300000.0 4662800000.0 -1.7 -99.0 -99.0 -99.0 -99.0 185 00000 -1.0 1.0
goodss 309 3 1 0 1.4104 1.162 1.227 1.569 1.87 1.0068 0.44638 0.56043 4095200000.0 2337100000.0 1.0 1.41 3.0 1.748 9.449 2869500000.0 1558000000.0 -1.95 -99.0 -99.0 -99.0 -99.0 309 00000 -1.0 1.0
goodss 310 3 1 0 1.2474 0.983 1.038 1.436 1.623 0.29722 -99.0 0.29722 -99.0 1239400000.0 2.0 1.247 3.0 -12.72 8.947 1419200000.0 826290000.0 -1.86 -99.0 -99.0 -99.0 -99.0 310 00000 -1.0 1.0
goodss 341 3 1 0 1.3908 1.188 1.216 1.424 1.484 287.75 285.08 2.6718 2615400000000.0 11142000000.0 0.0 1.391 3.0 1155.0 49.08 4392500000.0 7428000000.0 0.04 -99.0 -99.0 -99.0 -99.0 341 00000 -1.0 2.0
goodss 349 2 1 1 1.2899 1.2828 1.2914 1.5365 1.7398 2.8899 1.6728 1.217 15347000000.0 5075200000.0 1.0 1.29 2.0 9.198 11.32 5542400000.0 3383500000.0 -1.79 2.72 1.05 306.33 135.58 349 goodss-15-G141_00349 1.28988 1.0
goodss 362 3 1 0 1.6656 1.413 1.528 1.812 1.953 3.5794 3.4598 0.11965 31741000000.0 498940000.0 0.0 1.666 3.0 12.13 9.909 109360000.0 332630000.0 0.75 2.81 0.71 1568.49 1579.41 362 goodss-15-G141_00362 1.2705 2.0
goodss 369 2 1 1 1.7156 1.3709 1.4027 1.7213 1.741 9.7857 9.1834 0.60231 84252000000.0 2511700000.0 0.0 1.716 2.0 33.51 10.85 349550000.0 1674500000.0 1.76 -99.0 -99.0 -99.0 -99.0 369 goodss-15-G141_00369 1.71556 3.0
goodss 388 3 1 0 1.6238 1.399 1.49 1.796 1.886 9.1138 4.5803 4.5335 42021000000.0 18905000000.0 0.0 1.624 3.0 15.61 10.86 20819000000.0 12604000000.0 -1.77 5.98 1.38 566.54 171.47 388 goodss-15-G141_00388 1.35726 1.0
goodss 413 3 1 0 1.4139 1.131 1.304 1.558 1.692 3.2843 2.7062 0.57815 24827000000.0 2411000000.0 1.0 1.414 3.0 10.53 10.72 2376900000.0 1607300000.0 -1.68 1.7 0.71 373.36 212.43 413 goodss-15-G141_00413 1.40488 1.0
goodss 433 3 1 0 1.639 1.515 1.545 1.776 1.822 1.9924 0.46914 1.5233 4304100000.0 6352400000.0 1.0 1.639 3.0 1.612 26.04 1247800000.0 4234900000.0 1.32 -99.0 -99.0 -99.0 -99.0 433 00000 -1.0 3.0
goodss 447 3 1 0 1.6383 1.462 1.526 1.743 1.824 8.9549 6.3782 2.5766 58516000000.0 10745000000.0 0.0 1.638 3.0 21.9 11.17 9355600000.0 7163200000.0 -1.45 0.85 1.08 410.08 1118.96 447 goodss-16-G141_00447 1.50929 1.0
goodss 455 3 1 0 2.3706 2.136 2.238 2.497 2.583 2.9743 0.59197 2.3823 5431000000.0 9934700000.0 1.0 2.371 3.0 1.032 10.9 6772100000.0 6623100000.0 -0.82 -99.0 -99.0 -99.0 -99.0 455 00000 -1.0 1.0
goodss 493 3 1 0 1.2744 1.1 1.131 1.446 1.657 1.0447 -99.0 1.0447 -99.0 4356700000.0 2.0 1.274 3.0 -8.818 10.38 5054300000.0 2904500000.0 -1.88 -99.0 -99.0 -99.0 -99.0 493 goodss-16-G141_00493 1.60518 1.0
goodss 514 3 1 0 0.8962 0.692 0.777 1.037 1.112 0.12178 -99.0 0.12178 -99.0 507840000.0 2.0 0.8962 3.0 -3.993 11.95 435810000.0 338560000.0 -1.43 -99.0 -99.0 -99.0 -99.0 514 00000 -1.0 1.0
goodss 547 3 1 0 1.8535 1.633 1.73 1.975 2.067 3.4758 0.95102 2.5248 8724900000.0 10529000000.0 1.0 1.853 3.0 3.48 19.37 11542000000.0 7019100000.0 -1.8 -99.0 -99.0 -99.0 -99.0 547 goodss-15-G141_00547 1.97725 1.0
goodss 602 3 1 0 1.7705 1.419 1.554 1.964 2.05 2.6696 0.36836 2.3012 3379400000.0 9596400000.0 1.0 1.771 3.0 1.387 7.83 9424800000.0 6397600000.0 -1.61 -99.0 -99.0 -99.0 -99.0 602 00000 -1.0 1.0
goodss 618 3 1 0 1.6765 1.544 1.579 1.793 1.907 7.7887 6.4683 1.3204 59342000000.0 5506300000.0 0.0 1.677 3.0 22.88 8.679 7471400000.0 3670900000.0 -2.22 -99.0 -99.0 -99.0 -99.0 618 00000 -1.0 1.0
