# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 7781 3 1 0 3.20509004593 3.023 3.056 3.159 3.187 7.2482 -99.0 7.2482 -99.0 30226000000.0 2.0 3.106 3.0 -10.26 8.124 34033000000.0 20151000000.0 -1.81 -99.0 -99.0 -99.0 -99.0 7781 goodss-26-G141_07781 3.11032 1.0
goodss 9553 3 1 0 3.41700005531 3.01 3.063 3.205 3.256 4.7816 1.8162 2.9654 16662000000.0 12366000000.0 1.0 3.135 3.0 0.6042 7.512 16446000000.0 8244100000.0 -2.01 -99.0 -99.0 -99.0 -99.0 9553 00000 -1.0 1.0
goodss 9596 3 1 0 3.02670001984 2.677 2.708 2.801 2.812 2.3519 -99.0 2.3519 -99.0 9807800000.0 2.0 2.752 3.0 -18.76 5.539 11750000000.0 6538500000.0 -1.85 -99.0 -99.0 -99.0 -99.0 9596 goodss-10-G141_09596 2.7603 1.0
goodss 11149 3 1 0 3.11173009872 2.753 2.789 2.911 2.956 3.5508 -99.0 3.5508 -99.0 14807000000.0 2.0 2.849 3.0 -0.3464 7.605 17208000000.0 9871500000.0 -1.78 -99.0 -99.0 -99.0 -99.0 11149 goodss-10-G141_11149 2.83627 1.0
goodss 11397 3 1 0 3.11214995384 0.278 2.732 3.065 3.385 0.60827 -99.0 0.60827 -99.0 2536600000.0 2.0 2.914 3.0 -14.81 8.474 3009600000.0 1691100000.0 -1.8 -99.0 -99.0 -99.0 -99.0 11397 00000 -1.0 1.0
goodss 12539 3 1 0 3.36701011658 0.265 0.767 1.273 1.306 0.1742 0.074111 0.10009 679920000.0 417380000.0 1.0 1.286 3.0 0.4138 8.064 495870000.0 278250000.0 -1.9 -99.0 -99.0 -99.0 -99.0 12539 00000 -1.0 1.0
goodss 12704 3 1 0 3.31472992897 2.992 3.053 3.189 3.235 34.744 30.891 3.8535 283400000000.0 16069000000.0 0.0 3.118 3.0 10.72 9.747 19028000000.0 10713000000.0 -1.9 -99.0 -99.0 -99.0 -99.0 12704 goodss-10-G141_12704 3.09596 1.0
goodss 12923 3 1 0 3.42792010307 3.077 3.143 3.319 3.38 90.644 88.476 2.1675 811710000000.0 9038700000.0 0.0 3.23 3.0 23.32 6.994 11799000000.0 6025800000.0 -1.99 -99.0 -99.0 -99.0 -99.0 12923 00000 -1.0 2.0
goodss 13365 3 1 0 3.06338000298 2.633 2.667 2.764 2.794 5.8546 3.884 1.9706 35633000000.0 8217600000.0 1.0 2.711 3.0 3.142 7.046 9833000000.0 5478400000.0 -1.9 -99.0 -99.0 -99.0 -99.0 13365 00000 -1.0 1.0
goodss 13532 3 1 0 3.02401995659 2.603 2.66 2.786 2.825 1.1177 -99.0 1.1177 -99.0 4661100000.0 2.0 2.722 3.0 -3.129 7.155 5063900000.0 3107400000.0 -1.69 -99.0 -99.0 -99.0 -99.0 13532 00000 -1.0 1.0
goodss 13851 3 1 0 3.37630009651 3.092 3.145 3.287 3.333 36.707 34.055 2.6521 312430000000.0 11060000000.0 1.0 3.216 3.0 9.284 11.48 12503000000.0 7373100000.0 -1.82 -99.0 -99.0 -99.0 -99.0 13851 00000 -1.0 1.0
goodss 14540 3 1 0 3.08069992065 0.072 0.228 2.785 2.798 0.80215 0.43517 0.36698 3992400000.0 1530300000.0 1.0 2.811 3.0 0.2845 9.112 1586700000.0 1020200000.0 -1.54 -99.0 -99.0 -99.0 -99.0 14540 00000 -1.0 1.0
goodss 15158 3 1 0 3.39242005348 3.298 3.339 3.469 3.513 6.5563 -99.0 6.5563 -99.0 27341000000.0 2.0 3.403 3.0 -2.981 6.782 27874000000.0 18227000000.0 -1.68 -99.0 -99.0 -99.0 -99.0 15158 goodss-27-G141_15158 3.38417 1.0
goodss 15601 3 1 0 3.27 3.058 3.116 3.252 3.295 3.4071 -99.0 3.4071 -99.0 14208000000.0 2.0 3.185 3.0 -6.541 8.775 15017000000.0 9472200000.0 -1.74 -99.0 -99.0 -99.0 -99.0 15601 goodss-20-G141_15601 -1.0 1.0
goodss 15737 3 1 0 3.37083005905 2.833 2.946 3.261 3.356 0.60534 -99.0 0.60534 -99.0 2524400000.0 2.0 3.109 3.0 -8.52 8.821 3282300000.0 1682900000.0 -1.98 -99.0 -99.0 -99.0 -99.0 15737 00000 -1.0 2.0
goodss 16198 3 1 0 3.13866996765 2.858 2.899 3.049 3.113 126.62 121.93 4.6858 1118600000000.0 19540000000.0 0.0 2.974 3.0 58.83 8.193 19128000000.0 13027000000.0 -1.55 -99.0 -99.0 -99.0 -99.0 16198 goodss-04-G141_16198 2.86902 1.0
goodss 16269 3 1 0 3.31884002686 0.065 2.857 3.073 3.175 10.639 9.2319 1.4066 84697000000.0 5865700000.0 1.0 2.972 3.0 4.472 9.766 5528100000.0 3910400000.0 -1.53 -99.0 -99.0 -99.0 -99.0 16269 00000 -1.0 1.0
goodss 16589 3 1 0 3.20187997818 2.541 2.687 2.981 3.158 0.46321 -99.0 0.46321 -99.0 1931700000.0 2.0 2.831 3.0 -8.554 9.274 2369900000.0 1287800000.0 -1.94 -99.0 -99.0 -99.0 -99.0 16589 00000 -1.0 1.0
goodss 16651 3 1 0 3.04521989822 0.167 0.264 2.666 2.767 3.077 2.5862 0.49079 23726000000.0 2046600000.0 1.0 2.555 3.0 3.08 10.19 2438000000.0 1364400000.0 -1.89 -99.0 -99.0 -99.0 -99.0 16651 00000 -1.0 1.0
goodss 16754 3 1 0 3.0848801136 2.696 2.725 2.841 2.887 17.859 16.578 1.2804 152100000000.0 5339500000.0 0.0 2.783 3.0 11.44 8.669 5990800000.0 3559700000.0 -1.83 -99.0 -99.0 -99.0 -99.0 16754 00000 -1.0 1.0
goodss 17139 3 1 0 3.30315995216 2.891 2.995 3.236 3.295 4.6906 3.7533 0.93728 34434000000.0 3908600000.0 1.0 3.116 3.0 1.309 7.056 5283900000.0 2605700000.0 -2.03 -99.0 -99.0 -99.0 -99.0 17139 00000 -1.0 1.0
