# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 936 2 1 1 3.244 3.2354 3.2389 3.246 3.2494 6888.1 6875.1 13.043 63074000000000.0 54392000000.0 0.0 3.244 2.0 1752.0 17.47 20017000000.0 36261000000.0 0.05 -99.0 -99.0 -99.0 -99.0 936 goodss-16-G141_00936 3.24397
goodss 1523 1 1 1 1.346 -1.0 -1.0 -1.0 -1.0 8.4023 7.57 0.83227 69450000000.0 3470700000.0 0.0 1.346 1.0 34.31 8.6 838470000.0 2313800000.0 0.46 -1.89 0.87 -15.58 7.15 1523 goodss-16-G141_01523 1.34902
goodss 1924 1 1 1 1.089 -1.0 -1.0 -1.0 -1.0 27.867 24.493 3.3739 224710000000.0 14070000000.0 0.0 1.089 1.0 276.6 7.909 3458500000.0 9379700000.0 0.59 14.86 1.33 37.47 3.37 1924 goodss-05-G141_01924 1.09279
goodss 2094 1 1 1 0.964 -1.0 -1.0 -1.0 -1.0 3.2829 0.85668 2.4262 7859500000.0 10118000000.0 0.0 0.964 1.0 15.34 9.37 659380000.0 6745000000.0 3.14 0.03 1.6 0.04 2.24 2094 goodss-05-G141_02094 0.96109
goodss 2272 2 1 1 2.6803 2.6529 2.6631 2.6884 2.698 36.296 29.712 6.5839 272590000000.0 27456000000.0 0.0 2.68 2.0 25.89 7.612 2942800000.0 18304000000.0 2.23 -99.0 -99.0 -99.0 -99.0 2272 goodss-05-G141_02272 2.68032
goodss 2383 2 1 1 1.6222 1.6085 1.6143 1.632 1.641 6.6121 3.9796 2.6325 36510000000.0 10978000000.0 0.0 1.622 2.0 13.55 8.071 2701000000.0 7318700000.0 0.47 -99.0 -99.0 -99.0 -99.0 2383 goodss-14-G141_02383 1.62216
goodss 2467 2 1 1 2.0404 1.9737 2.0135 2.0547 2.075 41.328 35.484 5.8439 325540000000.0 24370000000.0 0.0 2.04 2.0 101.1 10.0 12898000000.0 16247000000.0 -0.4 -99.0 -99.0 -99.0 -99.0 2467 goodss-14-G141_02467 2.04043
goodss 2503 1 1 1 1.519 -1.0 -1.0 -1.0 -1.0 161.67 124.2 37.47 1139500000000.0 156260000000.0 0.0 1.519 1.0 434.6 9.125 32951000000.0 104170000000.0 1.26 -99.0 -99.0 -99.0 -99.0 2503 goodss-05-G141_02503 0.40144
goodss 2546 1 1 1 0.664 -1.0 -1.0 -1.0 -1.0 24.166 21.129 3.0378 193840000000.0 12668000000.0 0.0 0.664 1.0 818.7 7.433 3240000000.0 8445400000.0 0.66 76.15 7.62 40.67 4.08 2546 goodss-14-G141_02546 0.65699
goodss 2707 1 1 1 1.295 -1.0 -1.0 -1.0 -1.0 42.479 40.99 1.489 376060000000.0 6209500000.0 0.0 1.295 1.0 221.1 7.142 1244700000.0 4139700000.0 0.88 0.81 1.51 3.21 6.02 2707 goodss-16-G141_02707 1.17711
