# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR Ha_SCALE number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 1 3 1 0 0.5041 0.482 0.486 0.522 0.526 3.1857 2.7815 0.40419 25518000000.0 1685500000.0 0.0 0.5041 3.0 199.9 10.5 452620000.0 1123700000.0 0.51 -99.0 -99.0 -99.0 -99.0 -99.0 1 00000 -1.0 2.0
goodss 7 3 1 0 2.7561 2.702 2.712 2.801 2.811 38.844 18.44 20.404 169170000000.0 85089000000.0 1.0 2.756 3.0 13.45 13.81 97149000000.0 56726000000.0 -1.68 -99.0 -99.0 -99.0 -99.0 -99.0 7 00000 -1.0 1.0
goodss 18 3 1 -1 2.8895 2.787 2.825 2.956 3.002 97.67 87.532 10.138 803050000000.0 42275000000.0 0.0 2.889 3.0 49.74 11.77 42675000000.0 28184000000.0 -1.54 -99.0 -99.0 -99.0 -99.0 -99.0 18 00000 -1.0 1.0
goodss 19 3 1 0 0.9706 0.801 0.846 1.003 1.024 1.8466 -99.0 1.8466 -99.0 7700500000.0 2.0 0.9706 3.0 -4.892 16.78 6673200000.0 5133600000.0 -1.27 -99.0 -99.0 -99.0 -99.0 -99.0 19 00000 -1.0 1.0
goodss 20 3 1 0 2.2108 1.96 2.052 2.305 2.333 6.5028 0.20023 6.3026 1837000000.0 26283000000.0 1.0 2.211 3.0 0.4419 16.18 15225000000.0 17522000000.0 -0.47 -99.0 -99.0 -99.0 -99.0 -99.0 20 00000 -1.0 1.0
goodss 21 3 1 -1 2.8163 2.728 2.759 2.874 2.915 2.4972 -99.0 2.4972 -99.0 10414000000.0 2.0 2.816 3.0 -6.329 11.77 13647000000.0 6942400000.0 -1.98 -99.0 -99.0 -99.0 -99.0 -99.0 21 00000 -1.0 1.0
goodss 22 3 1 -1 2.6595 2.538 2.598 2.726 2.762 4.0762 -99.0 4.0762 -99.0 16998000000.0 2.0 2.659 3.0 -6.131 13.52 16468000000.0 11332000000.0 -1.64 -99.0 -99.0 -99.0 -99.0 -99.0 22 00000 -1.0 1.0
goodss 23 3 1 0 2.3947 2.223 2.242 2.6 2.628 65.177 58.132 7.0452 533320000000.0 29379000000.0 0.0 2.395 3.0 97.43 21.58 28587000000.0 19586000000.0 -1.62 -99.0 -99.0 -99.0 -99.0 -99.0 23 00000 -1.0 1.0
goodss 27 3 1 -1 2.3431 2.225 2.255 2.449 2.485 8.3815 3.8224 4.5591 35067000000.0 19012000000.0 1.0 2.343 3.0 6.954 13.89 23444000000.0 12675000000.0 -1.94 -99.0 -99.0 -99.0 -99.0 -99.0 27 00000 -1.0 1.0
goodss 31 3 1 0 1.0991 1.06 1.078 1.131 1.139 29.089 23.793 5.296 218280000000.0 22085000000.0 0.0 1.099 3.0 259.7 14.36 15234000000.0 14723000000.0 -1.03 -99.0 -99.0 -99.0 -99.0 -99.0 31 00000 -1.0 1.0
goodss 34 3 1 0 2.8021 2.739 2.752 2.848 2.884 11.062 -99.0 11.062 -99.0 46128000000.0 2.0 2.802 3.0 -70.3 16.64 39397000000.0 30752000000.0 -1.25 -99.0 -99.0 -99.0 -99.0 -99.0 34 00000 -1.0 1.0
goodss 35 3 1 -1 2.8943 2.725 2.797 2.991 3.043 44.331 37.905 6.4258 347750000000.0 26796000000.0 0.0 2.894 3.0 21.34 12.3 26265000000.0 17864000000.0 -1.76 -99.0 -99.0 -99.0 -99.0 -99.0 35 00000 -1.0 1.0
goodss 36 3 1 -1 2.5589 2.47 2.509 2.611 2.627 190.69 185.4 5.2908 1700900000000.0 22064000000.0 0.0 2.559 3.0 218.6 18.32 26520000000.0 14709000000.0 -1.91 -99.0 -99.0 -99.0 -99.0 -99.0 36 00000 -1.0 1.0
goodss 37 3 1 0 2.6669 2.598 2.63 2.722 2.735 35.238 23.307 11.93 213830000000.0 49751000000.0 0.0 2.667 3.0 20.96 8.874 49590000000.0 33167000000.0 -1.57 -99.0 -99.0 -99.0 -99.0 -99.0 37 00000 -1.0 1.0
goodss 39 3 1 0 2.7537 2.583 2.667 2.838 2.881 46.436 31.743 14.693 291220000000.0 61273000000.0 0.0 2.754 3.0 23.25 12.44 49313000000.0 40849000000.0 -1.45 -99.0 -99.0 -99.0 -99.0 -99.0 39 00000 -1.0 1.0
goodss 40 3 1 0 1.3036 1.256 1.276 1.335 1.353 122.88 117.08 5.8008 1074100000000.0 24190000000.0 0.0 1.304 3.0 611.1 13.52 12271000000.0 16127000000.0 -0.41 -99.0 -99.0 -99.0 -99.0 -99.0 40 00000 -1.0 1.0
goodss 42 3 1 -1 2.5908 2.343 2.49 2.698 2.781 53.376 50.204 3.1722 460580000000.0 13229000000.0 0.0 2.591 3.0 54.63 15.93 14528000000.0 8819000000.0 -1.84 -99.0 -99.0 -99.0 -99.0 -99.0 42 00000 -1.0 1.0
goodss 43 3 1 0 0.7164 0.687 0.693 0.737 0.762 0.49299 0.034156 0.45884 313350000.0 1913400000.0 1.0 0.7164 3.0 1.129 7.317 1238000000.0 1275600000.0 -0.55 -99.0 -99.0 -99.0 -99.0 -99.0 43 00000 -1.0 1.0
