# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 27 3 1 0 2.3431 2.225 2.255 2.449 2.485 8.3815 3.8224 4.5591 35067000000.0 19012000000.0 1.0 2.343 3.0 6.954 13.89 23444000000.0 12675000000.0 -1.94 -99.0 -99.0 -99.0 -99.0 27 00000 -1.0 1.0
goodss 48 3 1 0 1.4735 0.773 0.86 1.648 1.778 9.7808 8.4177 1.3631 77227000000.0 5684100000.0 0.0 1.474 3.0 30.52 9.162 5230200000.0 3789400000.0 -1.55 -99.0 -99.0 -99.0 -99.0 48 00000 -1.0 1.0
goodss 62 3 1 0 2.4799 2.254 2.361 2.582 2.622 19.571 17.13 2.4409 157150000000.0 10179000000.0 0.0 2.48 3.0 24.33 16.65 12465000000.0 6785900000.0 -1.93 -99.0 -99.0 -99.0 -99.0 62 00000 -1.0 1.0
goodss 142 3 1 0 1.3011 1.248 1.269 1.872 2.188 51.683 48.641 3.0424 446250000000.0 12687000000.0 0.0 1.301 3.0 256.6 15.41 5157300000.0 8458100000.0 0.06 -99.0 -99.0 -99.0 -99.0 142 00000 -1.0 1.0
goodss 172 3 1 0 1.2725 1.068 1.141 1.385 1.669 1.4851 1.1677 0.31743 10713000000.0 1323700000.0 0.0 1.273 3.0 6.851 6.263 1540900000.0 882490000.0 -1.88 0.64 0.6 2708.85 52061.92 172 goodss-15-G141_00172 1.36553 1.0
goodss 184 3 1 0 1.4855 1.017 1.186 1.836 2.136 0.16411 -99.0 0.16411 -99.0 684370000.0 2.0 1.485 3.0 -6.352 10.12 847740000.0 456250000.0 -1.92 -99.0 -99.0 -99.0 -99.0 184 00000 -1.0 1.0
goodss 237 3 1 0 0.621 0.406 0.482 0.766 1.025 0.3385 0.28848 0.050026 2646600000.0 208620000.0 0.0 0.621 3.0 12.62 11.6 236780000.0 139080000.0 -1.88 -99.0 -99.0 -99.0 -99.0 237 00000 -1.0 1.0
goodss 241 3 1 0 1.2905 1.094 1.165 1.402 1.773 4.9092 3.7573 1.152 34470000000.0 4803900000.0 0.0 1.291 3.0 20.58 12.82 5424900000.0 3202600000.0 -1.85 -99.0 -99.0 -99.0 -99.0 241 00000 -1.0 1.0
goodss 253 3 1 0 0.9902 0.685 0.807 1.173 1.313 0.0937 -99.0 0.0937 -99.0 390740000.0 2.0 0.9902 3.0 -9.072 11.16 456540000.0 260500000.0 -1.91 -99.0 -99.0 -99.0 -99.0 253 00000 -1.0 1.0
goodss 285 3 1 0 0.7501 0.701 0.722 0.779 0.793 1.0481 0.70125 0.34683 6433500000.0 1446300000.0 0.0 0.7501 3.0 20.98 11.8 1664500000.0 964210000.0 -1.94 13.51 5.24 1600.72 881.49 285 goodss-15-G141_00285 0.71601 1.0
goodss 294 3 1 0 1.0488 0.98 1.012 1.089 1.13 0.34664 -99.0 0.34664 -99.0 1445500000.0 2.0 1.049 3.0 -6.802 11.36 1622200000.0 963690000.0 -1.83 -99.0 -99.0 -99.0 -99.0 294 00000 -1.0 1.0
goodss 297 3 1 0 1.3356 1.214 1.275 1.399 1.469 2.5504 2.4791 0.071316 22744000000.0 297400000.0 0.0 1.336 3.0 11.58 10.33 347290000.0 198260000.0 -1.89 -99.0 -99.0 -99.0 -99.0 297 00000 -1.0 2.0
goodss 312 3 1 0 1.5327 1.109 1.242 1.845 2.377 7.8887 7.3697 0.51897 67612000000.0 2164200000.0 0.0 1.533 3.0 25.54 11.46 1885000000.0 1442800000.0 -1.38 -99.0 -99.0 -99.0 -99.0 312 00000 -1.0 1.0
goodss 327 3 1 0 0.8432 0.676 0.744 0.919 0.996 0.3968 0.30666 0.090135 2813400000.0 375880000.0 1.0 0.8432 3.0 7.598 9.112 406070000.0 250580000.0 -1.75 1.98 0.72 5.539351337482206e+119 inf 327 goodss-15-G141_00327 0.89269 1.0
