# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 42811 1 0 0 2.5849 -1.0 -1.0 -1.0 -1.0 13.755 -99.0 13.755 -99.0 57361000000.0 2.0 2.585 1.0 -2.671 10.08 59266000000.0 38241000000.0 -1.62 -99.0 -99.0 -99.0 -99.0 42811 goodss-11-G141_42811 -1.0 1.0
goodss 40218 2 1 1 2.447 2.4384 2.4435 2.4562 2.4639 26.042 12.769 13.273 117150000000.0 55351000000.0 0.0 2.447 2.0 19.41 8.682 53408000000.0 36900000000.0 -1.53 -99.0 -99.0 -99.0 -99.0 40218 goodss-11-G141_40218 2.44699 1.0
goodss 39713 3 1 0 2.189 2.099 2.135 2.243 2.276 5.3358 -99.0 5.3358 -99.0 22251000000.0 2.0 2.189 3.0 -18.46 9.347 24146000000.0 14834000000.0 -1.81 -99.0 -99.0 -99.0 -99.0 39713 goodss-11-G141_39713 2.18356 1.0
goodss 45531 1 1 1 2.3129 -1.0 -1.0 -1.0 -1.0 15.88 6.1357 9.7439 56291000000.0 40633000000.0 0.0 2.313 1.0 11.65 9.191 45207000000.0 27089000000.0 -1.84 -99.0 -99.0 -99.0 -99.0 45531 goodss-03-G141_45531 2.31183 1.0
goodss 42809 3 1 0 2.2206 2.129 2.17 2.271 2.305 5.2315 -99.0 5.2315 -99.0 21816000000.0 2.0 2.221 3.0 -3.388 8.917 24722000000.0 14544000000.0 -1.87 -99.0 -99.0 -99.0 -99.0 42809 goodss-11-G141_42809 2.23976 1.0
goodss 46938 2 1 1 2.3334 2.3284 2.3302 2.3342 2.3363 51.296 29.449 21.848 270170000000.0 91108000000.0 0.0 2.333 2.0 54.37 11.56 98963000000.0 60739000000.0 -1.74 -99.0 -99.0 -99.0 -99.0 46938 goodss-03-G141_46938 2.33342 1.0
goodss 38559 3 1 0 2.278 2.221 2.234 2.317 2.35 19.925 11.786 8.1387 108130000000.0 33939000000.0 0.0 2.278 3.0 23.5 9.317 28598000000.0 22626000000.0 -1.32 -99.0 -99.0 -99.0 -99.0 38559 00000 -1.0 1.0
goodss 42363 2 1 1 2.144 2.1395 2.1413 2.1451 2.1471 71.703 59.229 12.474 543390000000.0 52019000000.0 0.0 2.144 2.0 144.8 11.82 38703000000.0 34679000000.0 -1.02 -99.0 -99.0 -99.0 -99.0 42363 goodss-35-G141_42363 -1.0 1.0
goodss 35705 3 1 0 2.2937 2.222 2.243 2.344 2.382 17.979 13.301 4.6779 122030000000.0 19507000000.0 0.0 2.294 3.0 25.92 13.85 16136000000.0 13005000000.0 -1.33 -99.0 -99.0 -99.0 -99.0 35705 goodss-17-G141_35705 2.3168 1.0
goodss 41218 2 1 1 2.3019 2.2959 2.2987 2.3042 2.3066 16.826 7.8341 8.9919 71872000000.0 37497000000.0 0.0 2.302 2.0 15.1 6.799 35986000000.0 24998000000.0 -1.54 -99.0 -99.0 -99.0 -99.0 41218 goodss-30-G141_41218 2.30191 1.0
goodss 39198 3 1 0 2.3715 2.246 2.292 2.452 2.505 6.4458 -99.0 6.4458 -99.0 26880000000.0 2.0 2.371 3.0 -12.01 6.26 31006000000.0 17920000000.0 -1.85 -99.0 -99.0 -99.0 -99.0 39198 goodss-12-G141_39198 2.48337 1.0
goodss 40679 2 1 1 2.4144 2.3045 2.3522 2.4297 2.4528 141.21 133.84 7.3696 1227900000000.0 30732000000.0 0.0 2.414 2.0 216.7 7.387 19970000000.0 20488000000.0 -0.71 -99.0 -99.0 -99.0 -99.0 40679 goodss-12-G141_40679 2.41439 1.0
goodss 29868 2 1 1 2.222 2.2123 2.2169 2.2252 2.2304 111.96 93.996 17.968 862350000000.0 74927000000.0 0.0 2.222 2.0 203.9 38.67 68825000000.0 49951000000.0 -1.45 -99.0 -99.0 -99.0 -99.0 29868 goodss-32-G141_29868 2.22199 1.0
goodss 29532 3 1 0 1.4743 1.192 1.27 1.643 1.707 4.1257 2.5744 1.5513 23619000000.0 6469300000.0 0.0 1.474 3.0 9.334 9.178 7849100000.0 4312800000.0 -1.95 -99.0 -99.0 -99.0 -99.0 29532 goodss-17-G141_29532 -1.0 1.0
goodss 31070 3 1 0 2.3216 2.194 2.248 2.391 2.436 4.3271 -99.0 4.3271 -99.0 18044000000.0 2.0 2.322 3.0 -1.522 7.698 18766000000.0 12030000000.0 -1.71 -99.0 -99.0 -99.0 -99.0 31070 goodss-17-G141_31070 2.30356 1.0
goodss 26974 2 1 1 2.4401 2.4051 2.424 2.459 2.4764 40.909 10.469 30.439 96049000000.0 126940000000.0 0.0 2.44 2.0 16.14 8.805 143620000000.0 84624000000.0 -1.84 -99.0 -99.0 -99.0 -99.0 26974 goodss-09-G141_26974 2.4401 1.0
goodss 33036 2 1 1 2.3118 2.3076 2.3093 2.313 2.3149 15.212 4.1061 11.106 37671000000.0 46315000000.0 1.0 2.312 2.0 7.807 8.269 55526000000.0 30877000000.0 -1.92 -99.0 -99.0 -99.0 -99.0 33036 goodss-17-G141_33036 2.31183 1.0
goodss 34810 2 1 1 2.2349 2.2311 2.2329 2.2367 2.2387 35.683 23.487 12.196 215480000000.0 50858000000.0 0.0 2.235 2.0 49.94 10.76 36951000000.0 33906000000.0 -0.95 -99.0 -99.0 -99.0 -99.0 34810 goodss-17-G141_34810 2.23491 1.0
goodss 31531 3 1 0 2.5548 2.486 2.505 2.608 2.631 18.675 13.006 5.6681 119330000000.0 23637000000.0 0.0 2.555 3.0 15.49 8.253 22423000000.0 15758000000.0 -1.51 -99.0 -99.0 -99.0 -99.0 31531 goodss-09-G141_31531 2.56442 1.0
