# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
uds 19705 2 1 1 0.834 0.8067 0.8221 0.8398 0.8478 0.30036 -99.0 0.30036 -99.0 1252500000.0 2.0 0.834 2.0 -12.9 17.98 148590000.0 835020000.0 2.25 0.58 1.15 3.63 7.15 19705 uds-02-G141_19705 0.834
uds 40800 3 1 0 0.639 0.574 0.594 0.686 0.719 0.17193 -99.0 0.17193 -99.0 716960000.0 2.0 0.639 3.0 -20.87 15.57 149260000.0 477970000.0 0.91 -0.52 1.14 -3.18 6.91 40800 uds-05-G141_40800 0.82485
uds 35257 2 1 1 0.8276 0.8115 0.8201 0.8311 0.8386 0.15978 -99.0 0.15978 -99.0 666320000.0 2.0 0.8276 2.0 -23.42 22.48 300350000.0 444210000.0 -0.43 -99.0 -99.0 -99.0 -99.0 35257 uds-25-G141_35257 0.82759
uds 21010 3 1 0 0.9728 0.938 0.946 0.997 1.016 0.92718 0.63582 0.29135 5833200000.0 1215000000.0 1.0 0.9728 3.0 11.03 30.97 308340000.0 809990000.0 0.36 -99.0 -99.0 -99.0 -99.0 21010 00000 -1.0
uds 24607 2 1 1 0.6331 0.6261 0.6293 0.6362 0.6395 0.25593 -99.0 0.25593 -99.0 1067300000.0 2.0 0.6331 2.0 -2.604 23.36 46269000.0 711520000.0 3.53 3.61 6.04 9.31 15.58 24607 uds-02-G141_24607 0.63313
uds 40856 3 1 0 0.5646 0.53 0.544 0.586 0.604 0.41712 0.069089 0.34803 633840000.0 1451300000.0 1.0 0.5646 3.0 3.719 22.51 247260000.0 967550000.0 0.99 -99.0 -99.0 -99.0 -99.0 40856 00000 -1.0
uds 30207 2 1 1 0.9155 0.9079 0.9103 0.9162 0.9184 0.40624 -99.0 0.40624 -99.0 1694100000.0 2.0 0.9155 2.0 -24.64 21.95 453200000.0 1129400000.0 0.26 3.34 1.0 16.13 4.82 30207 uds-27-G141_30207 0.91554
uds 7741 2 1 1 0.6315 0.6249 0.6278 0.6334 0.636 1.1113 0.36683 0.74444 3365400000.0 3104400000.0 1.0 0.6315 2.0 15.57 26.97 176090000.0 2069600000.0 3.12 30.68 21.74 26.8 18.97 7741 uds-14-G141_07741 0.6315
uds 16074 3 1 0 0.6399 0.592 0.609 0.671 0.693 1.4393 0.027978 1.4113 256680000.0 5885300000.0 1.0 0.6399 3.0 1.16 29.37 1354800000.0 3923500000.0 0.38 -10.84 1.51 -6.75 0.94 16074 uds-15-G141_16074 0.78069
uds 28465 2 1 1 0.5762 0.5358 0.5557 0.6156 0.647 0.99461 0.68681 0.3078 6301000000.0 1283600000.0 0.0 0.5762 2.0 35.12 29.56 39664000.0 855710000.0 4.86 -99.0 -99.0 -99.0 -99.0 28465 uds-20-G141_28465 0.57617
