# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj RAdeg DEdeg z_bez Re n logM sigmaA e_sigmaA sigmaRe e_sigmaRe Exp
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
uds 15838 1 1 1 0.6446 -1.0 -1.0 -1.0 -1.0 7.8811 6.5469 1.3342 60063000000.0 5563700000.0 0.0 1.0 267.9 21.08 2579400000.0 3709100000.0 -0.41 -4.19 1.61 -5.46 2.09 15838 uds-07-G141_15838 0.78872 2.0 34.387 -5.225 0.645 3.6 2.5 10.83 171 7 171 7 27600
uds 15857 1 1 1 0.647 -1.0 -1.0 -1.0 -1.0 2.622 0.72871 1.8933 6685400000.0 7895400000.0 0.0 1.0 29.62 23.21 1687300000.0 5263600000.0 0.41 21.26 7.3 14.69 5.05 15857 uds-17-G141_15857 0.64707 3.0 34.397 -5.225 0.648 2.7 3.6 10.84 233 6 237 6 27600
uds 18070 1 1 1 0.646 -1.0 -1.0 -1.0 -1.0 0.64266 -99.0 0.64266 -99.0 2680000000.0 2.0 1.0 -6.683 19.03 173440000.0 1786600000.0 2.94 1.29 3.33 1.97 5.08 18070 uds-17-G141_18070 0.64214 3.0 34.412 -5.218 0.646 2.2 3.9 10.7 237 8 244 9 27600
uds 18619 1 1 1 0.6494 -1.0 -1.0 -1.0 -1.0 1.2618 -99.0 1.2618 -99.0 5261800000.0 2.0 1.0 -0.1943 24.0 1173100000.0 3507800000.0 0.45 12.64 9.47 10.19 7.64 18619 uds-07-G141_18619 0.64543 3.0 34.371 -5.217 0.648 3.2 2.8 10.83 236 7 237 7 27600
uds 19166 1 1 1 0.6398 -1.0 -1.0 -1.0 -1.0 0.36257 -99.0 0.36257 -99.0 1512000000.0 2.0 1.0 -46.85 21.38 310490000.0 1008000000.0 0.83 5.77 7.49 22.95 29.89 19166 uds-07-G141_19166 0.63068 3.0 34.378 -5.214 0.64 1.1 3.8 10.2 166 9 179 10 27600
uds 22928 2 1 1 0.9223 0.9194 0.9207 0.9234 0.9248 7.7442 5.3537 2.3905 49117000000.0 9968700000.0 0.0 2.0 110.6 17.79 4771800000.0 6645800000.0 -0.29 11.3 1.25 46.21 5.18 22928 uds-06-G141_22928 0.92226 2.0 34.368 -5.201 0.923 1.9 3.8 10.45 133 15 139 16 27600
uds 22864 1 1 0 0.6437 -1.0 -1.0 -1.0 -1.0 3.4877 2.7984 0.68923 25674000000.0 2874200000.0 1.0 1.0 114.8 157.2 1221800000.0 1916100000.0 -0.25 0.75 3.18 2.88 12.18 22864 uds-27-G141_22864 0.63968 2.0 34.258 -5.201 0.644 1.9 1.5 10.1 138 14 144 15 27600
uds 22860 1 1 1 0.693 -1.0 -1.0 -1.0 -1.0 2.4856 0.89188 1.5937 8182400000.0 6646000000.0 0.0 1.0 31.76 20.23 569100000.0 4430600000.0 2.65 0.22 1.75 0.22 1.73 22860 uds-17-G141_22860 0.69215 3.0 34.39 -5.201 0.694 2.9 5.6 10.88 214 6 217 6 27600
uds 27474 1 1 1 0.6496 -1.0 -1.0 -1.0 -1.0 0.72148 0.35214 0.36933 3230700000.0 1540200000.0 1.0 1.0 14.21 32.93 334180000.0 1026800000.0 0.65 0.91 2.57 2.84 8.05 27474 uds-13-G141_27474 0.64872 3.0 34.337 -5.186 0.65 0.6 3.4 10.36 197 11 221 12 27600
uds 27272 3 1 0 2.939 2.48 2.745 3.138 3.326 2.5374 -99.0 2.5374 -99.0 10581000000.0 2.0 3.0 -0.9445 28.11 11341000000.0 7054200000.0 -1.81 -99.0 -99.0 -99.0 -99.0 27272 uds-24-G141_27272 2.88841 1.0 34.401 -5.184 0.496 1.1 4.1 10.13 185 10 198 11 27600
uds 29145 1 1 1 0.6699 -1.0 -1.0 -1.0 -1.0 6.324 5.4686 0.85548 50170000000.0 3567500000.0 0.0 1.0 208.4 22.02 2476200000.0 2378300000.0 -1.13 0.36 1.68 0.94 4.45 29145 uds-19-G141_29145 0.80941 2.0 34.312 -5.18 0.669 2.9 2.9 10.41 137 18 138 18 27600
uds 29107 1 1 1 0.8207 -1.0 -1.0 -1.0 -1.0 0.37021 -99.0 0.37021 -99.0 1543800000.0 2.0 1.0 -18.41 20.42 240610000.0 1029200000.0 1.63 1.53 1.07 11.68 8.22 29107 uds-20-G141_29107 0.82212 3.0 34.233 -5.179 0.82 0.6 1.9 10.07 152 18 172 20 27600
uds 30815 1 1 0 0.6274 -1.0 -1.0 -1.0 -1.0 0.55966 -99.0 0.55966 -99.0 2333900000.0 2.0 1.0 -40.51 28.88 124370000.0 1555900000.0 3.02 2.29 5.03 5.19 11.36 30815 uds-20-G141_30815 0.62824 3.0 34.245 -5.175 0.627 2.0 5.2 10.37 139 5 144 5 27600
uds 30671 2 1 1 0.9184 0.9122 0.916 0.9203 0.9252 3.7161 2.6736 1.0426 24528000000.0 4347600000.0 0.0 2.0 55.94 28.31 1448600000.0 2898400000.0 0.01 4.56 0.98 27.22 5.89 30671 uds-27-G141_30671 0.91842 3.0 34.274 -5.175 0.912 1.0 5.2 10.31 197 16 215 18 27600
