# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
uds 25164 2 1 1 1.4145 1.411 1.4126 1.416 1.4177 -99.0 -99.0 4.3331 -99.0 18069000000.0 2.0 1.3906 2.0 -4.988 22.08 18264000000.0 12046000000.0 -1.71 7.62 0.72 351.92 38.27 25164 uds-02-G141_25164 1.41452
uds 5860 2 1 1 1.2023 1.1992 1.2004 1.2028 1.204 42.056 41.075 0.98166 376830000000.0 4093700000.0 0.0 1.2302 2.0 284.0 23.01 1218000000.0 2729100000.0 0.53 14.78 0.62 231.08 10.89 5860 uds-10-G141_05860 1.2023
uds 12647 2 1 1 0.9329 0.9297 0.931 0.9333 0.9343 7.2285 5.5972 1.6313 51351000000.0 6802700000.0 0.0 0.9577 2.0 102.5 27.83 7309400000.0 4535100000.0 -1.85 18.25 1.0 539.15 37.43 12647 uds-22-G141_12647 0.93286
uds 6408 2 1 1 1.4169 1.4132 1.4148 1.4184 1.4203 -99.0 -99.0 11.976 -99.0 49940000000.0 2.0 1.5121 2.0 -15.3 18.46 57398000000.0 33293000000.0 -1.88 16.35 1.18 478.26 46.61 6408 uds-22-G141_06408 1.41693
uds 13087 2 1 1 1.4097 1.4063 1.4078 1.4109 1.4122 98.15 97.003 1.1462 889940000000.0 4779900000.0 0.0 1.5444 2.0 333.8 24.6 1018600000.0 3186600000.0 0.8 19.34 0.96 365.81 23.89 13087 uds-09-G141_13087 1.40969
uds 35051 2 1 1 1.0897 1.0849 1.0867 1.0901 1.0915 29.818 28.101 1.717 257810000000.0 7160100000.0 0.0 1.1569 2.0 254.4 18.41 3302800000.0 4773400000.0 -0.39 11.77 0.89 132.18 10.49 35051 uds-05-G141_35051 1.08966
uds 24392 2 1 1 0.9445 0.9414 0.9426 0.9453 0.9465 11.375 5.0525 6.3223 46353000000.0 26365000000.0 0.0 0.9754 2.0 86.81 32.45 30241000000.0 17577000000.0 -1.91 25.96 1.5 405.42 27.66 24392 uds-19-G141_24392 0.94449
uds 15142 2 1 1 1.4169 1.4121 1.4147 1.4229 1.4256 98.526 94.457 4.0694 866580000000.0 16970000000.0 0.0 1.3987 2.0 377.0 22.08 9867400000.0 11313000000.0 -0.58 24.91 1.67 241.41 18.96 15142 uds-09-G141_15142 1.41693
uds 13087 2 1 1 1.4097 1.4063 1.4078 1.4109 1.4122 98.15 97.003 1.1462 889940000000.0 4779900000.0 0.0 1.5444 2.0 333.8 24.6 1018600000.0 3186600000.0 0.8 19.34 0.96 365.81 23.89 13087 uds-09-G141_13087 1.40969
uds 29978 2 1 1 1.2626 1.2597 1.2609 1.2636 1.2651 12.937 6.7814 6.1553 62215000000.0 25669000000.0 0.0 1.298 2.0 36.16 23.49 29752000000.0 17112000000.0 -1.9 18.86 0.71 855.33 50.37 29978 uds-19-G141_29978 1.26257
uds 9926 2 1 1 1.5269 1.5232 1.5248 1.5283 1.5301 8.3825 5.0214 3.3611 46068000000.0 14016000000.0 1.0 1.4812 2.0 18.1 18.56 10194000000.0 9344100000.0 -1.16 12.42 0.67 484.41 36.09 9926 uds-14-G141_09926 1.52692
uds 38248 2 1 1 0.7656 0.7599 0.7627 0.7677 0.7701 15.478 9.3829 6.0952 86082000000.0 25418000000.0 0.0 0.7774 2.0 260.6 22.8 28875000000.0 16945000000.0 -1.89 58.03 5.03 153.94 14.02 38248 uds-05-G141_38248 0.76562
uds 30255 2 1 1 1.2876 1.2829 1.2849 1.2897 1.2918 87.415 86.177 1.2387 790610000000.0 5165400000.0 0.0 1.409 2.0 338.0 19.53 450700000.0 3443600000.0 2.71 17.08 1.28 152.58 12.08 30255 uds-24-G141_30255 1.28759
uds 18816 2 1 1 1.3467 1.3419 1.344 1.3486 1.3506 15.296 12.81 2.4856 117520000000.0 10365000000.0 0.0 1.2717 2.0 75.53 18.5 9350000000.0 6910200000.0 -1.62 12.09 1.14 172.03 17.55 18816 uds-06-G141_18816 1.34668
uds 17803 2 1 1 1.362 1.3587 1.3602 1.3633 1.365 6.7414 2.6835 4.0579 24620000000.0 16922000000.0 1.0 1.3684 2.0 11.44 20.7 19250000000.0 11281000000.0 -1.87 8.0 0.71 540.78 85.85 17803 uds-27-G141_17803 1.36198
uds 40002 2 1 1 1.5244 1.5207 1.5224 1.5263 1.5281 -99.0 -99.0 3.7097 -99.0 15470000000.0 2.0 1.5037 2.0 -8.365 27.04 17174000000.0 10313000000.0 -1.85 11.17 1.06 1945.05 568.91 40002 uds-05-G141_40002 1.52439
uds 24895 2 1 1 1.0824 1.0785 1.0801 1.0834 1.0852 4.15 1.4277 2.7223 13098000000.0 11352000000.0 1.0 1.0977 2.0 15.65 16.5 13231000000.0 7568200000.0 -1.93 9.58 0.82 564.52 59.34 24895 uds-19-G141_24895 1.08236
uds 27960 2 1 1 0.9897 0.9818 0.984 0.9907 0.9922 30.315 26.134 4.181 239760000000.0 17435000000.0 0.0 0.9929 2.0 420.9 51.37 16049000000.0 11624000000.0 -1.55 28.08 1.8 131.67 8.86 27960 uds-01-G141_27960 0.98973
uds 16766 2 1 1 0.7446 0.7415 0.7427 0.7452 0.7465 5.6581 2.3784 3.2796 21821000000.0 13677000000.0 0.0 0.7484 2.0 71.51 23.22 13853000000.0 9117700000.0 -1.77 25.75 1.82 193.31 15.41 16766 uds-17-G141_16766 0.74456
uds 34593 2 1 1 1.0158 1.0123 1.0141 1.0187 1.0211 24.721 23.353 1.3678 214250000000.0 5703800000.0 0.0 1.0062 2.0 357.7 27.66 3075000000.0 3802500000.0 -0.48 14.76 1.26 169.53 15.27 34593 uds-23-G141_34593 1.01577
uds 10340 2 1 1 1.097 1.0921 1.0942 1.0978 1.0998 11.697 8.8214 2.8757 80930000000.0 11992000000.0 0.0 1.0289 2.0 124.1 26.36 9155700000.0 7994600000.0 -1.21 16.57 1.54 167.79 15.96 10340 uds-12-G141_10340 1.09698
uds 9058 2 1 1 0.8636 0.8602 0.8618 0.8647 0.866 6.2689 4.145 2.1239 38028000000.0 8856900000.0 0.0 0.8769 2.0 97.0 21.6 9179500000.0 5904600000.0 -1.79 13.02 1.04 209.55 18.23 9058 uds-03-G141_09058 0.86358
uds 8690 2 1 1 1.0844 1.08 1.0821 1.0864 1.0885 23.017 22.018 0.99899 202000000000.0 4165900000.0 0.0 1.0643 2.0 271.5 27.16 1539200000.0 2777300000.0 0.07 11.75 1.13 173.01 17.41 8690 uds-12-G141_08690 1.08444
uds 10965 2 1 1 1.0586 1.0555 1.057 1.0604 1.0621 17.976 14.769 3.207 135500000000.0 13374000000.0 0.0 1.0211 2.0 213.8 34.48 12471000000.0 8915900000.0 -1.63 22.97 1.36 220.33 13.69 10965 uds-03-G141_10965 1.05855
uds 34086 2 1 1 1.5181 1.5131 1.5151 1.519 1.5211 9.326 8.7347 0.59129 80135000000.0 2465700000.0 0.0 0.9759 2.0 149.8 23.01 2735700000.0 1643800000.0 -1.86 9.5 0.93 863.51 161.74 34086 uds-01-G141_34086 1.51809
uds 14757 2 1 1 1.4254 1.4213 1.4228 1.4258 1.4274 68.502 62.548 5.9538 573830000000.0 24828000000.0 0.0 1.424 2.0 239.6 22.6 12103000000.0 16552000000.0 -0.41 28.69 1.37 255.69 14.38 14757 uds-28-G141_14757 1.42541
uds 28119 1 1 1 1.3641 -1.0 -1.0 -1.0 -1.0 32.926 28.774 4.152 263980000000.0 17314000000.0 0.0 1.3641 1.0 124.0 31.08 10607000000.0 11543000000.0 -0.58 16.51 1.29 262.26 23.44 28119 uds-24-G141_28119 1.36553
uds 29907 2 1 1 0.8258 0.8232 0.8244 0.8268 0.8281 2.6113 0.84664 1.7646 7767300000.0 7358700000.0 0.0 0.7906 2.0 22.8 18.96 7457700000.0 4905800000.0 -1.72 21.58 1.58 608.34 63.76 29907 uds-13-G141_29907 0.82577
uds 18145 2 1 1 0.8203 0.8176 0.8188 0.8217 0.8229 9.5283 3.6679 5.8604 33650000000.0 24439000000.0 0.0 0.8573 2.0 89.29 22.03 27512000000.0 16293000000.0 -1.85 22.43 1.36 189.27 13.01 18145 uds-17-G141_18145 0.8203
uds 8115 2 1 1 1.0689 1.0663 1.0675 1.0701 1.0716 27.823 22.007 5.8165 201900000000.0 24256000000.0 0.0 1.0495 2.0 286.6 25.54 22444000000.0 16170000000.0 -1.58 32.59 1.16 335.2 13.21 8115 uds-14-G141_08115 1.06886
uds 13857 2 1 1 1.2762 1.2719 1.2736 1.2773 1.2793 36.575 35.231 1.3435 323220000000.0 5602800000.0 0.0 1.2485 2.0 226.9 18.74 4042400000.0 3735200000.0 -1.23 16.14 1.25 227.62 18.48 13857 uds-03-G141_13857 1.27618
uds 10372 2 1 1 1.3715 1.3679 1.3692 1.3719 1.3732 24.048 16.519 7.5285 151550000000.0 31395000000.0 0.0 1.388 2.0 67.32 20.27 34765000000.0 20930000000.0 -1.88 21.39 0.92 618.07 39.44 10372 uds-10-G141_10372 1.37145
uds 31936 2 1 1 1.0855 1.0805 1.0825 1.0865 1.0883 5.2451 2.7205 2.5246 24959000000.0 10528000000.0 1.0 1.0835 2.0 31.31 32.42 10070000000.0 7018700000.0 -1.6 11.7 1.09 255.73 25.35 31936 uds-26-G141_31936 1.08548
uds 10214 2 1 1 0.9165 0.9134 0.9147 0.9173 0.9184 50.279 48.543 1.736 445350000000.0 7239200000.0 0.0 0.9177 2.0 1018.0 23.42 5188300000.0 4826100000.0 -1.24 15.02 1.39 69.35 6.61 10214 uds-09-G141_10214 0.9165
uds 19754 1 1 1 1.4671 -1.0 -1.0 -1.0 -1.0 9.3496 3.8143 5.5354 34993000000.0 23083000000.0 1.0 1.4671 1.0 13.91 57.62 24048000000.0 15389000000.0 -1.82 23.34 0.94 1314.61 119.56 19754 uds-17-G141_19754 1.45714
uds 30255 2 1 1 1.2876 1.2829 1.2849 1.2897 1.2918 87.415 86.177 1.2387 790610000000.0 5165400000.0 0.0 1.409 2.0 338.0 19.53 450700000.0 3443600000.0 2.71 17.08 1.28 152.58 12.08 30255 uds-24-G141_30255 1.28759
uds 29510 2 1 1 1.0949 1.0919 1.0933 1.0961 1.0976 5.2124 4.2197 0.9927 38713000000.0 4139700000.0 0.0 1.0594 2.0 52.98 19.72 4071100000.0 2759800000.0 -1.73 7.58 0.65 608.84 63.56 29510 uds-19-G141_29510 1.09489
uds 10121 2 1 1 1.3845 1.3778 1.3808 1.386 1.3883 25.405 18.717 6.6875 171720000000.0 27888000000.0 0.0 1.3649 2.0 80.5 22.64 27089000000.0 18592000000.0 -1.7 18.31 1.17 287.38 22.24 10121 uds-22-G141_10121 1.38453
uds 41152 2 1 1 0.7594 0.7567 0.758 0.7606 0.7621 -99.0 -99.0 2.0176 -99.0 8413800000.0 2.0 1.0763 2.0 -21.48 15.5 9067900000.0 5609200000.0 -1.82 12.1 1.19 591.47 88.96 41152 uds-25-G141_41152 0.75945
uds 21474 2 1 1 1.2457 1.2405 1.2433 1.2479 1.2501 16.454 10.355 6.0993 95000000000.0 25435000000.0 0.0 1.4192 2.0 39.96 17.04 24955000000.0 16957000000.0 -1.63 14.69 1.29 477.52 49.98 21474 uds-17-G141_21474 1.24566
