# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
uds 38 3 1 0 1.1702 0.878 1.01 1.335 1.46 0.95162 0.5496 0.40203 5042200000.0 1676500000.0 1.0 1.17 3.0 4.756 21.83 1866500000.0 1117700000.0 -1.84 -99.0 -99.0 -99.0 -99.0 38 00000 -1.0 1.0
uds 78 3 1 0 1.9233 1.696 1.802 2.048 2.143 2.8018 -99.0 2.8018 -99.0 11684000000.0 2.0 1.923 3.0 -8.975 27.97 9598900000.0 7789100000.0 -1.32 -99.0 -99.0 -99.0 -99.0 78 00000 -1.0 1.0
uds 93 3 1 0 1.4394 0.988 1.309 1.579 1.778 3.9236 3.2987 0.62483 30264000000.0 2605600000.0 1.0 1.439 3.0 12.42 23.11 2173800000.0 1737100000.0 -1.36 -99.0 -99.0 -99.0 -99.0 93 00000 -1.0 1.0
uds 98 3 1 0 0.6 0.208 0.463 0.742 0.82 0.4321 0.38688 0.04522 3549400000.0 188570000.0 1.0 0.6 3.0 18.08 21.98 201910000.0 125710000.0 -1.8 -99.0 -99.0 -99.0 -99.0 98 00000 -1.0 1.0
uds 105 3 1 0 1.7417 1.461 1.632 1.853 1.981 1.5216 -99.0 1.5216 -99.0 6345300000.0 2.0 1.742 3.0 -16.51 17.85 7009600000.0 4230200000.0 -1.84 -99.0 -99.0 -99.0 -99.0 105 00000 -1.0 1.0
uds 118 3 1 0 1.5406 1.337 1.423 1.67 1.832 6.3548 4.8812 1.4737 44781000000.0 6145500000.0 0.0 1.541 3.0 16.83 11.84 6883000000.0 4097000000.0 -1.86 -99.0 -99.0 -99.0 -99.0 118 00000 -1.0 1.0
uds 124 3 1 0 2.2261 2.003 2.099 2.352 2.43 7.8308 3.0669 4.7639 28137000000.0 19866000000.0 1.0 2.226 3.0 6.612 31.48 13117000000.0 13244000000.0 -0.63 -99.0 -99.0 -99.0 -99.0 124 00000 -1.0 1.0
uds 136 3 1 0 1.6856 1.47 1.585 1.79 1.879 2.5863 -99.0 2.5863 -99.0 10785000000.0 2.0 1.686 3.0 -37.51 29.59 11178000000.0 7190000000.0 -1.77 -99.0 -99.0 -99.0 -99.0 136 00000 -1.0 1.0
uds 138 3 1 0 2.0 1.701 1.871 2.14 2.273 14.223 12.132 2.0916 111300000000.0 8722400000.0 0.0 2.0 3.0 36.61 34.61 10487000000.0 5814900000.0 -1.93 -99.0 -99.0 -99.0 -99.0 138 00000 -1.0 1.0
uds 148 3 1 0 1.7819 1.4 1.539 1.949 2.047 31.295 29.479 1.8163 270450000000.0 7574300000.0 0.0 1.782 3.0 111.1 39.15 9097400000.0 5049600000.0 -1.93 -99.0 -99.0 -99.0 -99.0 148 00000 -1.0 1.0
