# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
uds 1620 2 1 1 2.3185 2.3058 2.3117 2.3239 2.3281 9.863 1.866 7.9969 17120000000.0 33348000000.0 1.0 2.318 2.0 3.519 17.99 8818800000.0 22232000000.0 0.52 -99.0 -99.0 -99.0 -99.0 1620 uds-10-G141_01620 2.31846
uds 3687 2 1 1 1.4193 1.4148 1.417 1.4208 1.4225 33.712 32.77 0.94176 300640000000.0 3927300000.0 0.0 1.419 2.0 126.5 22.91 943100000.0 2618200000.0 0.61 24.01 1.49 340.6 26.76 3687 uds-22-G141_03687 1.41935
uds 3955 2 1 1 2.7641 2.4069 2.4678 2.7721 2.8352 10.2 -99.0 10.2 -99.0 42535000000.0 2.0 2.764 2.0 -1.611 31.01 10805000000.0 28357000000.0 0.24 -99.0 -99.0 -99.0 -99.0 3955 uds-14-G141_03955 2.76407
uds 4059 2 1 1 2.3234 2.2431 2.2824 2.3852 2.4389 83.803 73.787 10.016 676940000000.0 41770000000.0 0.0 2.323 2.0 138.2 50.14 21388000000.0 27846000000.0 -0.41 -99.0 -99.0 -99.0 -99.0 4059 uds-12-G141_04059 2.32344
uds 4706 2 1 1 2.5343 2.3934 2.4105 2.5432 2.5625 128.49 120.52 7.9696 1105600000000.0 33234000000.0 0.0 2.534 2.0 151.1 18.08 10999000000.0 22156000000.0 0.3 -99.0 -99.0 -99.0 -99.0 4706 uds-16-G141_04706 2.53425
uds 4721 2 1 1 1.5651 1.511 1.5446 1.5674 1.5729 60.361 59.746 0.61458 548130000000.0 2562900000.0 0.0 1.565 2.0 203.4 35.12 1713000000.0 1708600000.0 -1.47 -99.0 -99.0 -99.0 -99.0 4721 uds-22-G141_04721 1.56511
uds 4915 2 1 1 1.9066 1.6239 1.6528 1.8967 1.9118 139.72 130.08 9.6391 1193400000000.0 40196000000.0 0.0 1.907 2.0 448.6 28.85 14833000000.0 26798000000.0 0.08 -99.0 -99.0 -99.0 -99.0 4915 uds-10-G141_04915 1.90665
uds 6590 2 1 1 1.7927 1.7646 1.7846 1.8017 1.8571 293.38 286.39 6.9944 2627400000000.0 29168000000.0 0.0 1.793 2.0 1080.0 20.2 16965000000.0 19445000000.0 -0.61 -99.0 -99.0 -99.0 -99.0 6590 uds-14-G141_06590 1.79268
uds 7472 2 1 1 2.0926 2.0468 2.0763 2.1318 2.174 235.89 235.58 0.31055 2161300000000.0 1295000000.0 0.0 2.093 2.0 621.3 25.77 556970000.0 863370000.0 -0.4 -99.0 -99.0 -99.0 -99.0 7472 uds-03-G141_07472 2.09256
uds 7516 2 1 1 2.0802 2.0453 2.0583 2.0855 2.3673 185.98 183.41 2.5676 1682700000000.0 10707000000.0 0.0 2.08 2.0 493.0 23.35 3630500000.0 7138200000.0 0.29 -99.0 -99.0 -99.0 -99.0 7516 uds-03-G141_07516 2.08022
