# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
uds 7 3 1 0 1.7448 1.553 1.647 1.839 1.954 2.0791 -99.0 2.0791 -99.0 8670200000.0 2.0 1.745 3.0 -10.51 25.96 9452300000.0 5780100000.0 -1.85 -99.0 -99.0 -99.0 -99.0 7 00000 -1.0 1.0
uds 21 3 1 0 0.9375 0.797 0.875 1.004 1.073 0.14192 -99.0 0.14192 -99.0 591840000.0 2.0 0.9375 3.0 -45.34 27.18 487840000.0 394560000.0 -1.26 -99.0 -99.0 -99.0 -99.0 21 00000 -1.0 1.0
uds 22 3 1 0 1.3866 0.989 1.152 1.623 1.807 21.109 20.55 0.55824 188530000000.0 2327900000.0 0.0 1.387 3.0 83.91 17.87 2751500000.0 1552000000.0 -1.92 -99.0 -99.0 -99.0 -99.0 22 00000 -1.0 1.0
uds 23 3 1 0 1.7431 1.334 1.533 1.972 2.175 1.5067 -99.0 1.5067 -99.0 6283000000.0 2.0 1.743 3.0 -44.31 22.21 7422500000.0 4188700000.0 -1.89 -99.0 -99.0 -99.0 -99.0 23 00000 -1.0 1.0
uds 43 3 1 0 1.4545 1.05 1.184 1.783 2.103 6.124 5.6981 0.42598 52276000000.0 1776400000.0 0.0 1.454 3.0 21.09 17.87 1919100000.0 1184300000.0 -1.82 -99.0 -99.0 -99.0 -99.0 43 00000 -1.0 1.0
uds 52 3 1 0 0.9498 0.825 0.893 1.008 1.056 0.8411 0.57234 0.26876 5250800000.0 1120800000.0 1.0 0.9498 3.0 10.78 20.34 1261300000.0 747190000.0 -1.82 -99.0 -99.0 -99.0 -99.0 52 00000 -1.0 1.0
uds 57 3 1 0 1.594 0.555 1.038 2.163 2.707 1.6189 1.3013 0.31761 11938000000.0 1324500000.0 1.0 1.594 3.0 4.405 20.29 1343700000.0 882990000.0 -1.68 -99.0 -99.0 -99.0 -99.0 57 00000 -1.0 1.0
uds 87 3 1 0 0.6776 0.594 0.634 0.72 0.758 0.39091 0.16985 0.22106 1558200000.0 921850000.0 1.0 0.6776 3.0 6.329 18.29 1084100000.0 614570000.0 -1.95 -99.0 -99.0 -99.0 -99.0 87 00000 -1.0 1.0
uds 152 3 1 0 2.3024 1.205 1.527 2.834 2.994 0.76166 -99.0 0.76166 -99.0 3176200000.0 2.0 2.302 3.0 -12.7 24.69 2482500000.0 2117500000.0 -1.14 -99.0 -99.0 -99.0 -99.0 152 00000 -1.0 1.0
uds 187 3 1 0 0.7891 0.545 0.671 2.952 3.478 0.05436 -99.0 0.05436 -99.0 226690000.0 2.0 0.7891 3.0 -19.1 25.03 71925000.0 151120000.0 0.56 -99.0 -99.0 -99.0 -99.0 187 00000 -1.0 1.0
uds 197 3 1 0 1.7758 1.154 1.417 2.121 2.382 1.6492 1.0959 0.55339 10054000000.0 2307700000.0 1.0 1.776 3.0 4.128 29.11 2276000000.0 1538500000.0 -1.67 -99.0 -99.0 -99.0 -99.0 197 00000 -1.0 1.0
uds 198 3 1 0 0.8239 0.098 0.461 1.164 1.386 1.0324 0.95866 0.073689 8795100000.0 307290000.0 1.0 0.8239 3.0 24.36 24.76 351670000.0 204860000.0 -1.86 -99.0 -99.0 -99.0 -99.0 198 00000 -1.0 1.0
