# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
uds 27928 2 1 1 1.4254 1.4209 1.4231 1.4278 1.4302 12.369 10.501 1.8675 96341000000.0 7787600000.0 0.0 1.425 2.0 40.18 28.33 3382100000.0 5191800000.0 -0.24 13.85 1.4 220.57 27.58 27928 uds-24-G141_27928 1.42541 2.0
uds 24412 2 1 1 1.4547 1.4503 1.4523 1.4566 1.4585 14.259 8.6474 5.6118 79334000000.0 23402000000.0 0.0 1.455 2.0 31.97 28.33 23901000000.0 15601000000.0 -1.76 16.26 1.23 384.33 36.41 24412 uds-11-G141_24412 1.45469 1.0
uds 27391 2 1 1 1.6725 1.6623 1.666 1.6744 1.7473 17.193 12.779 4.4144 117240000000.0 18409000000.0 0.0 1.672 2.0 45.02 25.57 22127000000.0 12272000000.0 -1.94 -99.0 -99.0 -99.0 -99.0 27391 uds-24-G141_27391 1.67246 1.0
uds 30198 2 1 1 1.4181 1.4136 1.4153 1.4191 1.421 39.042 37.606 1.4355 345010000000.0 5986400000.0 0.0 1.418 2.0 145.4 17.04 3694300000.0 3990900000.0 -0.69 10.11 0.82 369.18 38.74 30198 uds-24-G141_30198 1.41814 1.0
uds 26427 1 1 1 1.4671 -1.0 -1.0 -1.0 -1.0 4.5279 -99.0 4.5279 -99.0 18882000000.0 2.0 1.467 1.0 -2.605 26.81 13184000000.0 12588000000.0 -0.98 7.14 0.86 204.97 29.52 26427 uds-17-G141_26427 1.46823 1.0
uds 22341 2 1 1 1.3762 1.373 1.3743 1.3769 1.3781 7.4341 -99.0 7.4341 -99.0 31001000000.0 2.0 1.376 2.0 -38.41 24.68 33271000000.0 20667000000.0 -1.72 15.83 0.73 559.34 36.86 22341 uds-17-G141_22341 1.37619 1.0
uds 24519 2 1 1 1.5043 1.4972 1.5004 1.5066 1.5095 6.5145 4.5689 1.9456 41917000000.0 8113500000.0 1.0 1.504 2.0 16.17 22.94 5691900000.0 5409000000.0 -1.04 5.61 0.72 332.84 53.84 24519 uds-06-G141_24519 1.50428 1.0
uds 21834 2 1 1 1.6685 1.6599 1.665 1.6759 1.6814 10.44 1.9985 8.4414 18335000000.0 35202000000.0 1.0 1.668 2.0 7.018 27.4 36293000000.0 23468000000.0 -1.69 -99.0 -99.0 -99.0 -99.0 21834 uds-06-G141_21834 1.66846 1.0
uds 10403 2 1 1 1.423 1.4185 1.4202 1.4239 1.4257 43.699 36.342 7.3563 333420000000.0 30677000000.0 0.0 1.423 2.0 139.4 24.36 24218000000.0 20451000000.0 -1.25 15.47 0.97 280.79 21.18 10403 uds-28-G141_10403 1.42298 1.0
uds 11926 1 1 1 1.4591 -1.0 -1.0 -1.0 -1.0 8.489 4.8065 3.6824 44097000000.0 15356000000.0 1.0 1.459 1.0 17.69 21.24 14050000000.0 10237000000.0 -1.49 6.85 1.16 273.41 57.15 11926 uds-28-G141_11926 1.52313 1.0
uds 8928 2 1 1 1.3691 1.3658 1.3671 1.3698 1.371 6.2593 4.116 2.1433 37761000000.0 8937900000.0 1.0 1.369 2.0 17.52 21.04 8425400000.0 5958600000.0 -1.52 9.55 0.6 1089.88 128.99 8928 uds-28-G141_08928 1.36908 1.0
