# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta Ha_FLUX Ha_FLUX_ERR Ha_EQW Ha_EQW_ERR number grism_id z_max_grism uvj
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
goodss 20161 3 1 0 1.5861 1.266 1.41 1.808 1.983 0.39156 -99.0 0.39156 -99.0 1632900000.0 2.0 1.586 3.0 -4.997 9.443 1996000000.0 1088600000.0 -1.95 -99.0 -99.0 -99.0 -99.0 20161 00000 -1.0 1.0
goodss 20623 3 1 0 0.2443 0.227 0.23 0.259 0.263 0.092574 0.023278 0.069296 213560000.0 288970000.0 0.0 0.2443 3.0 11.53 7.007 255640000.0 192650000.0 -1.34 -99.0 -99.0 -99.0 -99.0 20623 goodss-07-G141_20623 0.18649 1.0
goodss 21829 2 1 1 2.0057 1.9993 2.0027 2.0117 2.0158 5.1312 -99.0 5.1312 -99.0 21398000000.0 2.0 2.006 2.0 -5.668 6.964 21283000000.0 14265000000.0 -1.62 -99.0 -99.0 -99.0 -99.0 21829 goodss-38-G141_21829 2.00567 1.0
goodss 21991 3 1 0 2.5189 2.432 2.469 2.571 2.59 4.4027 -99.0 4.4027 -99.0 18360000000.0 2.0 2.519 3.0 -13.27 9.429 21039000000.0 12240000000.0 -1.84 -99.0 -99.0 -99.0 -99.0 21991 goodss-08-G141_21991 2.54841 1.0
goodss 22168 3 1 0 0.7832 0.127 0.27 1.333 2.453 0.041485 -99.0 0.041485 -99.0 173000000.0 2.0 0.7832 3.0 -8.834 9.357 182170000.0 115330000.0 -1.65 -99.0 -99.0 -99.0 -99.0 22168 00000 -1.0 1.0
goodss 22737 3 1 0 1.2578 1.163 1.208 1.309 1.354 0.6357 -99.0 0.6357 -99.0 2651000000.0 2.0 1.258 3.0 -8.395 8.458 3035500000.0 1767300000.0 -1.86 2.85 0.49 799.43 241.79 22737 goodss-07-G141_22737 1.29332 1.0
goodss 22863 3 1 0 2.5554 2.469 2.504 2.611 2.64 3.873 -99.0 3.873 -99.0 16151000000.0 2.0 2.555 3.0 -10.5 7.321 17663000000.0 10767000000.0 -1.75 -99.0 -99.0 -99.0 -99.0 22863 goodss-08-G141_22863 2.60564 1.0
goodss 22945 3 1 0 0.2359 0.058 0.097 0.22 0.246 0.013571 0.012156 0.0014148 111520000.0 5899900.0 1.0 0.2359 3.0 6.584 7.132 2459600.0 3933200.0 -0.27 -99.0 -99.0 -99.0 -99.0 22945 00000 -1.0 1.0
goodss 23504 3 1 0 2.9239 2.79 2.841 3.005 3.074 2.434 -99.0 2.434 -99.0 10150000000.0 2.0 2.924 3.0 -9.575 6.475 10995000000.0 6766800000.0 -1.71 -99.0 -99.0 -99.0 -99.0 23504 goodss-34-G141_23504 2.91572 1.0
goodss 23763 2 1 1 2.7397 2.7243 2.7342 2.7499 2.7595 44.675 35.519 9.156 325860000000.0 38182000000.0 0.0 2.74 2.0 26.87 9.502 29808000000.0 25455000000.0 -1.12 -99.0 -99.0 -99.0 -99.0 23763 goodss-38-G141_23763 2.73968 1.0
goodss 24110 1 1 1 1.998 -1.0 -1.0 -1.0 -1.0 361.43 343.33 18.1 3149800000000.0 75478000000.0 0.0 1.998 1.0 1039.0 18.13 42989000000.0 50319000000.0 -0.48 -99.0 -99.0 -99.0 -99.0 24110 goodss-34-G141_24110 1.99068 1.0
goodss 24193 3 1 0 3.1307 3.05 3.073 3.197 3.24 19.495 9.9642 9.5308 91415000000.0 39745000000.0 1.0 3.131 3.0 3.348 188.1 41423000000.0 26496000000.0 -1.65 -99.0 -99.0 -99.0 -99.0 24193 goodss-37-G141_24193 3.29521 1.0
goodss 24355 3 1 0 1.3532 1.202 1.278 1.424 1.558 2.6756 1.788 0.88768 16403000000.0 3701700000.0 1.0 1.353 3.0 7.942 26.49 4627200000.0 2467800000.0 -1.99 -99.0 -99.0 -99.0 -99.0 24355 goodss-37-G141_24355 1.99068 1.0
goodss 24717 3 1 0 1.525 1.446 1.486 1.57 1.628 3.624 1.9216 1.7025 17629000000.0 7099500000.0 1.0 1.525 3.0 6.696 7.529 7671700000.0 4733000000.0 -1.73 -99.0 -99.0 -99.0 -99.0 24717 goodss-07-G141_24717 2.07406 1.0
goodss 25631 3 1 0 0.5862 0.235 0.479 0.683 0.74 0.12715 0.080618 0.046534 739620000.0 194050000.0 1.0 0.5862 3.0 3.963 10.84 189540000.0 129370000.0 -1.62 -99.0 -99.0 -99.0 -99.0 25631 goodss-34-G141_25631 0.43835 1.0
goodss 25807 2 1 1 0.2386 0.193 0.222 0.2573 0.2768 0.23756 0.20561 0.031952 1886300000.0 133240000.0 1.0 0.2386 2.0 108.2 153.9 141240000.0 88828000.0 -1.99 -99.0 -99.0 -99.0 -99.0 25807 goodss-38-G141_25807 -1.0 1.0
goodss 26107 3 1 0 0.723 0.539 0.665 0.789 0.843 0.097701 -99.0 0.097701 -99.0 407430000.0 2.0 0.723 3.0 -20.73 6.27 417070000.0 271620000.0 -1.7 -99.0 -99.0 -99.0 -99.0 26107 00000 -1.0 1.0
goodss 26361 3 1 0 3.2922 3.132 3.204 3.374 3.419 3.9741 -99.0 3.9741 -99.0 16573000000.0 2.0 3.292 3.0 -0.07992 7.483 19844000000.0 11048000000.0 -1.92 -99.0 -99.0 -99.0 -99.0 26361 goodss-37-G141_26361 3.31458 1.0
goodss 26904 3 1 0 0.8167 0.753 0.781 0.854 0.886 0.81692 0.48474 0.33219 4447100000.0 1385300000.0 0.0 0.8167 3.0 12.44 8.028 1520000000.0 923510000.0 -1.75 2.53 1.85 inf nan 26904 goodss-34-G141_26904 0.78515 1.0
goodss 26939 3 1 0 2.4907 2.387 2.443 2.543 2.569 21.205 13.355 7.8501 122520000000.0 32736000000.0 0.0 2.491 3.0 18.51 6.994 29193000000.0 21824000000.0 -1.43 -99.0 -99.0 -99.0 -99.0 26939 goodss-08-G141_26939 2.55374 1.0
goodss 26988 3 1 0 2.7341 2.665 2.683 2.785 2.809 3.8233 -99.0 3.8233 -99.0 15944000000.0 2.0 2.734 3.0 -18.46 6.984 14857000000.0 10629000000.0 -1.45 -99.0 -99.0 -99.0 -99.0 26988 goodss-32-G141_26988 2.73594 1.0
goodss 27151 3 1 0 1.2181 1.124 1.153 1.288 1.374 0.19145 -99.0 0.19145 -99.0 798360000.0 2.0 1.218 3.0 -6.438 8.6 1006500000.0 532240000.0 -2.02 -99.0 -99.0 -99.0 -99.0 27151 00000 -1.0 1.0
goodss 27249 3 1 0 0.2194 0.167 0.197 0.244 0.262 0.025461 0.013894 0.011566 127470000.0 48233000.0 1.0 0.2194 3.0 9.01 10.02 54694000.0 32155000.0 -1.95 -99.0 -99.0 -99.0 -99.0 27249 goodss-32-G141_27249 0.24857 1.0
goodss 27940 3 1 0 2.2963 2.222 2.24 2.352 2.413 7.1722 2.4731 4.6991 22689000000.0 19596000000.0 1.0 2.296 3.0 4.806 7.678 19542000000.0 13064000000.0 -1.63 -99.0 -99.0 -99.0 -99.0 27940 goodss-32-G141_27940 2.13303 1.0
goodss 28093 3 1 0 1.2457 1.125 1.157 1.358 1.485 0.34972 -99.0 0.34972 -99.0 1458400000.0 2.0 1.246 3.0 -0.07436 5.952 1771100000.0 972250000.0 -1.94 -99.0 -99.0 -99.0 -99.0 28093 goodss-37-G141_28093 2.07099 1.0
goodss 28152 2 1 1 1.9862 1.9695 1.9793 2.0016 2.0158 39.146 31.055 8.0909 284910000000.0 33740000000.0 0.0 1.986 2.0 95.68 18.46 24411000000.0 22493000000.0 -1.1 -99.0 -99.0 -99.0 -99.0 28152 goodss-36-G141_28152 1.98619 1.0
goodss 28278 3 1 0 1.3275 1.138 1.171 1.547 1.912 0.78323 0.15591 0.62732 1430300000.0 2616000000.0 1.0 1.327 3.0 0.7509 8.411 3186100000.0 1744000000.0 -1.98 -99.0 -99.0 -99.0 -99.0 28278 goodss-34-G141_28278 1.85052 1.0
goodss 28794 2 1 1 1.8477 1.8389 1.8427 1.8503 1.8535 10.646 5.684 4.9619 52147000000.0 20692000000.0 0.0 1.848 2.0 20.9 9.889 21699000000.0 13794000000.0 -1.73 -99.0 -99.0 -99.0 -99.0 28794 goodss-32-G141_28794 1.84767 1.0
goodss 29023 3 1 0 1.2841 1.143 1.174 1.411 1.46 2.8655 2.019 0.84648 18523000000.0 3529900000.0 1.0 1.284 3.0 11.36 12.26 4231200000.0 2353300000.0 -1.95 -99.0 -99.0 -99.0 -99.0 29023 goodss-32-G141_29023 1.8648 1.0
goodss 29107 3 1 0 2.0305 1.894 1.958 2.103 2.153 6.6205 4.2369 2.3836 38870000000.0 9939800000.0 1.0 2.03 3.0 12.25 12.34 11939000000.0 6626500000.0 -1.94 -99.0 -99.0 -99.0 -99.0 29107 goodss-38-G141_29107 1.86337 1.0
goodss 30110 3 1 0 1.5351 1.307 1.385 1.716 1.964 1.4528 0.75735 0.69543 6948100000.0 2900100000.0 1.0 1.535 3.0 2.621 7.902 3275100000.0 1933400000.0 -1.87 -99.0 -99.0 -99.0 -99.0 30110 goodss-34-G141_30110 1.88349 1.0
goodss 30242 2 1 1 1.8979 1.8943 1.8958 1.8991 1.9007 10.36 4.1642 6.196 38203000000.0 25838000000.0 0.0 1.898 2.0 14.52 8.164 29146000000.0 17226000000.0 -1.86 -99.0 -99.0 -99.0 -99.0 30242 goodss-34-G141_30242 1.89794 1.0
goodss 30269 3 1 0 0.3078 0.02 0.068 0.511 0.801 0.08888 0.083856 0.0050242 769320000.0 20952000.0 0.0 0.3078 3.0 23.02 7.727 29309000.0 13968000.0 -2.02 -99.0 -99.0 -99.0 -99.0 30269 00000 -1.0 1.0
goodss 30321 3 1 0 0.4146 0.117 0.279 0.556 0.649 0.18583 0.18242 0.0034176 1673500000.0 14252000.0 0.0 0.4146 3.0 22.42 7.8 667230.0 9501400.0 8.63 -99.0 -99.0 -99.0 -99.0 30321 00000 -1.0 1.0
goodss 30427 3 1 0 2.0032 1.492 1.539 2.057 2.092 6.2632 2.1568 4.1064 19788000000.0 17124000000.0 1.0 2.003 3.0 6.481 10.89 19178000000.0 11416000000.0 -1.83 -99.0 -99.0 -99.0 -99.0 30427 goodss-32-G141_30427 1.84767 1.0
goodss 30668 3 1 0 1.1851 1.137 1.151 1.219 1.251 2.1122 1.3207 0.79156 12116000000.0 3300900000.0 0.0 1.185 3.0 10.83 9.221 4399900000.0 2200600000.0 -2.17 -99.0 -99.0 -99.0 -99.0 30668 goodss-34-G141_30668 2.17244 1.0
goodss 30782 3 1 0 1.5515 1.414 1.49 1.606 1.733 1.2449 -99.0 1.2449 -99.0 5191400000.0 2.0 1.551 3.0 -15.7 7.542 6417400000.0 3460900000.0 -1.97 -99.0 -99.0 -99.0 -99.0 30782 goodss-36-G141_30782 1.85194 1.0
goodss 30807 2 1 1 1.8477 1.8416 1.8441 1.8489 1.8513 16.869 9.9131 6.9563 90946000000.0 29009000000.0 0.0 1.848 2.0 36.45 10.98 27082000000.0 19339000000.0 -1.53 -99.0 -99.0 -99.0 -99.0 30807 goodss-32-G141_30807 1.84767 1.0
goodss 31135 3 1 0 1.6269 1.251 1.407 1.846 1.923 2.629 1.5465 1.0824 14188000000.0 4513900000.0 1.0 1.627 3.0 5.278 12.75 5247800000.0 3009300000.0 -1.89 -99.0 -99.0 -99.0 -99.0 31135 goodss-34-G141_31135 1.8363 1.0
goodss 31767 3 1 0 3.7819 3.676 3.715 3.846 3.884 15.366 -99.0 15.366 -99.0 64077000000.0 2.0 3.782 3.0 -5.5 16.75 66699000000.0 42718000000.0 -1.65 -99.0 -99.0 -99.0 -99.0 31767 goodss-38-G141_31767 3.75169 1.0
goodss 31888 3 1 0 1.6692 1.452 1.503 1.904 1.998 6.358 4.1798 2.1782 38347000000.0 9083400000.0 0.0 1.669 3.0 14.69 7.572 9306900000.0 6055600000.0 -1.68 -99.0 -99.0 -99.0 -99.0 31888 goodss-18-G141_31888 1.84056 1.0
