# id z zbest use_grism1 s0 s1 Ha_flux Ha_error Ha_scale_to_photom Ha_EQW_obs Ha_EQW_obs_err OIII_flux OIII_error OIII_scale_to_photom OIII_EQW_obs OIII_EQW_obs_err OIIIx_flux OIIIx_error OIIIx_scale_to_photom OIIIx_EQW_obs OIIIx_EQW_obs_err OII_flux OII_error OII_scale_to_photom OII_EQW_obs OII_EQW_obs_err uvj_flag sn_F160W sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta
17361.0 1.53958 1.539 1.0 -0.036 -0.329 7.29 2.35 1.097 27.8589373046 8.84398207578 0.46 0.87 1.004 1.29942746438 2.13814882776 0.12 0.54 0.96 0.338638672536 2.31928114098 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 165.856940467 21.508 17.813 3.6949 163430000000.0 15408000000.0 0.0 1.5396 2.0 61.47 18.01 3186400000.0 10272000000.0 1.17
21030.0 0.89175 0.892 1.0 0.059 -0.018 11.88 2.14 0.94 28.6190035681 5.06938020352 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 142.047569986 0.78611 0.3651 0.421 3349600000.0 1755600000.0 1.0 0.8917 2.0 8.249 21.48 322250000.0 1170400000.0 1.01
18066.0 1.33848 1.343 1.0 0.058 0.148 41.27 1.83 0.931 92.1111149123 4.22924292703 0.0 0.01 0.969 0.00427628202935 0.209537819438 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 194.663232833 83.721 75.008 8.7133 688150000000.0 36336000000.0 0.0 1.3385 2.0 347.4 23.36 17974000000.0 24224000000.0 -0.46
29189.0 -99.0 0.463 -1.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 246.588705553 3.0545 2.0626 0.99186 18923000000.0 4136200000.0 0.0 0.4625 1.0 187.4 17.69 3156800000.0 2757500000.0 -1.33
4669.0 1.02688 1.027 1.0 0.048 -0.26 39.54 3.29 0.941 65.8401089359 5.62440795706 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 168.954604472 49.393 44.427 4.9668 407580000000.0 20712000000.0 0.0 1.0269 2.0 629.6 22.56 10644000000.0 13808000000.0 -0.43
22958.0 0.93286 0.933 1.0 0.002 1.145 8.9 1.99 1.117 51.3229100918 11.3407075525 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 100.793700004 39.493 38.806 0.68652 356020000000.0 2862900000.0 0.0 0.9329 2.0 774.4 51.23 681730000.0 1908600000.0 1.0
14896.0 0.6364 0.651 1.0 0.212 0.225 0.0 0.0 0.859 0.0 0.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 204.311224053 18.537 18.26 0.27725 167520000000.0 1156200000.0 0.0 0.6364 2.0 764.5 19.64 1086300000.0 770770000.0 -1.78
10128.0 1.75385 1.766 1.0 -0.029 0.48 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 1.037 0.0 3.63854240427 0.0 0.0 1.108 0.0 0.13435735425 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 110.094885908 3.0404 1.4421 1.5983 13231000000.0 6665100000.0 1.0 1.7538 2.0 5.397 23.09 2040000000.0 4443400000.0 0.34
5984.0 0.66113 0.661 1.0 -0.041 -0.361 8.64 6.66 0.952 16.3683757442 9.3069175802 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 275.212292864 1.2097 0.79249 0.41722 7270500000.0 1739900000.0 0.0 0.6611 2.0 30.96 21.98 242350000.0 1159900000.0 1.87
2440.0 0.98973 0.99 1.0 0.135 0.735 0.0 0.0 0.92 0.0 0.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 232.64027811 0.93623 0.43965 0.49658 4033500000.0 2070800000.0 1.0 0.9897 2.0 7.165 20.65 435830000.0 1380500000.0 1.18
22521.0 0.91842 0.918 1.0 0.0 -0.216 0.0 0.0 0.977 0.0 0.17201655529 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 205.592133158 1.9965 1.6331 0.36335 14983000000.0 1515200000.0 0.0 0.9184 2.0 34.17 18.86 161050000.0 1010200000.0 2.53
7662.0 1.21555 1.216 1.0 0.06 -0.268 4.99 1.78 0.952 16.469951028 5.58777730135 11.64 3.62 0.885 39.1911714924 11.9112635689 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 138.363327534 14.764 13.659 1.1049 125310000000.0 4607700000.0 0.0 1.2155 2.0 100.0 22.98 1208600000.0 3071800000.0 0.37
4707.0 -99.0 0.374 -1.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 929.109596477 -99.0 -99.0 0.23675 -99.0 987260000.0 2.0 0.3735 1.0 -28.16 21.64 102410000.0 658180000.0 2.84
3952.0 -99.0 1.173 -1.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 210.740260228 73.049 68.902 4.1467 632130000000.0 17292000000.0 0.0 1.1728 1.0 590.3 21.23 8409800000.0 11528000000.0 -0.44
19985.0 -99.0 2.473 -1.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 126.984595688 232.85 195.15 37.691 1.7904e+12 157180000000.0 0.0 2.473 1.0 281.5 18.84 118690000000.0 104780000000.0 -1.11
4943.0 0.7463 0.745 1.0 0.065 -0.393 2.4 9.85 0.866 2.52533928878 4.79299089504 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 207.997961952 15.53 12.585 2.945 115460000000.0 12281000000.0 0.0 0.7463 2.0 380.7 30.41 6743200000.0 8187400000.0 -0.51
