# id z use_grism1 OIII_flux OIII_error OIII_scale_to_photom OIII_EQW_obs OIII_EQW_obs_err HeI_flux HeI_error HeI_scale_to_photom HeI_EQW_obs HeI_EQW_obs_err SII_flux SII_error SII_scale_to_photom SII_EQW_obs SII_EQW_obs_err Ha_flux Ha_error Ha_scale_to_photom Ha_EQW_obs Ha_EQW_obs_err Hb_flux Hb_error Hb_scale_to_photom Hb_EQW_obs Hb_EQW_obs_err SIII_flux SIII_error SIII_scale_to_photom SIII_EQW_obs SIII_EQW_obs_err OII_flux OII_error OII_scale_to_photom OII_EQW_obs OII_EQW_obs_err OIIIx_flux OIIIx_error OIIIx_scale_to_photom OIIIx_EQW_obs OIIIx_EQW_obs_err HeII_flux HeII_error HeII_scale_to_photom HeII_EQW_obs HeII_EQW_obs_err Hg_flux Hg_error Hg_scale_to_photom Hg_EQW_obs Hg_EQW_obs_err Hd_flux Hd_error Hd_scale_to_photom Hd_EQW_obs Hd_EQW_obs_err MgII_flux MgII_error MgII_scale_to_photom MgII_EQW_obs MgII_EQW_obs_err uvj_flag sn_F160W sfr z_sfr
579.0 1.9256 1.0 5.21 2.22 2.079 80.0622094613 35.1141646158 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.12 0.53 2.18 2.01326223681 14.3902105551 -99.0 -99.0 -99.0 -99.0 -99.0 0.03 0.22 3.337 1.37749521466 46.3323762647 0.0 0.0 2.593 0.0 0.0444353295051 0.0 0.0 2.312 0.0 0.0170905113481 0.1 1.01 2.615 2.59433962264 26.6748701121 0.0 0.0 2.863 0.0 0.0957068635494 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 33.4153050147 271.85 1.9256
851.0 1.64587 1.0 12.47 1.8 1.497 275.051306376 52.9050935987 0.0 0.0 0.735 0.0 0.272122213109 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.01 0.08 1.707 0.211650610196 18.7537558535 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 2.76 0.00755895036415 3.34861501132 0.0 0.0 2.01 0.0 0.0151179007283 0.0 0.0 2.825 0.00377947518208 0.336373291205 4.63 10.78 3.633 209.03521337 246.520048226 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 35.8179444057 13.362 1.6459
1443.0 1.25241 1.0 6.86 2.51 1.289 159.518027357 69.7208767498 0.0 0.0 1.168 0.0 0.0221984452209 0.23 0.75 1.076 6.53078258399 15.9695614919 4.09 0.9 1.091 131.601262648 33.5818079302 0.07 0.31 1.312 1.73591841627 14.2647208989 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 11.03 16.32 1.342 238.175998153 306.662641349 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 33.0043446969 7.2061 1.2524
1762.0 1.40729 1.0 32.68 1.34 2.557 1658.68673903 447.640292611 0.76 0.81 2.313 46.7081240731 38.4249508784 0.5 0.66 2.127 36.2731536292 42.8614749365 13.64 0.73 2.159 1096.0374529 220.405518238 3.94 1.08 2.605 229.843516984 97.6409157185 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.77 1.13 2.665 85.1829235364 63.6981834345 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 26.0464332795 3.5078 1.4073
2058.0 1.4633 1.0 15.32 1.78 1.508 614.748508099 175.618073316 0.0 0.0 4.677 0.0 0.243575691146 0.0 0.0 12.045 0.0121787845573 1.37620265498 2.14 1.98 10.226 882.332643202 917.943409248 1.03 1.61 1.224 34.7379531523 45.3578532862 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 0.57 0.0121787845573 0.990541143994 0.01 0.05 0.944 0.16644338895 4.66041489059 6.61 14.57 0.549 94.4586530264 127.438801608 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 15.8179150589 45.748 1.4633
2297.0 1.97725 1.0 8.15 1.28 1.539 163.06322949 30.6390125115 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.77 2.32 1.541 17.0022671929 25.7485935007 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 1.56 0.0 0.0268704341255 0.05 0.3 1.549 0.826265849358 5.79057855403 0.37 0.91 1.544 6.56310353514 10.6809975649 0.05 0.22 1.549 1.0177176925 9.64648585104 0.0 0.0 1.553 0.0 0.127634562096 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 43.7610913323 30.646 1.9772
2331.0 2.06945 1.0 8.53 1.3 2.095 407.392203815 117.701868413 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 4.52 1.03 1.893 216.449200997 70.5077456873 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 0.761 0.0 0.0195474759322 0.0 0.0 1.306 0.00325791265536 0.439818208474 1.97 1.36 1.669 65.8587043281 42.9523204483 0.25 0.67 1.282 6.91654856733 18.1954421802 0.0 0.0 1.056 0.0195474759322 0.820993989151 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 27.9746166169 14.986 2.0694
2422.0 1.24454 1.0 6.63 3.31 1.061 46.0673456477 22.6015130049 0.07 0.27 1.11 0.632646332879 3.2657025493 0.63 0.89 1.152 7.27543282811 9.79265239203 8.21 1.01 1.145 103.393122867 14.0073244406 4.01 4.6 1.053 31.2803514306 31.1957015691 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.92 3.43 1.042 5.45323317918 50.1439047645 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 79.5446271374 8.1748 1.2445
2544.0 1.85194 1.0 9.66 1.37 1.39 279.195915763 52.0347552894 0.05 0.14 1.035 1.30086888223 5.80306738571 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.97 1.11 1.467 138.137548476 39.5976072428 -99.0 -99.0 -99.0 -99.0 -99.0 4.18 10.31 2.393 204.611597719 445.472204885 2.47 2.85 1.791 77.8592817521 59.3806321311 0.0 0.0 1.57 0.0 0.010519155382 0.0 0.0 1.809 0.0 0.122723479456 0.34 0.92 2.008 13.1664761531 36.8696396137 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 26.1565045393 -99.0 1.8519
2555.0 1.14792 1.0 31.24 11.99 0.535 198.415210995 73.8202540132 0.04 0.14 0.784 0.446944020261 1.95072442177 3.47 1.13 1.078 67.8749674103 22.2540876755 7.59 1.13 1.02 154.670565012 24.8193601251 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 55.5984199232 3.0621 1.1479
