# id z zbest use_grism1 s0 s1 Ha_flux Ha_error Ha_scale_to_photom Ha_EQW_obs Ha_EQW_obs_err OIII_flux OIII_error OIII_scale_to_photom OIII_EQW_obs OIII_EQW_obs_err OIIIx_flux OIIIx_error OIIIx_scale_to_photom OIIIx_EQW_obs OIIIx_EQW_obs_err OII_flux OII_error OII_scale_to_photom OII_EQW_obs OII_EQW_obs_err uvj_flag sn_F160W sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta
19923.0 0.72547 0.726 1.0 -0.011 -0.322 8.99 1.62 0.944 21.2521805653 3.86561342707 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 224.9340226 2.2733 1.1969 1.0764 10981000000.0 4488700000.0 0.0 0.7255 2.0 38.5 26.51 3135700000.0 2992400000.0 -1.06
23905.0 0.72461 0.726 1.0 0.116 -0.161 113.5 4.24 0.861 107.160459466 4.44158389433 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 352.956672863 41.102 35.625 5.4773 326830000000.0 22841000000.0 0.0 0.7246 2.0 1149.0 19.74 10765000000.0 15227000000.0 -0.33
20908.0 0.6854 0.685 1.0 0.053 -0.484 0.0 0.0 0.847 0.0 0.272932241604 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 359.789876243 3.8196 2.4143 1.4053 22149000000.0 5860400000.0 0.0 0.6854 2.0 87.92 22.43 2981400000.0 3906900000.0 -0.41
29556.0 -99.0 0.672 -1.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 163.872581358 2.0179 1.4411 0.5768 13221000000.0 2405300000.0 0.0 0.6715 1.0 54.67 22.84 979800000.0 1603600000.0 -0.37
5984.0 0.66113 0.661 1.0 -0.041 -0.361 8.64 6.66 0.952 16.3683757442 9.3069175802 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 275.212292864 1.2097 0.79249 0.41722 7270500000.0 1739900000.0 0.0 0.6611 2.0 30.96 21.98 242350000.0 1159900000.0 1.87
25781.0 -99.0 0.418 -1.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 729.279350094 8.2444 6.4321 1.8123 59010000000.0 7557700000.0 0.0 0.4183 1.0 771.1 22.23 3661900000.0 5038400000.0 -0.44
17085.0 0.59281 0.593 1.0 -0.075 -0.248 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 2143.94891788 120.71 80.322 40.387 736900000000.0 168420000000.0 0.0 0.5928 2.0 3847.0 32.94 100620000000.0 112280000000.0 -0.75
11953.0 0.73239 0.732 1.0 0.085 -0.188 37.66 4.92 0.883 24.6999809512 3.29602456722 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 302.94730316 12.07 10.616 1.4537 97397000000.0 6062300000.0 0.0 0.7324 2.0 334.5 25.12 2051300000.0 4041500000.0 0.16
7315.0 0.73239 0.732 1.0 0.061 -0.364 40.63 3.15 0.872 29.4795051922 2.35512788691 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 476.209028553 27.175 24.441 2.7338 224230000000.0 11400000000.0 0.0 0.7324 2.0 770.1 22.96 5028500000.0 7600200000.0 -0.19
2957.0 0.47256 0.476 0.0 0.042 -0.347 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 681.75377429 3.6102 2.2512 1.359 20653000000.0 5667300000.0 0.0 0.4726 2.0 192.6 33.98 2782600000.0 3778200000.0 -0.44
