# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 579 2 1 1 1.9139 1.8746 1.9024 2.0761 2.1632 763.23 759.11 4.1247 6964300000000.0 17201000000.0 0.0 2.5523 2.0 910.2 27.68 2763600000.0 11467000000.0 1.61
cosmos 796 2 1 1 1.1771 1.1679 1.1724 1.1811 1.1852 52.906 50.842 2.0639 466440000000.0 8606800000.0 0.0 1.2137 2.0 374.8 37.81 1923500000.0 5737900000.0 0.22
cosmos 937 1 1 1 0.8783 -1.0 -1.0 -1.0 -1.0 20.84 18.244 2.596 167380000000.0 10826000000.0 0.0 0.8783 1.0 425.7 27.27 3288100000.0 7217100000.0 0.54
cosmos 1489 2 1 1 0.9242 0.9027 0.9147 0.9289 0.9347 -99.0 -99.0 1.2506 -99.0 5215400000.0 2.0 0.9261 2.0 -29.3 21.95 1030600000.0 3476900000.0 0.76
cosmos 1996 2 1 1 0.4269 0.3964 0.4086 0.4314 0.4398 2.1338 1.5338 0.59999 14072000000.0 2502000000.0 0.0 0.4174 2.0 185.0 40.22 799510000.0 1668000000.0 -0.15
cosmos 2033 1 1 1 0.728 -1.0 -1.0 -1.0 -1.0 1.2886 0.48769 0.80087 4474200000.0 3339700000.0 1.0 0.728 1.0 15.57 36.09 318970000.0 2226500000.0 2.86
cosmos 2348 2 1 1 1.2592 1.2499 1.2541 1.2615 1.2648 -99.0 -99.0 0.6214 -99.0 2591300000.0 2.0 1.2387 2.0 -0.3208 33.51 614460000.0 1727500000.0 0.4
cosmos 2543 2 1 1 1.3233 1.3113 1.3167 1.3274 1.3325 7.4254 5.331 2.0944 48909000000.0 8733700000.0 0.0 1.3214 2.0 26.17 21.58 610130000.0 5822500000.0 2.95
cosmos 2816 2 1 1 1.9139 1.9059 1.9112 1.93 1.9366 -99.0 -99.0 2.8778 -99.0 12001000000.0 2.0 1.8814 2.0 -20.73 18.44 1129500000.0 8000500000.0 2.46
cosmos 3182 2 1 1 1.7997 1.5698 1.625 1.803 1.8208 556.24 553.04 3.1991 5073800000000.0 13341000000.0 0.0 2.1973 2.0 1247.0 21.4 1946000000.0 8893700000.0 1.82
cosmos 3200 2 1 1 1.8477 1.759 1.7976 1.8586 1.8766 394.01 386.66 7.352 3547400000000.0 30659000000.0 0.0 1.879 2.0 1379.0 33.18 10013000000.0 20439000000.0 0.3
cosmos 3206 2 1 1 2.1756 2.1166 2.1562 2.1971 2.2244 114.63 110.31 4.3145 1012000000000.0 17992000000.0 1.0 2.2832 2.0 218.3 592.6 5212900000.0 11995000000.0 0.53
cosmos 3687 2 1 1 0.7762 0.7718 0.7737 0.7778 0.7797 1.3332 0.49709 0.83611 4560500000.0 3486700000.0 1.0 0.7809 2.0 13.68 25.62 320740000.0 2324500000.0 2.79
cosmos 3700 2 1 1 0.9572 0.9489 0.9526 0.9601 0.9639 23.236 19.422 3.8144 178180000000.0 15906000000.0 0.0 0.9482 2.0 367.9 23.36 7156000000.0 10604000000.0 -0.29
cosmos 4536 2 1 1 1.6235 1.4791 1.5974 1.6651 1.699 92.281 90.287 1.9946 828320000000.0 8317900000.0 0.0 1.801 2.0 339.8 29.05 2007800000.0 5545300000.0 0.34
cosmos 4596 1 1 1 0.7332 -1.0 -1.0 -1.0 -1.0 11.7 9.5791 2.1211 87882000000.0 8845300000.0 0.0 0.7332 1.0 301.1 21.13 2608000000.0 5896900000.0 0.33
cosmos 5238 2 1 1 0.9396 0.9367 0.9378 0.9405 0.9416 101.15 90.632 10.513 831490000000.0 43843000000.0 0.0 1.0068 2.0 1385.0 389.3 26043000000.0 29228000000.0 -0.57
cosmos 5530 2 1 1 2.1883 2.0911 2.1505 2.191 2.2086 -99.0 -99.0 1.7489 -99.0 7293000000.0 2.0 2.0907 2.0 -26.61 21.64 1210500000.0 4862000000.0 1.7
