# id z zbest use_grism1 s0 s1 Ha_flux Ha_error Ha_scale_to_photom Ha_EQW_obs Ha_EQW_obs_err OIII_flux OIII_error OIII_scale_to_photom OIII_EQW_obs OIII_EQW_obs_err OIIIx_flux OIIIx_error OIIIx_scale_to_photom OIIIx_EQW_obs OIIIx_EQW_obs_err OII_flux OII_error OII_scale_to_photom OII_EQW_obs OII_EQW_obs_err uvj_flag sn_F160W sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta
24997.0 1.21998 1.22 1.0 -0.029 -0.539 16.0 1.26 1.052 187.80799827 17.4280849377 4.4 3.53 0.909 35.0904062199 25.0137388625 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 77.6705545973 12.454 10.991 1.4629 100840000000.0 6100500000.0 0.0 1.22 2.0 79.09 19.16 2723700000.0 4067000000.0 -0.32
20380.0 0.72893 0.728 1.0 0.051 0.349 47.74 3.02 1.023 178.341517586 13.8582822902 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 123.33249797 6.0929 3.7562 2.3366 34461000000.0 9744100000.0 0.0 0.7289 2.0 119.6 20.52 8155500000.0 6496100000.0 -1.37
5190.0 0.99571 0.996 1.0 -0.116 0.471 9.56 1.0 1.159 295.213232383 39.4596409298 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 33.8793213907 -99.0 -99.0 1.632 -99.0 6805700000.0 2.0 0.9957 2.0 -13.96 23.07 7799300000.0 4537100000.0 -1.89
24909.0 1.13507 1.135 1.0 -0.031 0.175 6.6 1.11 1.031 159.788672034 28.6407471418 0.0 0.0 1.081 0.0 0.590144585423 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 48.3852236321 3.2482 1.6229 1.6253 14889000000.0 6777800000.0 1.0 1.1351 2.0 15.77 18.51 6379200000.0 4518500000.0 -1.56
15846.0 1.20781 1.207 1.0 0.005 1.994 11.87 1.33 0.928 173.144428189 21.8995293979 14.15 3.71 1.593 214.565564972 62.0886761089 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 52.9960979433 -99.0 -99.0 3.2147 -99.0 13406000000.0 2.0 1.2078 2.0 -7.826 16.6 13431000000.0 8937300000.0 -1.67
16266.0 0.82668 0.828 1.0 -0.149 1.508 11.23 2.57 1.466 196.082510347 55.4557995927 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 35.0595343179 -99.0 -99.0 1.7415 -99.0 7262200000.0 2.0 0.8267 2.0 -11.83 19.34 8107800000.0 4841500000.0 -1.85
23191.0 0.72806 0.725 1.0 0.071 1.212 7.68 2.58 1.202 200.762704999 73.2555582561 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 33.7715640088 -99.0 -99.0 0.65619 -99.0 2736400000.0 2.0 0.7281 2.0 -9.201 22.69 3089800000.0 1824300000.0 -1.87
25701.0 1.41211 1.412 1.0 -0.395 0.395 4.42 1.15 1.414 250.394882489 88.5904871668 12.22 1.72 1.574 470.198291123 122.266397469 2.22 5.48 1.662 85.1785366339 256.012370912 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 38.2807816022 -99.0 -99.0 1.6013 -99.0 6677800000.0 2.0 1.4121 2.0 -1.76 14.16 6079000000.0 4451800000.0 -1.45
8529.0 1.0637 1.064 1.0 0.068 0.128 17.04 2.58 0.938 143.242719388 23.404564617 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 46.1934128255 5.1152 1.4064 3.7088 12903000000.0 15466000000.0 1.0 1.0637 2.0 17.38 24.05 14950000000.0 10311000000.0 -1.58
20224.0 1.51809 1.517 1.0 -0.008 -0.46 12.86 1.37 1.088 175.061256746 24.2088249427 5.86 2.77 0.961 45.2406387381 19.971486325 0.0 0.01 0.902 0.0158850557367 0.33358617047 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 47.4384627688 11.096 5.8093 5.2866 53296000000.0 22046000000.0 1.0 1.5181 2.0 20.34 25.57 17882000000.0 14697000000.0 -1.37
4749.0 1.13614 1.136 1.0 -0.074 1.362 4.28 1.2 1.075 165.490089601 51.4573014877 0.0 0.0 1.554 0.0 0.482178134392 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 26.4374808725 4.9105 3.5617 1.3488 32676000000.0 5624700000.0 0.0 1.1361 2.0 34.5 23.09 5745000000.0 3749800000.0 -1.71
12673.0 1.24005 1.24 1.0 -0.213 -0.681 22.13 2.38 1.279 311.600187496 49.6149639517 18.96 4.17 1.064 126.474855472 36.3920448204 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 61.1194829441 7.4534 0.64819 6.8052 5946700000.0 28379000000.0 1.0 1.24 2.0 4.313 15.85 30879000000.0 18919000000.0 -1.78
8388.0 1.43757 1.438 1.0 -0.37 0.904 9.56 1.07 1.283 166.567524215 24.4300676493 1.02 1.75 1.638 23.0106212334 30.5222003881 0.0 0.0 1.856 0.0 0.0656391406196 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 71.7506846566 119.4 118.32 1.0815 1.0855e+12 4510200000.0 0.0 1.4376 2.0 446.2 25.67 4200300000.0 3006800000.0 -1.51
9263.0 0.94546 0.948 1.0 -0.754 -2.164 4.95 1.97 1.743 184.172380825 76.3264215147 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 28.4151825952 1.8718 0.55214 1.3196 5065500000.0 5503000000.0 1.0 0.9455 2.0 10.56 29.35 6240300000.0 3668600000.0 -1.88
12348.0 1.45469 1.455 1.0 -0.289 0.374 8.4 1.89 1.267 163.869979509 47.4968325939 9.37 2.92 1.402 128.427622225 47.4438727497 0.0 0.0 1.476 0.0122215025115 0.105919688433 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 48.3913060686 -99.0 -99.0 4.0826 -99.0 17025000000.0 2.0 1.4547 2.0 -16.48 21.76 14739000000.0 11350000000.0 -1.44
17042.0 1.43148 1.432 1.0 -0.131 0.28 8.82 1.47 1.098 178.636057052 37.6684159442 8.47 2.77 1.185 113.13685492 37.2777074045 6.19 14.94 1.231 76.7269317453 149.337029299 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 45.9225847836 21.764 18.19 3.5739 166880000000.0 14904000000.0 0.0 1.4315 2.0 69.08 28.2 12852000000.0 9935800000.0 -1.42
12589.0 1.07197 1.072 1.0 0.018 -0.173 15.61 1.42 0.977 173.443630941 16.5929043374 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 75.7622446505 3.8687 0.46275 3.406 4245400000.0 14203000000.0 1.0 1.072 2.0 5.549 17.07 14463000000.0 9468900000.0 -1.71
20632.0 1.08966 1.062 1.0 -0.523 2.998 3.14 1.29 1.793 202.272139965 93.2591904903 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 32.2381299347 -99.0 -99.0 1.0521 -99.0 4387400000.0 2.0 1.0897 2.0 -21.61 24.3 4942500000.0 2924900000.0 -1.85
19166.0 1.21666 1.217 1.0 -0.051 0.034 23.32 1.37 1.051 143.571860366 9.75792408398 3.8 4.78 1.06 20.1293838478 19.2947948716 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 118.672485707 33.941 31.397 2.5439 288040000000.0 10608000000.0 0.0 1.2167 2.0 228.8 22.24 6201000000.0 7072200000.0 -0.61
4448.0 0.95424 0.955 1.0 -0.115 0.123 22.3 1.06 1.134 209.273170133 11.2319878828 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 121.396770266 7.3597 4.253 3.1067 39018000000.0 12956000000.0 0.0 0.9542 2.0 78.86 25.85 11090000000.0 8637000000.0 -1.34
