# id z zbest use_grism1 s0 s1 Ha_flux Ha_error Ha_scale_to_photom Ha_EQW_obs Ha_EQW_obs_err OIII_flux OIII_error OIII_scale_to_photom OIII_EQW_obs OIII_EQW_obs_err OIIIx_flux OIIIx_error OIIIx_scale_to_photom OIIIx_EQW_obs OIIIx_EQW_obs_err OII_flux OII_error OII_scale_to_photom OII_EQW_obs OII_EQW_obs_err uvj_flag sn_F160W sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta
15431.0 0.73325 0.733 1.0 -0.025 -1.767 14.52 1.49 0.711 217.700851002 29.7014279533 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 50.5706467359 -99.0 -99.0 0.97148 -99.0 4051200000.0 2.0 0.7333 2.0 -14.23 21.2 4531100000.0 2700800000.0 -1.83
17539.0 1.52692 1.527 1.0 -0.477 1.584 4.68 0.94 1.232 163.285739161 45.7434346952 7.86 1.33 1.891 255.940037674 53.2822566603 0.0 0.0 2.352 0.0 0.0474886422997 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 42.2076592857 -99.0 -99.0 2.9645 -99.0 12362000000.0 2.0 1.5269 2.0 -6.141 20.63 12132000000.0 8241500000.0 -1.62
15851.0 1.52187 1.522 1.0 -0.465 -0.521 7.78 1.32 1.737 218.088164735 52.4690011777 9.66 2.37 1.508 134.689734205 36.9368762069 1.37 2.32 1.404 16.3450138191 24.1130589602 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 44.0242201647 -99.0 -99.0 6.5121 -99.0 27156000000.0 2.0 1.5219 2.0 -44.12 25.72 27532000000.0 18104000000.0 -1.64
22023.0 1.12548 1.125 1.0 -0.272 0.745 5.12 0.8 1.316 161.38001769 26.9492067674 0.0 0.0 1.611 0.0 0.00470481961722 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 46.6422526162 1.7878 0.608 1.1798 5578000000.0 4920100000.0 1.0 1.1255 2.0 6.091 20.25 4146300000.0 3280100000.0 -1.41
7493.0 1.17603 1.537 1.0 -0.229 0.93 3.16 1.37 1.235 220.507070215 103.091409585 0.0 0.0 1.588 0.0 6.02932863977 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 17.0182432828 4.7667 3.7298 1.0369 34218000000.0 4324000000.0 0.0 1.176 2.0 31.59 17.41 4383800000.0 2882600000.0 -1.5
18592.0 0.693 0.693 1.0 -0.261 -0.086 14.27 2.02 1.272 246.627288836 46.4500886001 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 35.5060083468 1.7485 0.50519 1.2433 4634800000.0 5184700000.0 1.0 0.693 2.0 17.99 23.77 6143200000.0 3456500000.0 -1.93
14249.0 1.33848 1.339 1.0 -0.108 0.85 17.31 1.19 1.03 231.860011631 20.3850364339 0.0 0.0 1.296 0.0 0.0427628202935 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 83.3918080476 21.238 19.352 1.8853 177540000000.0 7862200000.0 0.0 1.3385 2.0 89.63 26.32 3997900000.0 5241500000.0 -0.41
11118.0 1.00772 1.008 1.0 -0.118 -0.496 4.02 0.86 1.092 139.222600761 29.8447990756 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 38.3117624056 2.5004 1.7402 0.7602 15965000000.0 3170100000.0 0.0 1.0077 2.0 26.5 22.0 2647100000.0 2113400000.0 -1.44
8172.0 0.9165 0.916 1.0 -0.129 0.744 6.88 1.4 1.232 160.683537699 36.1961909731 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 39.7364616998 3.7403 2.4756 1.2647 22712000000.0 5273900000.0 0.0 0.9165 2.0 52.12 28.78 5388300000.0 3515900000.0 -1.72
5215.0 0.94936 0.954 1.0 0.062 -0.052 30.74 2.21 0.936 137.988878401 11.0292608856 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 102.884982769 11.118 6.9452 4.1728 63718000000.0 17401000000.0 0.0 0.9494 2.0 131.0 25.81 14443000000.0 11601000000.0 -1.39
18338.0 0.79589 0.796 1.0 0.001 -0.487 41.31 2.35 0.919 163.734972632 10.529598138 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 166.375942308 16.049 13.899 2.1499 127520000000.0 8965500000.0 0.0 0.7959 2.0 370.2 18.93 5014100000.0 5977000000.0 -0.41
8529.0 1.0637 1.064 1.0 0.068 0.128 17.04 2.58 0.938 143.242719388 23.404564617 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 46.1934128255 5.1152 1.4064 3.7088 12903000000.0 15466000000.0 1.0 1.0637 2.0 17.38 24.05 14950000000.0 10311000000.0 -1.58
27239.0 1.40248 1.403 1.0 -0.009 0.3 102.04 4.45 0.974 172.858879158 9.13639239453 0.0 0.0 1.056 0.0 0.0374612900003 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 110.443340819 184.03 163.87 20.163 1.5034e+12 84083000000.0 0.0 1.4025 2.0 649.4 22.89 51199000000.0 56055000000.0 -0.7
6550.0 0.87667 0.87 1.0 0.007 -0.185 22.93 2.88 0.97 146.008621654 18.543483937 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 57.5039338797 8.9649 5.4846 3.4803 50317000000.0 14513000000.0 0.0 0.8767 2.0 128.4 19.19 15609000000.0 9675600000.0 -1.71
16227.0 1.32914 0.797 1.0 -0.177 -0.476 69.48 1.73 1.245 191.431172021 5.43977605468 155.75 3.54 1.094 329.464952729 10.9997681548 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 118.345642273 262.11 248.43 13.678 2.2792e+12 57038000000.0 0.0 1.3291 2.0 1188.0 104.8 38495000000.0 38025000000.0 -1.05
