Arp256N 1.09 NaN 2.27 1.90 0.91
Arp256S 0.98 0.98 1.35 1.35 1.29
NGC0337 1.02 NaN 1.03 1.07 1.06
CGCG436−030 1.21 0.94 1.17 1.11 0.99
NGC0474 1.30 NaN NaN NaN NaN
NGC0520 1.21 1.84 1.06 1.11 1.10
NGC0584 1.20 NaN 2.22 2.12 1.38
NGC0628 1.44 NaN 4.15 4.90 1.27
NGC0660 1.78 NaN 3.60 3.04 1.35
IIIZw035 1.09 0.97 1.05 1.03 1.15
NGC0695 1.15 1.22 2.45 2.36 1.27
NGC0750 0.81 NaN NaN NaN NaN
NGC0855 1.27 NaN 1.37 1.52 1.10
NGC1068 1.23 2.20 1.27 1.27 1.81
Arp118 1.11 NaN 1.11 1.16 1.35
NGC1144 1.12 NaN 1.10 1.15 1.33
NGC1275 1.17 1.70 1.15 1.19 1.21
NGC1614 1.01 1.10 2.13 2.17 1.50
NGC2388 1.12 1.12 1.20 1.20 1.15
NGC2403 1.36 NaN 2.15 2.40 1.70
NGC2537 1.17 NaN NaN NaN NaN
NGC2623 0.98 1.19 1.08 1.08 1.10
IRAS08572+3915 1.31 1.00 1.00 1.00 0.98
UGC04881 1.11 1.41 2.75 2.55 1.72
NGC2798 1.20 NaN 0.86 0.91 1.07
UGCA166 1.21 NaN 1.94 1.94 1.10
UGC05101 1.01 0.99 1.14 1.09 0.99
NGC3049 1.25 NaN 1.09 1.15 1.11
NGC3079 1.16 NaN 1.91 2.20 2.60
UGCA208 1.08 NaN 1.24 1.02 1.17
NGC3190 1.56 NaN 1.39 1.50 1.25
NGC3198 1.24 NaN 1.47 1.29 1.39
NGC3265 1.15 NaN 0.93 0.96 1.11
Mrk33 1.17 4.15 0.96 1.03 1.24
NGC3310 1.09 NaN 4.70 3.94 2.48
NGC3351 1.13 NaN 1.15 1.14 1.18
NGC3379 NaN NaN NaN NaN NaN
UGCA219 1.12 NaN 1.66 1.68 1.19
NGC3521 1.05 NaN 2.00 1.92 1.11
NGC3627 1.31 NaN 3.31 3.41 1.16
IC0691 1.20 NaN 1.50 1.57 1.07
NGC3690 1.11 1.12 1.17 1.17 1.09
NGC3773 1.12 NaN 1.01 1.06 1.27
Mrk1450 1.14 NaN 1.28 1.06 0.92
UGC06665 1.15 NaN 2.26 2.35 0.97
NGC3870 1.06 NaN 2.14 2.02 0.89
UM461 1.08 NaN 0.89 0.91 0.95
UGC06850 1.16 NaN 2.62 1.83 1.17
NGC3938 1.22 NaN 4.03 4.27 4.78
NGC4088 1.03 NaN 3.25 3.40 2.19
NGC4125 1.09 NaN 2.21 2.55 2.85
NGC4138 1.05 NaN 1.27 1.23 1.13
NGC4168 NaN NaN NaN NaN NaN
NGC4194 1.05 2.85 1.47 1.52 1.10
Haro06 1.04 NaN 0.88 1.00 2.09
NGC4254 1.31 NaN 2.42 2.35 1.22
NGC4321 1.28 NaN 2.12 2.40 1.21
NGC4365 NaN NaN NaN NaN NaN
NGC4387 NaN NaN NaN NaN NaN
NGC4385 1.25 NaN 2.59 1.84 1.26
NGC4450 1.51 NaN 2.32 2.26 2.17
NGC4458 NaN NaN NaN NaN NaN
NGC4473 NaN NaN NaN NaN NaN
NGC4486 NaN NaN NaN NaN NaN
NGC4536 1.54 NaN 1.22 1.27 1.11
NGC4550 NaN NaN NaN NaN NaN
NGC4551 NaN NaN NaN NaN NaN
NGC4552 1.32 NaN 1.87 2.52 2.55
NGC4559 1.46 NaN 3.38 3.60 1.22
NGC4569 1.27 NaN 1.12 1.21 1.35
NGC4579 1.12 NaN 1.54 1.49 1.25
NGC4594 4.20 NaN 1.94 2.08 1.27
NGC4625 1.17 NaN 1.74 1.86 2.09
NGC4621 NaN NaN NaN NaN NaN
NGC4631 1.04 NaN 3.37 3.66 1.18
NGC4660 NaN NaN NaN NaN NaN
NGC4670 1.14 NaN 2.32 1.88 1.18
NGC4676 A 0.60 NaN 1.01 1.05 1.29
NGC4725 3.57 NaN 3.92 3.68 3.68
NGC4826 1.32 NaN 2.13 2.20 2.20
NGC4860 NaN NaN NaN NaN NaN
NGC4889 NaN NaN NaN NaN NaN
IC4051 NaN NaN NaN NaN NaN
NGC4926 NaN NaN NaN NaN NaN
NGC5033 1.43 NaN 1.86 1.83 1.16
IC0860 1.09 1.04 1.19 1.03 0.91
UGC08335NW 1.34 1.94 1.37 1.37 1.27
UGC08335SE 1.18 1.01 1.03 1.11 1.24
NGC5055 1.26 NaN 3.65 4.06 1.32
IC0883 0.77 1.02 1.15 1.17 1.02
NGC5104 1.09 1.32 1.49 1.37 0.95
NGC5194 1.16 NaN 3.05 3.32 1.18
NGC5195 1.47 NaN 1.21 1.33 1.29
NGC5256 1.12 1.06 0.81 0.81 1.48
NGC5257 1.21 NaN 1.12 1.23 1.26
NGC5258 1.18 NaN 1.15 1.25 1.30
UGC08696 1.20 1.05 1.09 1.10 1.05
Mrk1490 1.04 0.90 1.09 1.09 0.87
NGC5653 1.12 NaN 1.07 1.10 1.11
Mrk0475 1.03 NaN 1.89 1.34 0.97
NGC5713 1.19 NaN 1.29 1.35 1.16
UGC09618S 1.12 NaN 0.97 0.99 1.40
UGC09618 0.94 1.18 1.02 1.03 1.20
UGC09618N 1.14 0.96 1.07 1.08 1.24
NGC5866 1.26 NaN 1.61 1.75 1.21
CGCG049−057 1.03 0.99 1.25 1.25 1.01
NGC5953 1.39 4.89 1.17 1.29 1.32
IC4553 1.03 1.26 1.34 1.17 0.92
UGCA410 1.17 NaN 1.07 1.07 0.92
NGC5992 1.06 1.25 2.12 1.89 1.18
NGC6052 1.11 3.90 1.11 1.17 1.33
NGC6090 1.05 0.94 1.87 1.88 1.70
NGC6240 1.15 1.18 1.01 1.06 1.09
IRAS17208−0014 1.22 1.17 1.24 1.07 1.04
IIZw096 0.98 1.06 0.94 0.98 1.09
NGC7331 1.38 NaN 4.99 5.22 1.20
UGC12150 1.05 1.29 1.42 1.33 0.96
CGCG453−062 1.75 1.12 1.81 1.66 1.15
IC5298 1.09 1.11 1.29 1.12 0.97
NGC7585 1.44 NaN NaN NaN NaN
NGC7591 1.04 1.44 1.36 1.34 1.29
