# mass logzsol logtau tage delt_trunc sf_tanslope dust1 dust2 dust_index duste_gamma duste_umin duste_qpah 
10000000000.0 -0.184405776633 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.107238816128 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.164729487643 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0581749266104 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.454659057963 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.070222740795 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.226990174037 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.345360736202 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.42580174005 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.519162371994 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.0751455459775 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.394223290334 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.451948631685 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.471079080702 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.126224380014 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.449357153477 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.376548618603 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.415517564945 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.550417129367 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0123350796738 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.520515859014 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.594537669545 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.472225368354 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.152016849934 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.309926151456 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.102946564191 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.425652985708 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0732088765627 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.446859667837 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.374042837286 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.134059980599 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.376384866669 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0479123804828 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.149392673072 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.39864911767 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.159744919522 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.570814463801 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.02282440548 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0993376383047 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.382301470459 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.553253417226 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.051769213634 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.310846415444 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.430910562829 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0742876138182 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.075198812476 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.33972241246 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.00239129235778 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.0468348822427 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.32945549412 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.391147523039 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.450870352735 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.136316039439 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.0638870849302 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.25078441243 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.0955637426057 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.186252273611 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0825173439243 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.0973967221433 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.168563468083 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.172763087332 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.350766938605 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.101927429123 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.1528978052 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.132243233854 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.583245881393 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.427454310207 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.474396959484 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.19701615237 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.24238606638 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.593572620962 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.140650775152 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.0850392016321 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.439908291861 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.19288054125 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.00814422704776 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.220040002785 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.140246742247 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.148518483574 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.415587986634 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.258831097945 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.387734765085 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.571632135204 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.412136275121 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.380602600302 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0289558730338 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.060941474755 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.017837003398 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.208486195057 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.472031079215 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.503634025389 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.00125749323694 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.139030988344 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.186195376296 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.116233634739 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.0815712660204 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.131632231117 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.0233063100547 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.147726189504 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.334905723341 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.13742401094 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.390574715022 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0991939058339 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.239381786767 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.465358505915 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.522531628975 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0869533709245 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.297308404784 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.120541220145 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.019305936739 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.529968321439 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.119293978292 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.165286533753 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.140678952483 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0869179347701 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.157123278378 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.397502750711 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.026889901705 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.536358325207 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.270231069808 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.403485452564 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.38502230977 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.281240138816 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.108421971158 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.270678380804 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.064337458218 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.00810597047022 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.54571141991 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.0492152250722 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.123163227855 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.0166975532527 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.419982874811 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 0.126058718061 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.181409060123 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
10000000000.0 -0.261492976434 0.0 1.1 0.5 0.0 1.0 1.0 -0.7 0.01 1.0 3.0 
