# mass_1 mass_2 tau_1 tau_2 sf_start_1 sf_start_2 dust2_1 dust2_2 dust_index phot_jitter gp_filter_amps_1 gp_filter_amps_2 gp_outlier_amps_1 gp_outlier_amps_2 gp_outlier_amps_3 gp_outlier_locs_1 gp_outlier_locs_2 gp_outlier_locs_3 
18675030896.9 244360208921.0 0.624532098614 0.284326505273 9.65395480886 6.6570604228 0.255446780114 1.32090858605 -2.09059666735 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
319256389664.0 92215049.4964 0.43802624173 0.118038348931 6.5332047497 12.310194262 0.0 0.79339764251 -2.54646390757 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
35262515992.8 11825978.7897 0.255322654941 0.122460851219 1.43784141683 1.86171050694 1.09829590587 1.1317575372 -0.500377922868 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
739238305.407 425160891.642 0.402243163077 0.12723168187 13.1944874152 1.88137992532 0.173697233854 0.390880476883 -0.791388081174 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
50437925935.7 712933332.91 7.69605218463 0.215911145489 5.80594271576 11.9010356965 0.0 0.44417685216 -2.23791740893 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
29600131904.5 694341154.054 7.54745254282 1.37538054492 3.40024160779 5.80892380023 0.591760374163 1.13300604661 -0.807070059568 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
2.67971906172e+12 55327486657.3 20.14862361 2.04488038325 10.3192764842 8.50611583243 0.319660875621 0.183460835304 -2.38819116048 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
75567358308.9 231345329614.0 76.2090443496 1.22787870853 5.05165703565 9.13023484774 0.279026905805 0.830811242734 -2.01046806875 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
1981405225.46 141616872.241 5.20811169235 0.53529987296 11.8464985691 11.0180347284 0.501906774214 0.18696016788 -2.65526281552 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
10086148.6279 32497608.1019 43.7451461768 1.97384586953 0.698591734265 4.45621591896 0.894398991887 1.58520251162 -2.37269110517 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
2140225054.96 29584169304.2 0.490951844413 0.117785986794 9.20793612501 0.914890038729 0.935039475477 0.441588437827 -1.63829261521 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
22162297972.2 50793059.1241 0.239785786485 0.110862360698 2.72773038518 5.48519217181 0.350168286455 0.991526743672 -2.62203477614 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
1458581833.74 26337251.3483 13.2737654075 0.469580556497 10.1651947633 1.71899099534 0.323386542361 0.0517955756321 -2.63214148616 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
15361561.2474 80859514.5214 0.651631018794 0.217039261061 7.11318826601 10.3206231546 0.291189413633 0.728070492066 -1.12678461104 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
51195739.2274 12666117.8235 23.8658146509 1.68386763213 9.26104755883 13.161778147 0.707179446867 1.12083679508 -0.716858588219 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
16500434506.5 24924019.6135 0.735932111079 0.148295856917 10.1699597871 3.55953180985 0.949930792914 0.0762876850854 -1.34831404914 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
602964346.699 1498968793.13 82.7862441646 9.90181481357 5.68588743194 11.4678745448 1.05751904603 0.0 -2.8254593641 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
14981285.5105 29899229.7914 4.12931120221 0.336843180102 9.36059393054 9.88274016701 0.0892818411392 0.0 -1.16346045279 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
3342243534.57 275213568.27 24.6541014419 11.6928827817 9.29886669869 12.6320257553 0.0 0.560543688997 -2.52541365117 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
3.62167087526e+12 43182555460.0 37.6654550093 2.40323263014 8.50195923462 10.3991864311 0.0 0.390261935273 -2.76611444168 0.0 0.18 0.18 0.5 0.5 0.5 15.0 21.0 29.0 
