# id zgris zbest use_grism1 s0 s1 Ha_flux Ha_error Ha_scale_to_photom Ha_EQW_obs Ha_EQW_obs_err OIII_flux OIII_error OIII_scale_to_photom OIII_EQW_obs OIII_EQW_obs_err OIIIx_flux OIIIx_error OIIIx_scale_to_photom OIIIx_EQW_obs OIIIx_EQW_obs_err OII_flux OII_error OII_scale_to_photom OII_EQW_obs OII_EQW_obs_err uvj_flag sn_F160W sfr z_sfr RAdeg DEdeg z_bez Re n logM sigmaA e_sigmaA sigmaRe e_sigmaRe Exp
1424.0 0.67783 0.681 1.0 0.048 -0.136 24.9 6.14 0.923 19.7338228545 4.74422319305 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 334.523203968 5.1792 0.6778 150.104 2.198 0.682 4.4 4.7 10.96 214 8 211 8 49200
2436.0 0.43261 0.433 1.0 0.038 0.357 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 306.246736704 0.40285 0.4326 150.097 2.205 0.424 0.8 2.7 10.13 131 5 143 6 49200
4077.0 0.5746 0.547 0.0 0.054 -0.296 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 275.336286074 5.2958 0.5746 150.084 2.222 0.56 5.9 1.5 10.62 158 7 152 7 49200
4327.0 0.84135 0.841 1.0 0.036 -0.332 25.64 2.51 0.919 41.1002796861 4.17628370489 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 292.142588659 55.209 0.8414 150.119 2.223 0.839 2.1 3.3 10.83 245 15 255 16 49200
4596.0 0.73412 0.733 1.0 0.064 -0.323 1.02 1.51 0.877 0.444029248264 0.599727815837 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 505.038899583 11.763 0.7341 150.121 2.227 0.733 3.6 2.9 11.07 171 7 172 7 49200
5086.0 0.74543 0.745 1.0 0.022 -0.108 17.4 2.81 0.957 53.2017898168 8.9949181577 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 190.020161184 4.3408 0.7454 150.121 2.23 0.732 2.0 0.8 10.1 153 14 159 15 49200
6877.0 0.74543 0.746 1.0 -0.021 -0.239 0.0 0.03 0.973 0.00572924723421 0.429693542565 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 178.066668103 0.7672 0.7454 150.116 2.25 0.747 1.4 4.2 10.47 236 13 252 14 49200
7807.0 0.64214 0.643 1.0 0.087 0.062 173.84 11.05 0.931 223.397517873 14.6942404423 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 328.556212117 22.095 0.6421 150.104 2.261 0.642 1.9 1.7 10.15 133 9 138 9 49200
8873.0 0.72375 0.724 1.0 -0.048 -0.347 0.01 0.32 0.975 0.0116026105874 0.359680928209 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 313.013480313 -99.0 0.7237 150.086 2.272 0.728 1.5 4.7 10.65 225 6 238 7 49200
9601.0 0.83859 0.839 1.0 0.021 -0.241 20.37 1.97 0.945 79.3053372421 8.07684149267 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 225.850624826 25.939 0.8386 150.083 2.278 0.835 1.6 1.8 10.49 241 34 255 36 49200
